map_0058#90	キューボール: おい、オレたちの仲間から離れろ!
map_0058#91	あんなバカな女の色仕掛けなんかに、あいつの頭かき乱されなくていいんだよ!
map_0058#92	ローラ: わたしはただ、彼の様子を尋ねただけですが……
map_0058#93	それのどこが「女らしい」とか「色仕掛け」なのか、わたしにはよく分かりません。
map_0058#94	男性の方がずっと優れているとお思いなら、なぜあなたのお友達には、この基本的な優しさすら欠けているように見えるのでしょうか?
map_0058#95	急所に当たった!
map_0058#96	キューボール: こんな基本的なことすら、できていなかったなんて……
map_0058#97	キューボール: いやいや、そんなのゲイのクソだろ、分かるか?
map_0058#98	オレたちはそんなんじゃねえ!
map_0058#99	ローラ: 性的なものへの恐れから、そんなにすぐ否定してしまうんですね……
map_0058#100	でも、あなたが「そう」であってもなくても、プラトニックな親密さや思いやりは、食べ物や水と同じように生きる上で必要なものです。
map_0058#101	そういう印象を持たれることを恐れるあまり、結局はお互いを傷つけ合っているのではないですか?
map_0058#102	一撃でノックアウトだ!
map_0058#103	キューボール: お、オレはお前らを傷つけたくなかったんだ! 許してくれ!
map_0058#104	キューボール: 許すぜ、兄弟!
map_0058#105	ハイになることから逃げるんじゃなくて、本当にお互いを気にかけ合う時が来たんだ!
map_0058#106	キューボール: 男として、もっとちゃんとしなきゃな!
map_0058#107	感情面の健康グラインドセットで行こうぜ!
map_0058#108	キューボール: もう、誰かに何て思われるかなんて気にしない!
map_0058#109	たとえ男が美しいと思っててもな!
map_0058#110	キューボール: オレたちは美しいんだよ、兄弟!
map_0058#111	キューボール: 兄弟……
map_0058#112	キューボール: お姉さん、すまなかった!
map_0058#113	オレたちが間違ってたし、優しくしてくれたあんたに失礼だったよ!
map_0058#114	キューボール: もうキュワワーを悪用したりしないから、どうか許してくれ!
map_0058#115	キューボール: こうやって目を覚まさせてくれたこと、ずっと忘れないぜ!
map_0058#116	キューボール: 行くぞ、野郎ども!
map_0058#117	ローラ: 思ったより悪い人たちではなかったですね……
map_0058#118	でも、あの大騒動にわたしと一緒に立ち向かってくれて、ありがとうございました。
map_0058#119	あのキュワワーには、誰かに迷惑をかけられないよう、導いてくれる手が必要ですね。かわいそうに……
map_0058#120	今はもう十分に圧倒されているでしょうから……あなた一人で近づいてみてはどうですか?
map_0058#121	公園で待っていますので、香りを混ぜ合わせる気になったら連れてきてください。
map_0058#122	はい
map_0058#123	いいえ
map_0059#0	うわあああ! ポケモン育てるのって大変すぎ……
map_0059#1	このポケモンもらったんだけど、こんなバカなピンクの奴、育てる気にならないんだよね。
map_0059#2	ほんとは、もう進化してて使いやすいポケモンが欲しいんだよ。ビーダルみたいなさ。
map_0059#3	ブロダル。
map_0059#4	ビーダル持ってるなら、こいつと交換しない?
map_0059#5	……面倒くさ……
map_0059#6	やってくれんの? やった!
map_0059#7	\PNはビーダルとムンナを交換した!
map_0059#8	マジ助かるわ。サンキュー!
map_0059#9	面倒くさ。
map_0059#10	交換してくれてありがとな!
map_0059#11	実はさ、初めてポケモンとちゃんと時間を過ごすってことを学んでるんだ。
map_0059#12	ずっと欲しいレベルまで上げることばっかり気にしてて、一緒に過ごす時間の大切さを忘れてたよ!
map_0059#13	はい
map_0059#14	いいえ
map_0060#0	ジャスパーワードが、突然完全に封鎖されちゃったの。
map_0060#1	あそこに住んでる友達がいるんだけど、それ以来一言も連絡がないんだ。
map_0060#2	無事だといいけど。
map_0060#3	街がまとまりつつあるのは、いいことだね。
map_0060#4	まあ、わたしはどうせここから出ないから、どうでもいいけど。
map_0060#5	ねえ、友達から、あなたがジャスパーまで迎えに行ってくれたって聞いたよ。本当にありがとう。
map_0060#6	無事だって分かって、すごくほっとした……お礼に何か渡したかったんだ。
map_0060#7	\PNはデパートシール「モンジャラ」を手に入れた!
map_0060#8	ん? デパートカード持ってないの?
map_0060#9	それなら取ってきなよ。無料だから。それがあれば、これを追加できるんだ。
map_0060#10	見ず知らずの人のためにわざわざ助けてあげるなんて、本当にかっこいいよ。この街には、あなたみたいな人がもっと必要だね。
map_0060#11	あ、わたしを見つけてくれた人だ!
map_0060#12	感謝してもしきれないよ、あのままだったらずっとあそこにいるところだった。
map_0060#13	わたし、時々ちょっとおっちょこちょいでさ、エレベーターが復旧してるかどうか確認するのを忘れてて……まあ、いいか!
map_0060#14	あ! 友達があなたに渡したいものがあるって言ってたよ。
map_0060#15	何だったか忘れちゃったけど。
map_0060#16	ジャスパーワードがめちゃくちゃになっちゃったから、しばらくここに住むことになりそう。
map_0060#17	でも別にいいの! 24時間365日終わらないお泊まり会みたいなもんだし! 楽しそう!
map_0060#18	……あの、この家にベッドが一つしかないの、気づいた?
map_0060#19	ちょっと変な感じになってきたな。
map_0060#20	まあいっか!
map_0060#21	いびきとかかかない限り、大丈夫だと思うし!
map_0060#22	あ、これは処分しとかなきゃ……
map_0060#23	まあ、そんなに悪くないかもね……
map_0060#24	ここに住めて本当によかった! その、友達と一緒にいるの、すごく楽しいんだ!
map_0060#25	ベッドが別々じゃないのが、こんなにいいことだなんて、誰が知ってた?
map_0062#0	セールスマン: このポケモンを守るために戦うぞ!
map_0062#1	チンピラ: へっ、ポケモン一匹で二人相手にできるとでも思ってんのか? せいぜい頑張れよ!
map_0062#2	は、なんだって?
map_0062#3	もうこれくらいで十分じゃないかな……
map_0062#4	チンピラ: 言っとくが、まだ何も渡す気はねえからな!
map_0062#5	セールスマン: うぐ。もうやめろ。さすがにやりすぎだ。
map_0062#6	チンピラ: お前、まさか今さらビビってんじゃねえだろうな?
map_0062#7	どうしてオレにこんなことすんだよ?
map_0062#8	セールスマン: もういいから、ポケモンを渡してやれ。
map_0062#9	チンピラ: あー……実はな、相棒、それができねえんだ。
map_0062#10	セールスマン: 何? 何言ってんだ?
map_0062#11	チンピラ: あー、正直言うとな、トレーナーをカモるために、お前からポケモンを盗んだふりしてやってたのは分かってるんだが……
map_0062#12	ここに来る途中、マジで奪われちまってな!
map_0062#13	ムカつくガキがぶつかってきて、スリしてオブシディアワードに逃げてったんだよ!
map_0062#14	セールスマン: 冗談だろ? ふざけるな……
map_0062#15	チンピラ: 冗談じゃねえよ。でもよ! それでも1000ドルは手に入れたんだぜ、お前があのポケモン買った時にぼったくられた額よりマシだろ。
map_0062#16	やったんだよ! あのガキさえいなけりゃ、もう一回やれたのにな。でもまあ、1000ドルも悪くねえよな。なあ、相棒? オレはもう手え引くぜ。
map_0062#17	ずらかろうぜ!
