map_0314#53	そこでゲームは終了する。
map_0314#54	このチェスパズルは、通常のチェスといくつかの重要な点で異なります。
map_0314#55	最も重要なのは、ラドマス様が一切手を打たないという点です。
map_0314#56	そのため、駒を配置する時間は無制限です。
map_0314#57	ただし、その代わりに、ラドマス様の駒を取ることはできません。
map_0314#58	最後に、取ることも動かすこともできませんが、ラドマス様の駒は、通常通りの攻撃範囲を持つものとみなされます。
map_0314#59	チェックメイトを狙う際は、このことを覚えておいてください。
map_0314#60	イライアス: 私についてですか? 卑しい執事について、語ることはほとんどございません。
map_0314#61	私は全身全霊をもって主にお仕えしております。私の人生に意味を与えてくださったのは、ラドマス様なのですから。
map_0314#62	ご覧ください、この目を。
map_0314#63	欠陥により、灰色に濁っております。
map_0314#64	人生の大半、私は盲目でした。
map_0314#65	しかし、ラドマス様に嘆願を申し上げたのです。
map_0314#66	その偉大さにより、私に視力を取り戻してくださいました。
map_0314#67	私のような者について語れることは、それだけです。
map_0314#68	チェスアリーナ駒配置アナライザー:
map_0314#69	はい
map_0314#70	いいえ
map_0314#71	ゲームの目的
map_0314#72	駒
map_0314#73	チェックとチェックメイト
map_0314#74	さらに
map_0314#75	特別ルール
map_0314#76	イライアスについて
map_0314#77	何もない
map_0317#0	ルナ: ごきげんよう、挑戦者様。
map_0317#1	この対局では、わたしがお世話をさせていただきます。何かお役に立てることがあれば、お申し付けください。
map_0317#2	心苦しいのですが、このパズルの解答をお教えすることは禁じられておりますので、代わりにヒントをお伝えいたします。
map_0317#3	例えば、ここでは、無限の可能性があなたを導く力となるでしょう。
map_0317#4	どうぞ、お始めください。
map_0317#5	あなたの力が王に匹敵するなら、道を開いてみせなさい、
map_0317#6	でも、王は常に一手先を読んでいることをお忘れなく。
map_0317#7	ローズマリー: 王は何よりも優先される、そうでなければゲームはとっくに終わっているはずだ。
map_0317#8	王になるのは、パーティー内で最も脆弱なポケモン、あるいはおうじゃのしるしを持つポケモンだ。
map_0317#9	ただし、クイーンとポーンが先に決まる――民なくして、支配者は何者でもないからな。
map_0317#10	だが、進みなさい。
map_0317#11	頂点は、もう遠くない。
map_0317#12	昇格させますか?
map_0317#13	ルナ: 盤面を確認いたしましょうか?
map_0317#14	ルナ: かしこまりました。
map_0317#15	ルナ: あら?
map_0317#16	素敵です! 成し遂げられたようですね!
map_0317#17	「無限の可能性」と申し上げたことの意味が、おわかりいただけましたか?
map_0317#18	目の前に示されたものの先を見ることができれば、可能性に満ちた新しい世界が見えてくるのです。
map_0317#19	実際、目に見えるものだけに頼ることこそが、わたしたちを本当に盲目にするのです。
