map_0413#325	ノエル: 無意味だよ、これ。
map_0413#326	父さんを見つけたら何を期待してたのか自分でも分からないけど、こんなのじゃなかった。
map_0413#327	ラドマス: ひとつ聞いてもいいかな?
map_0413#328	アンナ: もちろん!
map_0413#329	ラドマス: 私には、他の大抵の人とは違うところが何かあるだろうか?
map_0413#330	例えば、他の人には見えなくて、お前には見えるようなもの。
map_0413#331	アンナ: うーん……
map_0413#332	すごい帽子コレクション以外は、特にないよ!
map_0413#333	少なくとも、わたしには分からないな!
map_0413#334	ラドマス: そうか……彼女と同じというわけだな。
map_0413#335	ラドマス: 最後の戦いも、もうすぐ始まるのだろうな。
map_0413#336	アンナはまだ不在だ。
map_0413#337	しばらくはそのままにするつもりなのだろう。
map_0413#338	そして、ノエルのことだが……
map_0413#339	すでに詰んでいるような気がしてならない。
map_0413#340	彼に対しては、どう動いても間違いになる気がする。
map_0413#341	だが、これは投げ出せるような勝負ではない。
map_0413#342	さて、どう指すべきか……
map_0413#343	ラドマス: 失った時間は取り戻せぬが、より良い時間はいつでも見つけられるものだ。
map_0413#344	それでも、これまで果たせなかった父親という役割を、できる限り演じられるなら、これ以上の喜びはない。
map_0413#345	とりあえず、残りのことはお前に任せるとしよう、\PN。
map_0413#346	サファイラ: ローラが無事なだけじゃ足りない。
map_0413#347	彼女はここに、わたしたちと一緒にいるべきなのに。
map_0413#348	あの男の目の届く範囲で彼女に何かあったら、絶対に後悔させてやる。
map_0413#349	シャルロット: 本人が選んだことでしょ。
map_0413#350	何がそんなに大問題なの?
map_0413#351	新しいおもちゃの男の子とうかれて出かけたいなら、もう放っておけばいいじゃん。
map_0413#352	本人の勝手なんだから。
map_0413#353	その間、動脈りゅうでも起こさないように気をつけたら?
map_0413#354	シャルロット: で、また行っちゃったし。
map_0413#355	どうせローラを探しに行ったんでしょうね。
map_0413#356	とりあえず、わたしはここに残るとするか。
map_0413#357	帰ってきた時にわたしまでいなかったら、ショックでその場で死んじゃいそうだし。
map_0413#358	どうも、「お母さん」。
map_0413#359	シャルロット: もう世界は救った?
map_0413#360	まだでも別にいいけど。
map_0413#361	わたしの分も残しといて。
map_0413#362	それか、いっそ燃やしちゃうか。
map_0413#363	大事な人たちさえ無事なら、あんまり気にしないから。
map_0413#364	イヴ: 他の何人かにはもう話したけど、チームメテオについて、あなたも知っておくべきことがいくつかある。
map_0413#365	時間が経つにつれ、ゼロはいわゆる中枢から締め出されていったから、わたしが話せないことも多い。
map_0413#366	でも、残っているPULSEシステムについては、詳しく話せる。
map_0413#367	知っておくべきものが四つある:
map_0413#368	PULSEバリヤード、PULSEブロスター、PULSE2、そしてアークPULSEよ。
map_0413#369	詳しく聞きたければ、聞いてくれればいい。
map_0413#370	イヴ: どのPULSEについて知りたい?
map_0413#371	PULSEバリヤード計画の目的は、広い範囲を捕捉し、防護すること。
map_0413#372	本来、生成されるバリアはラブラドラとカルセノンの両方の街を包み込むはずだったんだけど、
map_0413#373	わたしがあえて見て見ぬふりをしたおかげで、「技術的な制約」を組み込むことができて、有効範囲を片方の街だけに減らせた。
map_0413#374	本当はもっと縮小したかったけど、ゼロがわたしたちの案を監視してたから、そういう抜け道を組み込むのは難しかった。
map_0413#375	PULSEバリヤードはラブラドラシティの電力網に依存してるから、カルセノン側を止めても機能は残ったまま。
map_0413#376	広範囲では、PULSEバリヤードの能力は防御専門だけど、近距離では他のポケモンと同じように自衛できる。
map_0413#377	バリア自体は、マシンのシステムによって認可された人員だけしか通れないようになってる。
map_0413#378	つまり、中にいる誰かにアクセス権を与えてもらう以外、通り抜ける方法はないってこと。
map_0413#379	残念ながら、わたしたちはゼロの体を共有していた立場だから、ルミもわたしも資格を持っていない。
map_0413#380	PULSEブロスターは、超長距離・高出力の砲台として設計された。
map_0413#381	本来のPULSEバリヤードの構想と組み合わされば、ラブラドラ・カルセノン一帯を無敵の兵器に変えるはずだった。
map_0413#382	幸い、いくつもの「偶然の間違い」を通じて、実効出力と射程を減らすことができた。
map_0413#383	カルセノンシティへの攻撃は、事実上の兵器実験だった。
map_0413#384	被害を最小限に抑えられたことは、個人的にありがたく思ってる。
map_0413#385	PULSEブロスターはカルセノンの電力網から動力を得てたから、メテオが地下の施設を奪還しない限り、動かせない。
map_0413#386	ただし、ポケモン自体はバリアの中で生きたままで、システムの副作用に苦しみ続けてる。
map_0413#387	ルミがこれを聞いてないのが救いだけど、あのポケモンにとって一番の慈悲は、完全に楽にしてあげることだと思う。
map_0413#388	PULSE2は、量産と携帯性を目的に作られた、まったく別系統のPULSEシステム。
map_0413#389	PULSE2の設計時には、影響を受けるポケモンの安全を優先することが許されてて、
map_0413#390	だから、以前のものよりずっと害が少ないと言えるのは、正直ほっとしてる。
map_0413#391	その代わり、効果もかなり落ちてる。
map_0413#392	以前のものと違って、特定の種に限定されず、どんなポケモンにも使える。
map_0413#393	PULSE2は変異を引き起こさないけど、ポケモンの力を極端なレベルまで増幅させることもできない。
map_0413#394	効果は二つある:
map_0413#395	ひとつ、ポケモンの能力がわずかに強化される。
map_0413#396	これは実質的に努力値を最大化し、ほとんどのポケモンが到達できる上限を超えさせることで実現してる。
map_0413#397	ふたつ、ポケモンの自由意志が抑制される。
map_0413#398	例えば、盗まれたポケモンでも、この方法なら確実に制御できる。
map_0413#399	今では、メテオの上位幹部の多くが自分のポケモンにPULSE2を使ってる。
map_0413#400	それを踏まえて備えておいて。
map_0413#401	アークPULSEは、PULSE2の機能と初期系統を組み合わせた、未完成の計画。
map_0413#402	初期のPULSEシステムを基盤にしながら、特定の種のために設計されてる。
map_0413#403	名前から察しがつくと思うけど、アルセウスのためのものよ。
map_0413#404	ただ、固定された場所を必要としない点や、自由意志を抑制する機能が強力な点は、むしろPULSE2に近い。
map_0413#405	どんな効果が出るのか、変異を引き起こすのかどうかは、正直よく分からない、
map_0413#406	当然だけど、チームメテオには試すためのアルセウスがいないから。
map_0413#407	さらに、出力・携帯性・制御の要求から、独自のエネルギー源が必要になる。
map_0413#408	チームメテオはそれも持っていないけど、アゲートシティでの動きは、それを作り出すことに向けられてたみたい。
map_0413#409	PULSEスリーパーは、もともとアゲートシティを眠らせて、チームメテオがその動力源を自由に探せるようにするために作られたの。
map_0413#410	催眠制御の機能は、後から追加されたものよ。
map_0413#411	とはいえ、あの機械を動かせるほどの動力源が実在するという証拠は、今のところない。
map_0413#412	その動力源も、アルセウスも、そして今はわたしの技術力も、チームメテオにはもうない。だから、この計画が完成することは、ほぼないと思う。
map_0413#413	セラ: 「幸せな小さな家族」、ね……
map_0413#414	チッ、また甘っちょろいこと考えてる。
map_0413#415	もう一回くらい、試してみてもいいのかもね。
map_0413#416	まあ、様子見ってところかな。
map_0413#417	セラ: まったく、高校生にでも戻った気分だわ。
map_0413#418	ノエル: 父親を見つけたら、孤独が減るはずなのに、逆に増えた気がする。
map_0413#419	そういうものじゃないんだろうな。
map_0413#420	ラドマス: ああ、\PN。
map_0413#421	また新しいバッジを手に入れたようだな。
map_0413#422	いつものように、感心はしても驚きはしない。
map_0413#423	ところで、アンナを見かけなかったか?
map_0413#424	何かやらなくてはいけないことがあると言って、ずいぶん急いで一人で出て行ったのだが。
map_0413#425	ノエルも連れて行かないと、強く言い張っていてな。
map_0413#426	……あれは、彼のためだったのだろうか。
map_0413#427	ノエル: なんで今さらそんな態度取るんだよ?
map_0413#428	ラドマス: どういう意味だろうか?
map_0413#429	どんな態度だと言うのだ?
map_0413#430	ノエル: 俺のこと気にかけるふりとか。
map_0413#431	アンナにするみたいに。
map_0413#432	ラドマス: ああ、彼女はよくお前にそういう役を果たしているのか?
map_0413#433	ノエル: 違う、あんたが、だよ。
map_0413#434	あんたはいつも彼女ばっかり見てる。
map_0413#435	ラドマス: ああ、心配していただけなのだが、お前の懸念も理解できる。
map_0413#436	断言するが、どちらかをひいきするつもりはない。
map_0413#437	お前たちは二人とも、私にとってかけがえのない存在だ。
map_0413#438	ノエル: そう言うけど……
map_0413#439	彼女がいない時にしか俺に話しかけないのは、事実として変わらない。
map_0413#440	結局、俺は二番目の選択肢ってわけだ。
map_0413#441	ラドマス: 私は――
