map_0080#241	ヘザー: 何よ?
map_0080#242	別に難しいことじゃないでしょ。
map_0080#243	そもそも親なんて誰が必要とすんのよ?
map_0080#244	やっちゃダメなことをごちゃごちゃ言ってくるだけじゃない。
map_0080#245	どうせ大したこと知りもしないくせに。
map_0080#246	シグムンド: 失礼するが、聞くところによると、君は法定保護者から離れているようだが?
map_0080#247	ヘザー: あんた誰よ?!
map_0080#248	あんたには関係ないでしょ、ジジイ!
map_0080#249	シグムンド: いや、これはまさに私の仕事なのだ。
map_0080#250	というのも、私はリボーンの子供たちのための施設を運営している。
map_0080#251	家のない子供たちに、住む場所を与えているのだ。
map_0080#252	食事も、住まいも、それに君のような友人もたくさんいる。
map_0080#253	良さそうに聞こえないかね…ヘザー、だったかな?
map_0080#254	ヘザー: 盗み聞きしてたわりに、人の話ちゃんと聞いてないのね。
map_0080#255	言ったでしょ、そんなもの必要ないの!
map_0080#256	アタシはひとりで平気よ!
map_0080#257	シグムンド: そう無礼にする必要はないだろう。
map_0080#258	私は君に家を提供しようとしているのだ。
map_0080#259	安全に暮らし、人生を軌道に乗せるために必要なもの、すべてを…
map_0080#260	なぜ拒むのかね?
map_0080#261	ヘザー: あんたが気持ち悪いからよ!
map_0080#262	どんな女の子だって、あんたのそばになんていたくないわ!
map_0080#263	シグムンド: …そうか?
map_0080#264	それなら、私に残された選択肢はほとんどないと言わざるを得ないな…
map_0080#265	しかし、選択肢がないのは君の方なのだよ。
map_0080#266	カイン: おい、じいさん、その子から手を離してくれない?
map_0080#267	シグムンド: 失礼だが、私は「じいさん」ではない。
map_0080#268	私は医者だ。
map_0080#269	その肩書のために長年働いてきたのだから、それにふさわしい呼び方をしてもらいたいものだね。
map_0080#270	カイン: こいつ何様のつもりだよ?
map_0080#271	まあいいや。
map_0080#272	その子から手を離せよ、じいさん博士。
map_0080#273	シグムンド: …これが、私がこの仕事で気に入らない部分だ。
map_0080#274	シグムンド: 第4条第9項第3号により、私はリボーン市内の浮浪児全員の保護と監護を担う責任がある。
map_0080#275	第7条第2項第2号により、私は市の境界内で発見された浮浪児を、誰であれ監護下に置く権限を与えられている。
map_0080#276	ただし、監護を主張する意志と能力のある法定保護者、あるいはそれに相当する自立を証明する正式な書類がない場合に限る。
map_0080#277	ヘザー: そんなの知らないわよ!
map_0080#278	アタシは帰る。
map_0080#279	ボーマンダ、あんたの――
map_0080#280	シグムンド: それはさせられないな、坊や。
map_0080#281	ヘザー: ちょっと、痛いってば!
map_0080#282	カイン: おい、放してやれよ!
map_0080#283	シグムンド: 邪魔はしないことをおすすめするよ。
map_0080#284	通常の市の手続きに物理的に介入することは、暴行、非行、公務執行妨害に該当し得るし、実際に該当する。その結果、君の名前には犯罪歴が残り、訴訟を起こされることになるだろう。
map_0080#285	それでは、良い一日を。
map_0080#286	ヘザー: 放し――なさいよ! ちょっと、ちょっとちょっと…
map_0080#287	カイン: あーーーもおおおおおおおお。
map_0080#288	シェリー: あ、あの!
map_0080#289	今の…ヘザーだったわよね?
map_0080#290	本当に?
map_0080#291	カイン: ああ、強制的に保護するとかなんとか言ってさ。
map_0080#292	シェリー: な、なに?!
map_0080#293	そんなのだめよ!
map_0080#294	そんなことできないわよね?!
map_0080#295	カイン: まあ、あの子のお父さんに起きたことを考えるとさ…
map_0080#296	シェリー: あ――そんな…
map_0080#297	なんてこと…
map_0080#298	カイン: …でも、このまま黙って見てるつもりはないよ。
map_0080#299	シェリー: ど、どういうこと?
map_0080#300	カイン: つまりさ、あのケツ博士の手に彼女を放っておくわけにはいかないってこと。
map_0080#301	シェリー: でも何かしたら、わたしたち面倒なことにならない?
map_0080#302	カイン: うん、その通り。
map_0080#303	逮捕されるかもしれないし、牢屋に入れられるかもしれない…
map_0080#304	大問題だ。
map_0080#305	でもヘザーはもう困った状況にいる。
map_0080#306	だから俺はその賭けに出るよ。
map_0080#307	法律なんて、あの子にとって何が一番いいかわかっちゃいない。
map_0080#308	ひとりでちゃんとやってるって言う彼女の言葉を、俺は信じる。
map_0080#309	その日暮らしは大変だけど、みんなが言うほど大変なもんじゃない。
map_0080#310	いい友達が周りにいればね。
map_0080#311	それに、あそこにいたくないってはっきり言ってたじゃん。
map_0080#312	だからって、書類何枚かと年寄りひとりに言われただけで、我慢して受け入れなきゃいけないのか?
map_0080#313	そうは思わないね。
map_0080#314	あいつは、彼女が抵抗して暴れるのを無理やり連れていったんだ。
map_0080#315	俺たちなら助け出せる。
map_0080#316	\PN、一緒にやってくれる?
map_0080#317	カイン: 君ならわかってくれると思ってたよ~
map_0080#318	カイン: 誰もが俺みたいに法律すれすれに慣れてるわけじゃないってわかってる。
map_0080#319	でも良かったら、今回もやっぱり君の力を借りたいんだ。
map_0080#320	心配しないで。何かあったら、責任は俺が全部かぶるから。
map_0080#321	シェリー: …わかった、やろう。
map_0080#322	カイン: え、君も来るの?
map_0080#323	あ、あの、いいなら…
map_0080#324	カイン: まあ、誰に聞くかによっちゃ、そもそも何にもいいことなんてないけどね。
map_0080#325	でも来てくれるのは嬉しいよ、多いほうが楽しいしね~
map_0080#326	シェリー: 彼女はわたしの友達だし――
map_0080#327	ここに呼んだのはわたしだし――
map_0080#328	あの医者だって、わたしのために来ただけだし――
map_0080#329	こうなったのはわたしのせいなんだもの…
map_0080#330	だから、その…
map_0080#331	ちゃ、ちゃんと取り返すよう、頑張るから!?
map_0080#332	カイン: よし、決まりだね。
map_0080#333	彼女を待たせないようにしよう!
map_0080#334	シェリー: う、うん!
map_0080#335	カイン: ゆっくりでいいよ、ゆっくりで。
map_0080#336	俺はいつだって君を待ってるからね、\PN~
map_0080#337	ヴィクトリア: ねえ、今のは――
map_0080#338	キャル: 最低なことしたって、わかってる。
map_0080#339	あんな風にはならないって言ってたのに、それなのに…
map_0080#340	キャル: 彼女を傷つけたくなんてなかった…
map_0080#341	なんで俺は――くそっ――
map_0080#342	ヴィクトリア: ねえ。
map_0080#343	キャル: 放っといてくれ!
map_0080#344	俺みたいな奴は、優しくされる資格なんてない。
map_0080#345	ヴィクトリア: それで何かが良くなるとは思えないわね。
map_0080#346	キャル: 良くなるものなんて何もないんだよ。
map_0080#347	やらかしちまった、もう取り消せない。
map_0080#348	それだけのことだ。
map_0080#349	今の俺にできる一番いいことは、消えることだけだ。
map_0080#350	ヴィクトリア: …
map_0080#351	ヴィクトリア: もしここから遠く離れた場所で、感情のコントロールを学べる場所があるって言ったらどうする?
map_0080#352	どこに?
map_0080#353	ヴィクトリア: アポフィルアカデミーって聞いたことある?
map_0080#354	キャル: いや。
map_0080#355	ヴィクトリア: アズリン湖のちょうど向こう側にあるの。
map_0080#356	実は、わたしが暮らしている場所よ。
map_0080#357	わたしたちの師範のキキなら、あなたを助けてくれるはず、間違いなくね。
map_0080#358	よかったら、そこに連れていってあげる。
map_0080#359	キャル: 俺みたいな奴でも助けられると思ってんのか?
map_0080#360	ヴィクトリア: 試さない方が間違いだと思うわ。
map_0080#361	キャル: わかったよ。
map_0080#362	案内してくれ。
map_0080#363	ヴィクトリア: 喜んで!
