map_0857#87	わかりました、
map_0857#88	では「悲しみ」の治療を早速始めましょう。
map_0857#89	-「O」は……「5」になる-
map_0857#90	フロリニア: 被験者は今、特に不合理な症状に苦しんでいるようだ……
map_0857#91	彼女は通常よりかなり体が軽く感じると訴えているが、あらゆる測定値は体重に変化がないことを示している。
map_0857#92	口角が強制的に上向きにねじ曲げられ、体は普段にない緩みをもって動いているように見える。
map_0857#93	最も極端な例では、患者は呼吸機能を妨げるような不協和音を無意識に発することすらある。
map_0857#94	この分野最高の科学者たちでさえ、この奇妙な現象の進化上の目的をいまだ解明できていない。
map_0857#95	一体何が起きたというのか……？
map_0857#96	フロリニア: 「喜び」？
map_0857#97	ありえない。
map_0857#98	いや――可能性は低い。
map_0857#99	適切な治療のためには、何も除外してはならないと考えるべきか……
map_0857#100	だが、どうすれば被験者が「喜び」に晒され、感染しうるというのか……？
map_0857#101	これは――大惨事だ。
map_0857#102	私は――
map_0857#103	すぐに助けを求めなければ。
map_0857#104	-「R」は……「@」になる-
map_0857#105	-うまくいってる！-
map_0857#106	-彼女が感じていることを理解する手助けをすることで、彼女の心のもっと深くまで入り込めた！-
map_0857#107	-でも本当に残念……どうして今まで、彼女はネガティブな感情ばかり認めてきたの？！-
map_0857#108	-まだ手助けできるなら、言ってね！-
map_0857#109	-「V」は……「T」になる-
map_0857#110	-「W」は……「#」になる-
map_0857#111	フロリニア: 患者は新たな症候群にすっかり支配されているようだ。
map_0857#112	瞳孔が開き、何かに引っ張られているかのように、常に前かがみになる必要があるように見える。
map_0857#113	患者は一意専心な目的意識――ある課題に自らを完全に捧げ、それに取り憑かれる傾向を報告している。
map_0857#114	最も遺憾なことに、その課題の具体的な内容は彼女の制御が及ばないようだ――さもなければこの症状は生産性にとって幸運な発展となっていたかもしれない。
map_0857#115	フロリニア: ……本当に？
map_0857#116	患者は「情熱」であると診断された……
map_0857#117	諸刃の剣だ。
map_0857#118	一方で、この「情熱」が付着するらしいランダムな対象に気まぐれに向けられたとしても、多くの状況で有用な道具となりうる。
map_0857#119	統計によれば、「情熱」に従うことは生産性から個人の健康に至るまで、圧倒的に多くの恩恵をもたらす可能性がある。
map_0857#120	しかし、この「情熱」に冒される人物は別の個人であるほうが望ましかっただろう。
map_0857#121	とりわけこの被験者がそれを発症したことは、深刻なリスクだ。
map_0857#122	最も安全な進め方を検討しよう。
map_0857#123	-混乱を達成した！-
map_0857#124	-ついにポジティブな感情のひとつを解放したのに、彼女は全然うれしそうじゃない！？-
map_0857#125	-どうしてこんなことに！？-
map_0857#126	-あと少しよ！-
map_0857#127	-最後の一押しをしてあげて！-
map_0857#128	フロリニア: そこに内在する論理的誤謬:
map_0857#129	被験者は「恐れ」ゆえに、自分の中にあるその他さまざまな感情的症状を抑圧することを選んだ。
map_0857#130	しかし、「恐れ」の存在そのものが、さらにもうひとつの、より深く根源的な欲求を暗に示している。
map_0857#131	それは確かに有効な生存機構だが――感情そのものがすべて生存のための道具である以上、その抑圧は実質的に不適応と言える。
map_0857#132	したがって、「恐れ」に他のすべてを凌駕させ、被験者から切り離す優先度を与えたのは、単純な生存の問題ではなかったと推論される。
map_0857#133	この状況を踏まえると、おそらく社会的な圧力か欲求のほうが――
map_0857#134	でもそれは……
map_0857#136	「愛」。
map_0857#137	これ全部――全部隠していたのは、この被験者が欲しかったから――
map_0857#138	だ、だってわたしは欲しかったから――
map_0857#139	愛されることが。
map_0857#140	エイミーがターニアに求めたようなねじれた形じゃなくて。
map_0857#141	あの子にそんなことを求めていたわけじゃない。
map_0857#142	ただみんなが――
map_0857#143	わたしたち全員が――
map_0857#144	友達のまま一緒にいられたらって、それだけだった。
map_0857#145	受け入れられること、
map_0857#146	居場所があること、
map_0857#147	そういう種類の愛。
map_0857#148	いつも感情が邪魔をしていた。
map_0857#149	エイミーのうつ。
map_0857#150	ターニアの恨み。
map_0857#151	ジュリーの……災難ばかりに惹かれてしまう、あれが何であれ。
map_0857#152	わたしの弱さ。
map_0857#153	もし――わたし自身が感情に振り回されすぎなかったら、
map_0857#154	その感情でターニアを傷つけなかったら――
map_0857#155	それが重荷だってわかってたけど、他にどうすればよかったの？
map_0857#156	たぶん、全部うまくいってたかもしれない。
map_0857#157	今思えば、それは甘かった。
map_0857#158	絶対うまくいくはずなんてなかった。
map_0857#159	ターニアの重荷はエイミーだった。
map_0857#160	わたしは助けにならなかったけど、あの子を限界まで追い詰めたのはわたしじゃない。
map_0857#161	それでもわたしはそれを自分の中に抱え込むことを選んだ。
map_0857#162	状況がどうしようもないと認めるより、抱え込むほうが楽だったのかもしれない。
map_0857#163	対照群というのは偽りの制御感という幻想を打ち砕くために存在するけれど、自分たちの人間関係にはそんな贅沢は許されていない。
map_0857#164	結局わたしは自分の感情を切り離した――愛を感じたいと思わせるはずのものを――それを勝ち取るために。
map_0857#165	悪魔との取引。
map_0857#166	バカだった。
map_0857#167	本当に、本当にバカだった……
map_0857#168	フロリニア: そろそろ行かなければ。
map_0857#169	これを全部整理しないと。
map_0857#170	こんなに長くあなたを私の感情的な葛藤に巻き込んでしまったことに罪悪感を覚えます、
map_0857#171	でも、それを少なくとも自覚できたことには安堵しています。
map_0857#172	たぶん、そうすることこそが必要だったのでしょう。
map_0857#173	では、いったんお別れです。
map_0857#174	フロリニア: そして、ありがとうございます。
map_0857#175	できれば、ここで起きたことを他の人には話さないでほしいのですが……
map_0857#176	おそらく、私自身がそれをすることが大切なのでしょうから。
map_0857#177	-やったね！-
map_0857#178	-これでラティオスもここに来た！-
map_0857#179	ラティオス: ティオーーーー！
map_0857#180	ラティアス: -私たちのゲームに付き合って、もう一人の人間を助けてくれてありがとう！-
map_0857#181	-正直に言うと、ラティオスは一度も汚染されてなかったの！-
map_0857#182	-あなたにあの子を助ける気になってもらうための、ちょっとしたいたずらだったのよ！-
map_0857#183	-あなたたちが「アノマリー」と呼ぶあのエネルギー場に囚われるのって、ある意味夢の中で生きてるようなものなの！-
map_0857#184	-でも自分たちじゃ目覚められなかった！-
map_0857#185	-あなたが私たちをそこから解放してくれた後、あの人間の中に深い乱れを感じたの！-
map_0857#186	-だからお礼に、彼女のことも解放してあげたかったの！-
map_0857#187	-私の感情の感覚と、ラティオスの幻術、そしてあなたが彼女に語りかければ、きっと大丈夫だと思う！-
map_0857#188	ラティオス: ラーイオ～
map_0857#189	ラティアス: -私たちも今、喜んであなたと一緒に行くわ！-
map_0857#190	-冒険に出かけましょう！-
map_0857#191	フロリニア: ……いや、それはやめておきましょう。
map_0857#192	そこには行かないほうがよいかもしれません。
map_0857#193	-この場所を離れたら、私のテレパシーはもう使えなくなるの！-
map_0857#194	-悲しいけど、私がいつもあなたを支えてるって、あなたの心の奥底で信じるしかないの！-
map_0857#195	-行きましょう！-
map_0857#196	ラティアスがあなたについていきたがっている。
map_0857#197	ラティアスを受け入れますか？
map_0857#198	ラティアス: -えっ？-
map_0857#199	-ためらう必要なんてないのに！-
map_0857#200	-もう私の声が聞こえなくなるんじゃないかって心配なら、自分の心の中をのぞいてみて！-
map_0857#201	-自分の気持ちに耳を澄ませば、きっといつでも私が何を言ってるかわかるはずよ！-
map_0857#202	ラティオス: リオ！
map_0857#203	ラティオスがあなたについていきたがっている。
map_0857#204	ラティオスを受け入れますか？
map_0857#205	ラティオス: ロ？
map_0857#206	アンナ: やあ、\PN！
map_0857#207	楽しかった？
map_0857#208	自分がすることに意図しない結果がついてきたとしても、それが悪い結果だとは限らないって気づいたの！
map_0857#209	コツをつかむと、これって結構楽しいね！
map_0857#210	それに、あたし考えてたんだけど……
map_0857#211	リンが本当にいなくなったって、確信できる？
map_0857#212	負けて、それで……素直に受け入れるなんて、あの子らしくない。あの子にはいつも別のゲームとか、計画とか、何かがあるから。
map_0857#213	あの子はもう一体人形を持ってた。
map_0857#214	もしかしたら二体目もあるかも！
map_0857#215	それなら今まで起きてる悪いことにも説明がつく。
map_0857#216	油断しないでね？
map_0857#217	リン: ねえ、いいことだったでしょ？
map_0857#218	みんなそれぞれ自分だけのセラピーセッションをもらってさ。
map_0857#219	そしてこれ、あたしがいなかったら起きなかったってわかってるよね。
map_0857#220	ちょっとくらい感謝の気持ち見せてもバチは当たらないんじゃない？
map_0857#221	ありがとうって言いなよ。
