22b_field_notes#635	...攻撃側が 地上に いる とき
22b_field_notes#636	...フィールド効果を 発生 または 変化させる とき
22b_field_notes#637	...フィールド効果を 消す とき
22b_field_notes#638	...地上の どくタイプや かんそうはだ、ちょすいは 少しずつ HPを 回復する
22b_field_notes#639	...地上に いて ほのおタイプ以外の とき
22b_field_notes#640	...地上に いる とき 毎ターン うるおいボディ、ぎょぐん、サーフテール、すいすい、げきりゅう、みずがためが 発動
22b_field_notes#641	...地上に いる とき 毎ターン ひとでなし、ポイズンヒール、ぎょぐん、サーフテール、すいすい、どくぼうそう、みずがためが 発動
22b_field_notes#642	...地上に いる とき ポイズンヒール、どくぼうそう、ひとでなしが 発動
22b_field_notes#643	...地上に いて どく・はがねタイプ以外の とき
22b_field_notes#644	...地上に いる とき 毎ターン
22b_field_notes#645	...地上に いる とき
22b_field_notes#646	...アクアリング状態、または つぎの とくせいが ある とき: ほのおのからだ、ねつぼうそう、もらいび、たいねつ、マグマのよろい、すいほう、みずのベール
22b_field_notes#647	...直接攻撃で ない とき
22b_field_notes#648	...つぎの とくせいが ある とき: めんえき、ポイズンヒール、どくぼうそう、ふしぎなまもり
22b_field_notes#649	...つぎの とくせいが ある とき: もふもふ、くさのけがわ、アイスボディ、リーフガード
22b_field_notes#650	...氷の下が 水面で ない ときに つぎの わざを 使うと: じならし、じしん、じわれ、マグニチュード、ライジングランドオーバー
22b_field_notes#651	...しめりけが ない ときに つぎの わざを 使うと: ふんか、だいばくはつ、ほのおのちかい、はじけるほのお、ねっぷう、やきつくす、ダイナミックフルフレイム、ふんえん、ビックリヘッド、かえんだん、じばく
まもる系の わざで 守られた ポケモンや もらいびの ポケモンは この ダメージを 受けない
22b_field_notes#652	...相手が 地上に いる とき
22b_field_notes#653	...対象が 地上に いる とき
22b_field_notes#654	...とくせい マグマのよろい または ほのおのからだが ある とき
22b_field_notes#655	...攻撃側が つぎの とくせいを もつ とき: ちからずく、こんじょう、ちからもち、ヨガパワー
22b_field_notes#656	...攻撃側の すばやさ種族値が 対象より 高い とき
22b_field_notes#657	...その わざで ポケモンを たおした とき
22b_field_notes#658	...対象が きんちょうかんで なく つぎの とくせいが ある とき: せいしんりょく、マイペース、ヨガパワー、すながくれ、ふくつのこころ
22b_field_notes#659	...対象が てきおうりょく、シンクロ、きけんよち、テレパシーを もつ とき
22b_field_notes#660	...対象が どんかん、たんじゅん、てんねん、ぶきようを もつ か こんらん状態の とき
22b_field_notes#661	...天気が はれの とき はれが 続く 間
22b_field_notes#662	...フィールド効果を 変化させる とき
22b_field_notes#663	...続けて 使うと 4ターン。これらは 発生後に フィールドの 持続ターンを 再設定 できる。
22b_field_notes#664	...続けて 使うと 5ターン。これらは 発生後に フィールドの 持続ターンを 再設定 できる。
22b_field_notes#665	...地上の 対象に 使った とき
22b_field_notes#666	...フィールド効果が ない 間
22b_field_notes#667	...せいしんりょくは こんらん状態に ならない
22b_field_notes#668	こうげきが 上がると 高い 乱数が 出やすく なる。こうげきが 下がると とくせいに 関係なく 出にくく なる。
22b_field_notes#669	アクセルロック、じならし、じしん、マグニチュード、ロッククライム、かいりき
