map_0735#227	未来など、覚悟には到底かなわない。
map_0735#228	アンナ: えっとね……実を言うと、
map_0735#229	わたし、ずっと知ってたの!
map_0735#230	あとはタイミングを待つだけだったんだから~
map_0735#231	それに、その間パパが寂しいだろうって分かってたから、お友達に手伝ってもらったの!
map_0735#233	一体、誰のことを言っているんだ?
map_0735#234	アンナ: シャドウさんだよ、もちろん!
map_0735#235	ラドマス: ルナが話していた、あのシェイドのことか?
map_0735#236	アンナ: そう!
map_0735#237	前みたいにパパが一人ぼっちにならないように、シャドウさんに彼女をパパのところへ連れて行ってもらうよう頼んだの!
map_0735#238	セラ: それじゃあ、あの子がわたしのところに来た時も……あれも、あなたの仕業だったの?
map_0735#239	アンナ: ううん!
map_0735#240	それは、あの子かシャドウさんが、自分で決めたことだよ!
map_0735#241	ラドマス: では、先ほどのことは……
map_0735#242	彼女がブラックホールに足を踏み入れた、あれは、
map_0735#243	お前の計画のうちだったのか?
map_0735#244	アンナ: あの子、そんなことしたの?!
map_0735#245	ラドマス: なるほど……
map_0735#246	つまり、彼女は本来、私のもとを離れるはずではなかった、ということか。
map_0735#247	アンナ: だってそうなったら、パパがまた寂しくなっちゃうもん!
map_0735#248	それに、あの子ってすっごくいいお姉ちゃんになったと思うんだ!
map_0735#249	ねえ、そう思わない、ノエル?
map_0735#250	ノエル: 誰の話をしているのか、僕にはまだ分かりません。
map_0735#251	セラ: でも、たとえ残るはずだったとしても、結局誰も残らないじゃない。
map_0735#252	アンナ: 「誰か」がずっといるわけじゃないけど、「誰か」はいつだっているんだよ!
map_0735#253	だから、寂しく思う相手なんていないってこと!
map_0735#254	ノエル: 大数の法則みたいなものを考えれば、探し続けていればいつかこうなるのは、当然の理屈です。
map_0735#255	アンナ: それに、ちょっとだけ手伝ってもらったし~
map_0735#256	セラ: あなたって、本当に信じられない子ね。
map_0735#257	アンナ: え、なんで!
map_0735#258	わたし、ちゃんと信じられるもん!
map_0735#259	ねえ、ノエル?
map_0735#260	ノエル: 時々は。
map_0735#261	アンナ: ノエル!!!
map_0735#262	セラ: でも、信じられない子だとしても、あなたたちはちゃんとここにいるじゃない。
map_0735#263	アンナ: それなら、セラが信じることを変えればいいだけじゃん!
map_0735#264	物事の見方が現実を正しく映してないんだったら、なんでそのままの見方を続けるのさ?
map_0735#265	ノエル: それを言えるのは、姉さんが一番言っちゃいけない人だと思いますけど。
map_0735#266	アンナ: それか、一番言うべき人!
map_0735#267	セラ: 現実を映す、ね……
map_0735#268	それなら……
map_0735#269	いっそ、鏡なんて置いてしまった方がいいのかもしれないわ。
map_0735#270	何も映さないようにね。
map_0735#271	アンナ: それで、自分にとって一番いいように、物事を見ればいいんだよ!
map_0735#272	セラ: 口の上手さは、一家の血筋ってわけね。
map_0735#273	ラドマス: それは、母親譲りだな。
map_0735#274	セラ: それは違うと思うけど。
map_0735#275	ラドマス: あるいは、私たち全員から受け継いだのかもしれないな。
map_0735#276	それに、私たち全員が、この子たちから学ぶ余地があるのかもしれない。
map_0735#277	アンナ: 誰かを失うのはつらいけど、まだそばにいてくれる人に頼っちゃえばいいんだよ!
map_0735#278	だから、今はわたしたちを頼ってね!
map_0735#279	ラドマス: おいおい、ここでの親は誰だったかな?
map_0735#280	アンナ: あ、しまった!
map_0735#281	ラドマス: だが、もちろん、お前の言う通りだ。
map_0735#282	私が嘆かわしく思うのはただ、お前たちに「こんにちは」を言うために、サーナイトとルナに「さようなら」を言わねばならなかったことだ。
map_0735#283	セラ: あの男の子のことも忘れないでね。
map_0735#284	でも、この状況を考えれば、もっとひどいことになっていてもおかしくなかったわ。認めるけど。
map_0735#285	ラドマス: 被害がこれほど軽く済んだのは、おそらくサーナイトが催眠にかけられながらも、必死に自分を制御しようとしていたからだろう。
map_0735#286	セラ: 最後まで忠実だったってわけ?
map_0735#287	それには、まだ慣れないわね。
map_0735#288	アンナ: それも、そろそろ変えていいころだよ!
map_0735#289	???: あの、失礼します!
map_0735#290	???: 邪魔してごめんなさい、でも――
map_0735#291	アンナ: やった、やったね!!!
map_0735#292	アンナ: 二人ともお疲れさま!
map_0735#293	セラ: わたしが見ていない間に、託児所でも開いたの?
map_0735#294	ラドマス: 私が見ていない間にも、そうかもしれないな。
map_0735#295	アンナ: はい、みんな注目!
map_0735#296	この子たちが、わたしのお友達、ルミとイヴだよ!
map_0735#297	ルミ: あ、どうも!
map_0735#298	イヴ: 皆さんには、たくさんご迷惑をおかけしました。
map_0735#299	どうか、お詫びさせてください。
map_0735#300	ラドマス: 先ほどここにいた黒衣の男が、お前たちに呼びかけていたようだが?
map_0735#301	イヴ: その通りです……哀れなものですが。
map_0735#302	ルミ: ちょーっと長い話になるんだけど、要するに、あたしたち、長い間あいつと一緒に閉じ込められてたの……
map_0735#303	……同じ体の中に。
map_0735#304	あんまりおすすめできる経験じゃないよ……
map_0735#305	イヴ: 要するに、私たちはずっとチームメテオのために働かされていたのです。
map_0735#306	ほとんど手に負えないほどの厄介事を生み出してきたPULSEのシステムは、私が開発したものです。
map_0735#307	セラ: あら。それはどうも。
map_0735#308	ルミ: ちょっと、イヴだって好きでやってたわけじゃないんだからね!
map_0735#309	イヴ: 私がチームメテオのために機械を開発することに同意したのは、ルミの肉体が適切に保護されるという条件があったからだけです。
map_0735#310	ルミ: あたしたち二人の体、両方とも、でしょ。
map_0735#311	自分のことを後回しにし続けなくてもいいんだよ。
map_0735#312	イヴ: 私は常に、私たちを本来の体に戻す方法を見つけるつもりでいました。
map_0735#313	ですが、自分自身の思考のプライバシーすら持てない状況では、それに向けて動くことなど不可能でした。
map_0735#314	ルミ: 戻ってこられて嬉しいけど、そのために可哀想なジバコイルを失わなきゃいけなかったのは、正直嫌だったな……
map_0735#315	それに、完全に自分の体を動かせるようになるのも、また慣れるまで少し時間がかかって……
map_0735#316	イヴ: ええ、最初は苦労しました。
map_0735#317	あなたがしてくれたことに、改めて感謝します。
map_0735#318	アンナ: だよね!
map_0735#319	セラ: それで……一体、何をしたの?
map_0735#320	アンナ: わたしとノエルが、この子たちと入れ替わったんだよ!
map_0735#321	ノストラが、この子たちがすぐに目を覚ますことがすごく大事だって言ってたから!
map_0735#322	イヴ: そのおかげで、\PNがここまでたどり着く手助けができました。
map_0735#323	私たちは通風口に隠れて移動し、チームメテオの目を逃れ、自分たちのポケモンを取り戻して\PNを助けました。
map_0735#324	ルミ: グレイシアのこと、大事にしてくれてありがとう、\PN!
map_0735#325	ルミ: でも、グレイシアにもうちょっと優しくしたって、罰は当たらなかったんじゃない?
map_0735#326	あの子はただ、あんたのために精一杯やってただけなのに……
map_0735#327	ルミ: なんか、すっごい本気のかくれんぼって感じだったよ!
map_0735#328	イヴ: もっとも、\PNが実際にここに着いてからのことは、もう少しうまくいってもよかったのですが。
map_0735#329	ルミ: だよね……
map_0735#330	あ、誤解しないでね、\PN! あんたを責めてるわけじゃないんだから!
map_0735#331	でも、ゼロがスリーパーを使ってあんたを操ろうとするって、分かってたから――
map_0735#332	だから、それを止めようとしたの!
map_0735#333	イヴ: あなたに使われた瞬間、システムの電源を切ろうとしました。
map_0735#334	ですが、あいにく電源には自動再起動の機能がありました。
map_0735#335	それを見越しておらず先手を打つことができなかったので、私たちにできたのは、システムの電源を入り切りさせ続けることだけでした。
map_0735#336	ルミ: 十分な回数やれば、制御に穴ができて\PNが突破できるかもって、期待してたの!
map_0735#337	イヴ: ですが、結果はご覧の通りです。
map_0735#338	アンナ: 大丈夫だよ、二人とも精一杯頑張ったんだから!
map_0735#339	ルミ: カインのこと、本当に悪いなって思う……
map_0735#340	あいつ、ここに来てからブラックホールに落ちるまで、自分の意志で動く機会すら一度もなかったんだから……
map_0735#341	アンナ: うん……でも!
map_0735#342	\PNが戻ってこれたんだから、カインだってきっと戻ってこれるよ!
