map_0085#59	受け取る?
map_0085#60	\PNはタマゴを手に入れた!
map_0085#61	このあたりは綺麗に保ってください。
map_0085#62	みんながみんな、ゴミを踏みたいわけじゃないんだから。
map_0085#63	あ、あっちいけ、ここはオレの場所だ!
map_0085#64	グレゴリー: ここはオレの場所だから、どいてくれる?
map_0085#65	おいおい、何の用だよ、何も持ってねえよ…
map_0085#66	おい、何だ?!
map_0085#67	どうやってそこまで来たんだ?
map_0085#68	うわ、まさかエレベーター、また動くようになったのか。
map_0085#69	まったく、自分の縄張りを楽しんでたのになあ。
map_0085#70	下がってもらわねえとな、相棒。
map_0085#71	ここはオレの縄張りだ。
map_0085#72	今は無理だ、忙しいんでな。
map_0085#73	スイッチが必要なら、勝手に使ってくれ。こっちは構わねえよ。
map_0085#74	あはは…
map_0085#75	何か掴んだか?
map_0085#76	売る気があるなら、買うぜ。
map_0085#77	警察だったら、今のは冗談だ。
map_0085#78	こういう場所じゃ、いつ何を見つけるかわからねえもんだ――
map_0085#79	どの発見が金鉱を「オレのもん」にしてくれるかもわからねえしな!
map_0085#80	飲みすぎたみたいだ。今日は何も飲んでないってのに…
map_0085#81	ウルフ: うわ、マジかよ…
map_0085#82	あそこでまた何かが動いたのを見た気がしたんだが…\n今日で四回目だ。
map_0085#84	ああ、遠回りしてきたのか?
map_0085#85	悪かったな。
map_0085#86	門を閉めてる方がよく眠れるんでな。
map_0085#87	それじゃあ、そろそろ…
map_0085#88	どのみち、門をあんまり長く閉めとくのも良くないしな。
map_0085#89	一般人がここをのそのそ通らずに済む方が、俺たちにとってもいいわけだし。
map_0085#90	施錠されている。
map_0085#91	隠されたスイッチだ! 押す?
map_0085#92	押さない理由がある?
map_0085#93	やめておこう…
map_0085#94	隠されたスイッチだ!
map_0085#95	でも、もう切り替わっている。
map_0085#96	ヴィクトリア: そんなに役に立ちたいなら、証明してみせてもらいましょうか。
map_0085#97	やり手気取り: あ…ああ…
map_0085#98	ヴィクトリア: ここはわたしに任せて、心配しないで。
map_0085#99	あなたは先に行って、アマリアを見つけられるか確かめてきて。
map_0085#100	ストリートラット: くそ、お、俺、キメないと…
map_0085#101	なあ、「ふしぎなアメ」とか持ってねえか?
map_0085#102	え、持ってんのか?
map_0085#103	なあ見てくれ。これ持ってるんだ。リンクストーンって呼ばれてるやつだと思う。けっこう価値があるって聞いたぜ。
map_0085#104	でもあの、金は持ってないんだ。でもあの、思うんだけど…
map_0085#105	このリンクストーンと交換で、その品を譲ってくれないか?
map_0085#106	マジかよ。マジで。やった。よし。
map_0085#107	よし、じゃあこれをやるよ。
map_0085#108	ストリートラット: よし、それでそっちの品をくれよ、な?
map_0085#109	\PNは「ふしぎなアメ」を渡した。
map_0085#110	ストリートラット: あ…
map_0085#111	これ、「ふしぎなアメ」じゃなくて、ただの普通のふしぎなアメじゃねえか…
map_0085#112	マジかよ…このリンクストーンを手放したのはこれのためかよ?
map_0085#113	まあ…
map_0085#114	これで我慢するしかねえか…
map_0085#115	ストリートラットはふしぎなアメを食べた!
map_0085#116	ストリートラットのレベルが1上がった!
map_0085#117	ストリートラット: これ、意外と悪くねえな…
map_0085#118	ポケモンがこれを好きな理由、わかる気がするぜ…
map_0085#119	ああ、いや、気にすんな。わかるよ、ほんと。
map_0085#120	それは残念だな。
map_0085#121	ストリートラット: なんか…ましな人間になった気がする。
