map_0679#93	\PNは　げきりゅうバッジを　受け取った!
map_0679#94	アマリア: それが　あれば　バトル外でも　いつでも　ロッククライムが　使えるようになるよ!
map_0679#95	それと　これも　受け取って!
map_0679#96	アマリア: ……
map_0679#97	付き合ってくれて　ありがと\PN。
map_0679#98	作り笑いを　浮かべてるほうが　バトルは　楽なの。
map_0679#99	あなたにも　他に　やることが　いろいろ　あるだろうから　もう　行くね。
map_0679#100	アマリア: あ　大丈夫　ゆっくりで　いいよ!
map_0679#101	アマリア: 戻ってきたの?
map_0679#102	おかえり。
map_0679#103	今度も　どこにも　行かないんだね。
map_0679#104	あたしの惨めさを　生きて。
map_0679#105	アマリア: ごめんね……
map_0679#106	アマリア: 「海の声は　誘惑的で　絶え間なく
map_0679#107	ささやき　叫び　つぶやき　魂を　孤独の深淵で　しばし　さまよわせるよう　いざなう」
map_0679#108	でも　ここに　海は　ない。
map_0679#109	魂も　ない。
map_0679#110	孤独ですら　あたしには　もったいない。
map_0679#111	だから　あなたは　ここに　来たんでしょ?
map_0679#112	そこに立って　こう思ってる「彼女は　許せない
map_0679#113	さっさと　バッジを　くれよ
map_0679#114	かまってほしくて　愚痴るのは　やめろ
map_0679#115	本当は　どこも　悪くないくせに」って。
map_0679#116	でしょ?
map_0679#117	でも　わかってないんだよ!
map_0679#118	たとえ　ここに　誰も　いなくても　それでも　そう言う誰かが　いるの。
map_0679#119	それは　彼女が　そばに　いるときだけ　黙ってくれる　あたしの一部。
map_0679#120	それは　あたしが　殺せない　あたしの一部。
map_0679#121	試したこと　あるのは　知ってるでしょ。
map_0679#122	一番　最悪なのは……
map_0679#123	それがなければ　自分が　何者かすら　わからないこと。
map_0679#124	あんたにも　まだ　激怒してる部分が　あるの。
map_0679#125	あんたは　何も　間違ってないのかも　しれない。
map_0679#126	でも　彼女が　いなくなったのは　あんたの　せいなんだから。
map_0679#127	だから　結局　どっちかが　もう片方を　水の下に　沈めるしか　ないんだよ。
map_0679#128	挑戦者と　バトルするとき　形式的に　こう聞くの。
map_0679#129	ダブルバトルと　シングルバトル　どっちが　好き?
map_0679#130	どっちでも　いいよ。
map_0679#131	アマリア: シングルか。
map_0679#133	アマリア: ダブル　本当に?
map_0679#134	ウソじゃ　ないよね?
map_0679#135	確かめてみましょ。
map_0679#136	だって　聞くとは　約束してないもの。
map_0679#139	アマリア: これが　げきりゅうバッジ。
map_0679#140	アマリア: ロッククライムが　使えるようになる。
map_0679#141	これは　ねっとうの　わざマシン。
map_0679#142	アマリア: さあ　行って。
map_0679#143	あんたを　自由にしてあげる。
map_0679#144	あんたも　彼女も。
map_0679#145	それで　もし　あたしに　何か　あったら
map_0679#146	やっと　安らげたんだって　思ってて。
map_0679#147	ティタニア: 今度こそ　残って　話してくれるか?
