map_0769#306	何言ってるの？
map_0769#307	ノエル: 負けたら片方は先に進めないなら、一番役に立つチームが勝つべきだ。
map_0769#308	チームメテオと戦う上で、あんたのほうが僕より役に立つ。
map_0769#309	僕が負けるべきだ。
map_0769#310	ラドマス: お前は自分のために戦ってもいいんだぞ。
map_0769#311	常に他人のためである必要はない。
map_0769#312	セラ: でも、この子の言うことに賛成できないとは言えないわね。
map_0769#313	取り戻すべきサーナイトがいるんでしょ？
map_0769#314	あんたが先に進んだほうがいいんじゃない？
map_0769#315	ハーディ: おい、お前らの事情は全部知らねえけどよ、
map_0769#316	ホームフィールドだろうがなんだろうが、相手のことばっか考えてたら、いつまでも負け続けるぞ！
map_0769#317	少なくともオレは、このセットを終わらせるまで帰る気なんてねえからな！
map_0769#318	セラ: あたしにだって、何かあるってわけでもないし。
map_0769#319	ラドマス: それはお前がそう考えることを選んでいるからに過ぎん。
map_0769#320	セラ: 自分の考えなんて、いつも選べるわけじゃないでしょ。
map_0769#321	そんな単純な話じゃない。
map_0769#322	うまくいかない時だってあるのよ。
map_0769#323	ラドマス: バトルの勝ち負けを選ぶことはできるか？
map_0769#324	セラ: 挑戦することは選べるでしょうね。
map_0769#325	ラドマス: その選択をしなければ、バトルには勝てん。
map_0769#326	だが、お前は挑戦すらしていない。
map_0769#327	必要とあらば、私が直接手本を見せよう。
map_0769#328	テラ: そしてえええ最後にして、たぶん最弱おお、\tts[TERRA: AAAAND LAST BUT POSSIBLY LEAST,]
map_0769#329	歩くご都合主義……
map_0769#330	組む相手はああ……
map_0769#331	ブレイク・ホイテイカーだああ！！！
map_0769#332	テラ: 対おおお……！！！！\tts[TERRA: VS...!!!!]
map_0769#333	どうでもいいつまんない女あ。\tts[some boring bitch, who cares.]
map_0769#334	……対！！！！！！！！
map_0769#335	大量殺人犯とその動機だあああ！
map_0769#336	ルミ: 殺人犯？動機？
map_0769#337	イヴ: PULSEのことで私たちを責めてるのよ。
map_0769#338	でも、それを使ってる陣営にまだ味方してる人が言うにしては、空虚な言葉だわ。
map_0769#339	気にする必要はないわ。
map_0769#340	私たちの役目はわかってる。
map_0769#341	ルミ: だよね！
map_0769#342	今のわたしたちは、他のみんなの踏み台としてここにいるだけ。
map_0769#343	他のみんながもっと次のラウンドに進めれば、チームメテオを止められる可能性が上がる！
map_0769#344	キャル: つまり本気を出すつもりはないってことか？
map_0769#345	テラ: おいこらビイイイイッチ、本気でやんなきゃ空を飛ばすことになるよおお。\tts[TERRA: BIIIIIIIIIIIIIIIIITCH Y'ALL BETTER BE TRYIN' OR YA GONNA BE FLYIN'.]
map_0769#346	フロリニア: 相手側の非協力は棄権とみなされるべきか？
map_0769#347	テラ: アタシの領域に棄権なんてないんだよおおお！！！！！！\tts[TERRA: THERE ARE NO FORFEITS IN MY DOMAIN!!!!!!]
map_0769#348	ガアアアアアアアアアアッ！！！！！！！！！！
map_0769#349	本気で戦わないヤツはモグラ叩きみたいに地球の中心まで叩き込むからねええ！！！！！！！\tts[ANYONE WHO DOESN'T BATTLE SERIOUSLY WILL BE WHACK-A-MOLED THROUGH THE CENTER OF THE EARTH!!!!!!!]
map_0769#350	イヴ: つまり少し違うのね。
map_0769#351	そんな感じだろうとは思ってたわ。
map_0769#352	ルミ: わたしたちも頑張るけど、本当にみんなのこと応援してるからね！
map_0769#353	指切りげんまん！
