map_0355#74	いらっしゃい！
map_0355#75	ハートのウロコ1枚で、ポケモンが忘れちゃった技を思い出させてあげるよ！遠慮しないで、懐かしい技を覚え直しちゃおう！
map_0355#76	さらにハートのウロコを2枚足せば、ポケモンが自分から技を思い出すこと間違いなし！
map_0355#77	材料は揃ってるね、それで技はいるかい？！
map_0355#78	今日はどのポケモンにする？
map_0355#79	いつでもどうぞ！
map_0355#80	そのタマゴで俺をからかってるのか！
map_0355#81	おっと、そのポケモンに教えられるものは実はないんだ。他のを試すかい？
map_0355#82	そのポケモンはもう古い技を覚えてるよ！
map_0355#83	どうする？
map_0355#84	\PNは引き換えにハートのウロコを1枚渡した。
map_0355#85	またおいで！
map_0355#86	\PNは引き換えにハートのウロコを3枚渡した。
map_0355#87	いつでもどうぞ！
map_0355#88	手伝ってくれる？
map_0355#89	メザメ: 女王の邪悪な企みが実を結ぶ前に、急いでハートのウロコを集めてね、小さなトレーナーさん！
map_0355#90	？？？: 勇敢なトレーナーさん、少しだけお時間をください！
map_0355#91	この姿では気づかないかもしれないけれど……
map_0355#92	実を言うと、あたしの本当の正体は――
map_0355#93	ミスティカル・ヴィヴィッド・メイジ・メザメ、心を引き裂く魔法少女よ！
map_0355#94	七つの闇の女王と戦うため、あたしはハートの力を集めなくちゃいけないの！
map_0355#95	トレーナーさん、あなたなら力になれる！
map_0355#96	力を集める手助けに、ハートのウロコを持ってきて！
map_0355#97	お礼に、あたしの魔法の力であなたのポケモンの「めざめるパワー」を解き放ってあげる！
map_0355#98	今のあたしはエネルギー不足で技そのものを教えることはできないけど、少なくともハートのタイプにすることはできるわ！
map_0355#99	あたしの助けがあれば、文字通り何にでもなれるのよ！
map_0355#100	女王の邪悪な企みが実を結ぶ前に、急いでハートのウロコを集めてね、小さなトレーナーさん！
map_0355#101	メザメ: すごいわ！やっぱりあなたを頼りにして正解だった！
map_0355#102	それじゃ、どのポケモンの「めざめるパワー・ハート」を解き放ってほしい？
map_0355#103	メザメ: あら、気が変わったの？！
map_0355#104	このこと、七つの闇の女王に知られるわけにはいかないもの！
map_0355#105	メザメ: あら、ごめんね、小さなタマゴさん！でも孵化するまでは「めざめるパワー」を変えられないの！
map_0355#106	他に何かしてあげられることはある？
map_0355#107	メザメ: オッケー！
map_0355#108	メザメ: クリスタル・ハート：シャイニング・レゾナンス・リフレイン――Re：アンリミテッドEX～！
map_0355#109	カジンゴ！
map_0355#110	あなたのポケモンは、ハートの奥底から新たな「めざめるパワー」を解き放った！
map_0355#111	それじゃ、そのハートのウロコはいただくわね！
map_0355#112	永遠の光たちが、七つの闇の女王との戦いへのあなたの貢献に感謝しているわ！
map_0355#113	メザメ: 他に何かしてあげられることはある？
map_0355#114	メザメ: お願い、あなたが断ったら永遠の光たちがどうなるか、考えてみて！
map_0355#115	さあおいで、あなたのポケモンに真新しい技をいろいろ教えてあげる！
map_0355#116	どれが見たい？
map_0355#117	さわぐとはね！あおいかけら3個いただくよ！
map_0355#118	かけらは正面カウンターで交換できるよ！ケチケチしないで！
map_0355#119	それでノックアウトマシンに一歩近づくね！
map_0355#120	その轟く喉を世界に見せつけろ！みどりのかけらたった5個！
map_0355#121	フィールドを暴れまわれ！むらさきのかけら4個！
map_0355#122	低く強く叩き込め！あかいかけら6個！
map_0355#123	かけらは正面カウンターで手に入るよ！ケチケチしないで！
map_0355#124	他にポケモンをパワーアップさせたい人は？！
