map_0846#56	現時点では、50個すべてのZセルを集める必要性はないようです。
map_0846#57	おそらく、これらすべての先に、セルを融合させて100%のジガルデにする方法が存在すると考えられます。
map_0846#58	まだその方法を探ろうとしていますが、生産的でないと分かれば、いずれナイトクラブに戻るつもりです。
map_0846#59	フロリニア: ジガルデセル10個ごとの間隔を検知すると、シャッターが道を開きます。
map_0846#60	この発話者は、50個のジガルデセルを集めることは厳密には不要であり、より生産的な行動に時間を割くべきだと仮説を立てます。
map_0846#61	仮説: 100個のジガルデセルを完全な100%のジガルデへと融合させるための装置が、この施設の奥に存在する。
map_0846#62	この操作者は一時的にここに留まり、しばらくの間これらの生成された機構の研究を続けた後、より生産的な手段に戻る予定です。
map_0846#63	セル検出中…
map_0846#64	\v[590]個のセルを収集済み。
map_0846#65	シャッター起動中。
map_0846#66	セル数が不足しています。
map_0846#67	予備ゲート開放。
map_0846#68	50%エンハンスメント
map_0846#69	既存の50%エンハンスメントを検出。
map_0846#70	セル40個が必要。
map_0846#71	エンハンスしますか？
map_0846#72	エンハンス中。
map_0846#73	エンハンス中 . .
map_0846#74	エンハンス中 . . .
map_0846#75	既存の100%フォルムを検出。
map_0846#76	リデュースしますか？
map_0846#77	リデュース中。
map_0846#78	再利用中 . .
map_0846#79	リサイクル中 . . .
map_0846#80	セル50個を回収。
map_0846#81	100%エンハンスメント
map_0846#82	既存の100%エンハンスメントを検出。
map_0846#83	セル50個が必要。
map_0846#84	セル90個が必要。
map_0846#85	テラ: ふふ、\PNか。
map_0846#86	こんな辺鄙な廃墟でアタシたちが出会うなんて................
map_0846#87	意味することはただひとつ（1つ）................
map_0846#88	運命ってやつ？...........................
map_0846#89	.............それとも、麻薬取引？
map_0846#90	テラ: あ、今の実は2つ（two）あったわ
map_0846#91	数えるのマジ大変
map_0846#92	でもハードなのはそれだけじゃないっしょ、わかるっしょ？;)\tts[でもハードなのはそれだけじゃないっしょ、わかるっしょ？;)]
map_0846#93	つまりそういうこと。\tts[つまりそういうこと。]
map_0846#94	ハッキングの話だし。
map_0846#95	当然っしょ。
map_0846#96	機械なんてバ4カみたいクンで、アタシ大嫌い\tts[機械なんてバカみたいクンで、アタシ大嫌い]
map_0846#97	アホ アホ アホ アホ アホ アホ――
map_0846#98	アホ アホ アホ アホ アホ アホ!!!!!
map_0846#99	テラ: そそ、それアタシ――
map_0846#100	虹色の髪に、でっかいハンマー、もっとでっかいお尻――\tts[虹色の髪に、でっかいハンマー、もっとでっかいお尻――]
map_0846#101	そんでコンピューターをガンガン叩いてる ;)
map_0846#102	さーて、なんでこんな状況になったか気になってるっしょ、\tts[さーて、なんでこんな状況になったか気になってるっしょ、]
map_0846#103	気になってなかったとしても、
map_0846#104	今から気になれ、あばずれ!!!!!
map_0846#105	ガアアアアアアアアアオオオ!!!!
map_0846#106	テラ: よし、みんないい感じに気になってきた？
map_0846#107	もっと長く気にならせる間を取りたかったんだけど、うちのスタジオディレクターが許してくれなかったのよ
map_0846#108	たぶんおしっこ行きたかったんだと思う
map_0846#109	ただの推測だけど
map_0846#110	ってわけで、これはこういう話――
map_0846#111	お前のママがひっくり返って逆さまになった話\tts[お前のママがひっくり返って逆さまになった話]
map_0846#112	だからちょっとだけ、はっきりさせときたい
map_0846#113	アタシがここで一体全体何やってんのか、洗いざらい教えてやるよ
map_0846#114	はいはい、それでフロボット
map_0846#115	あいつがくだらねーこと言ってたって聞いたわけ
map_0846#116	待って、この静止画面もう解除できる？
map_0846#117	テラ: サンキュー、あんた
map_0846#118	だんだん体痛くなってきてたし
map_0846#119	;)
map_0846#120	はい、それでフロボット
map_0846#121	あいつ前にここに来て、こんな感じだったの
map_0846#122	―ピー ポー ポー ピー―
map_0846#123	『ご あ い さ つ し ま す』
map_0846#124	『ってかヤベ、こんにちはって単語忘れちった、だってあたしまだクソロブロックスだから』\tts[『ってかヤベ、こんにちはって単語忘れちった、だってあたしまだクソロブロックスだから』]
map_0846#125	『エ ラ ー 4 0 4 感 情 が 見 つ か り ま せ ん』
map_0846#126	…―ピー―
map_0846#127	とにかくあいつ、ここをハックしようとして完全に大失敗したわけ\tts[とにかくあいつ、ここをハックしようとして完全に大失敗したわけ]
map_0846#128	失敗したっていうか、自爆はしてない感じの
map_0846#129	だからまだ壊れずに残ってんの、わかる？
map_0846#130	まあアタシに『空気読む』ってのが分かるかは別として
map_0846#131	だからアタシがここに来て、あいつのスタイルにガアアアオオオしてRe:ベンジすることにしたの\tts[だからアタシがここに来て、あいつのスタイルにガアアアオオオしてRe:ベンジすることにしたの]
map_0846#132	『デジタル少女に転生したらの件』のためにね\tts[『デジタル少女に転生したらの件』のためにね]
map_0846#133	デジタルワールドの中で\tts[デジタルワールドの中で]
