map_0162#39	何があったんだ? コーリーを逮捕しに来たはずなのに……覚えていない。
map_0162#40	攻撃……
map_0162#41	うぐ……何があったんだ?
map_0162#42	覚えているのはシューッという音だけだ……ガスか?
map_0162#43	我らは仕えるべし……
map_0162#44	うおっ、何が起きてるんだ?!
map_0162#45	あれ? この小瓶、何か毒みたいなものを噴き出してるぞ! 一体何をされたんだ?
map_0162#46	ジムの扉を開けますか?
map_0162#47	はい
map_0162#48	いいえ
map_0163#0	コーリー: やはり、見つけたか。
map_0163#1	お前はすでに、私が築いてきたすべてを台無しにした。
map_0163#2	これ以上、何を望むと言うのだ?
map_0163#3	……いや、お前を責めるのは筋違いかもしれん。
map_0163#4	言葉など、もはや無意味だ。
map_0163#5	追い詰められた老いぼれが頼み事をするなど、みっともない話だが、
map_0163#6	お前に頼みたいことがある。
map_0163#7	私は闘技場に戻る。
map_0163#8	そこで、正々堂々と私を倒すがいい。
map_0163#9	壁にカードスキャナーが設置されている。
map_0163#10	\PNはぎんのカードを試した!
map_0163#11	ヘザーはぐっすり眠っている。
map_0163#12	\PNはフィールド効果解析データ11を手に入れた!
map_0163#13	腐食霧フィールドの情報が閲覧可能になった!
map_0163#14	ヘザー: ……ふん、出ていった時のまんまね。
map_0163#15	ヘザー: ほこりっぽくはなったけど。
map_0163#16	ここで眠らなくなってから、どれくらい経つのかな。
map_0163#17	ヘザー: うわ、これ読まなくなってからずいぶん経つな。
map_0163#18	あっ!「グライガール大冒険」!
map_0163#19	これ、読んだことある?
map_0163#20	今頃、新刊がいっぱい出てるんだろうな!
map_0163#21	ヘザー: ……ここにあるものの大半、実はあたしのものですらなかったのよね。
map_0163#22	ヘザー: それで、これがあたしのベッド。
map_0163#23	ふかふかで気持ちいいけど、あたしはいつもボーマンダの背中の方が落ち着いたわ。
map_0163#24	ヘザー: なんで大人って、友達より物の方が多いんだろ。
map_0163#25	こんなもの、何の意味があるって言うのよ。
map_0163#26	ヘザー: ここでご飯を食べてたの。
map_0163#27	あたしが部屋で食べたら怒るくせに、自分はしょっちゅう部屋で食べてたわ。
map_0163#28	でも、大抵はそうしてほしいと思ってた。
map_0163#29	あたしも、一人の方が良かったから。
map_0163#30	ヘザー: ここにはあんまり入らなかったな。
map_0163#31	ヘザー: 今でも、何か落ち着かない。
map_0163#32	ヘザー: それで、これがパパの書斎。
map_0163#33	ヘザー: ここに何か仕掛けがあるのよ……
map_0163#34	ヘザー: これがパパの書斎だったの。
map_0163#35	ヘザー: パパ、ほとんどの時間をここで過ごしてたわ。
map_0163#36	ヘザー: 「ヘザーへ、
map_0163#37	これを読む頃には、お前は強くなっているだろう……」
map_0163#38	ヘザー: どうだか。
map_0163#39	「強くなる」なんて、パパが自分を閉じ込めておくための言い訳にすぎなかった。
map_0163#40	強くなることより、他人を思いやることを学ぶ方が、よっぽど大事なんじゃないの?
map_0163#41	パパだって、他のどんな子供とも同じくらい弱くて、怖がってたのよ。
map_0163#42	それを見せる方法さえ知っていれば良かったのに。
map_0163#43	ヘザー: よし、決めた!
map_0163#44	あたしは、そういうヒロインになるわ!
map_0163#45	スーツを着たそこらのピエロだって、悪者をぶん殴って終わりにできるでしょうけど、
map_0163#46	本当の思いやりを実践してるのは、一体誰なのよ?!
map_0163#47	それができるのは、魔法の風の乙女だけなんだから!
map_0164#0	……それでルームメイトが、うちを配信者ハウスに改装するって言い出してさ。
map_0164#1	てっきり、ネット配信のことだと思ったんだよね。
map_0164#2	今思えば、浅はかだったよ。
map_0164#3	サンディ、一体何なんだよ……
map_0164#4	ようこそ! ここはリボーン地理クラブの集会所です! 興味深いでしょう?
map_0164#5	ようこそ! ここはリボーン歴史クラブの集会所です! 素晴らしいと思いませんか?
map_0164#6	こんにちは! オパールワードについて聞きたいですか?
map_0164#7	オパールワードは、リボーンシティのまさに中心部です! 最もにぎわうワードのひとつで、トレーナーも通行人も、いつも行き交っています!
map_0164#8	このワードの下層とオブシディアワードを結ぶ通路、オパール大橋は、バトルの名所として知られています!
map_0164#9	新人トレーナーが挑戦しに来ることもしょっちゅうなので、いつも油断しないように!
map_0164#10	もちろん、回復が必要なら、大ホールまで歩いていけば大丈夫! リボーンでも最大級の建物で、オパールにあるのはあそこだけです!
map_0164#11	大ホールには、専用のポケモンセンターとショップがあって、リボーンリーグの拠点にもなっています。素晴らしい場所ですよ!
map_0164#12	こんにちは! オブシディアワードについて聞きたいですか?
map_0164#13	オブシディアワードは、リボーン最大のワードで、しばしば二つの区域に分けて考えられます。中心部と南側の区域、そして北オブシディアです。
map_0164#14	もちろん、今わたしたちがいるのは北オブシディアですが、先日の地震で、二つの区域は互いに分断されてしまいました。まあ大変!
