map_0807#72	彼女は無理をして、伸びすぎて、そして落ちた。
map_0807#73	そうしてこの山脈の岩だらけの谷に、顔から突っ込んだ。
map_0807#74	シャルロット: あんたも彼女と一緒になりたい?
map_0807#75	シリウス: ベルローズ、貴様はさぞ喜ぶだろうな、私がそうなれば。
map_0807#76	シャルロット: それ、どういう意味?
map_0807#77	シリウス: ほう?
map_0807#78	貴様自身は、私に対して何の恨みも持っていないと?
map_0807#79	シャルロット: 何の話?
map_0807#80	シリウス: てっきり、貴様はもう知っているものと思っていた。
map_0807#81	誰も気づかなかったか、あるいは誰もわざわざ言わなかったのだろうな。
map_0807#82	シャルロット: もう一回『何?』って言えばいい? それとも色んな言語で言って、いつか理解してくれるのを期待した方がいい?
map_0807#83	何か言いたいなら、さっさと言いなさいよ。
map_0807#84	シリウス: 貴様の両親を知っていた、ベルローズ。
map_0807#85	湖のそばにあった彼らの家も知っていた。
map_0807#86	あの頃、貴様があのロコンとの冒険から戻ってくるのを待つべきかと考えたものだ。
map_0807#87	家族全員をまとめて焼き払う方が望ましかっただろう。
map_0807#88	やり残しは少ないに越したことはない。
map_0807#89	だが結局、時間がなかった。
map_0807#90	貴様の一番上の姉は、想像以上に逃げるのが巧みだったが、それでも私の主目標は片付けた。
map_0807#91	白状すると、貴様がついに私にたどり着いた時、みじめに吐き出す毒舌を、私はほとんど楽しみにしていた。
map_0807#92	だが、貴様が一度も知らなかったとはな。
map_0807#93	思っていた以上に、うまく痕跡を消せていたようだ。
map_0807#94	シャルロット: …
map_0807#95	マジで?
map_0807#96	つまりあんたは、あたしが何年もの間、両親を殺したっていう罪悪感を中心に自分の人格を築いてきたのに、
map_0807#97	実はずっとあんたの仕業だったって言うわけ?
map_0807#98	マジで言ってる?
map_0807#99	シリウス: 好きなように信じるがいい。
map_0807#100	必要なら、自分をごまかすがいい。
map_0807#101	多くの者がそうしている。
map_0807#102	シャルロット: はいはい、あんたは明らかに神様より偉いってわけね。
map_0807#103	とにかく、あたしの『毒舌』がそんなに聞きたいなら聞いてなさい。一回しか言わないから:
map_0807#104	くたばれ。
map_0807#105	シリウス: あれはいつも期待を裏切らんな。
map_0807#106	姉とはまるで違う。
map_0807#107	彼女が知っていたら、怒り狂う程度では済まなかっただろうな。
map_0807#108	サファイラ: 信じなさい、怒り狂ってるわ。
map_0807#109	サファイラ: 私の後ろに、あなた。
map_0807#110	アヤ: う、うん…
map_0807#111	シリウス: よくもこの場所まで這い戻ってきたものだ。
map_0807#112	サファイラ: 良かったわ。
map_0807#113	少なくとも今日、誰かに復讐できる。
map_0807#114	\PN、私のポケモンは少し減っている。
map_0807#115	彼の相手、任せてもいい?
map_0807#116	シリウス: ハッ、本当にそう簡単に済むと思っているのか?
map_0807#117	ティタニア: つまり、サファイアブレスレットは彼らのものだったのね。
map_0807#118	シリウス: 鋭いな。
map_0807#119	そうしたものが、ただの火程度では傷つかないことは、自らの経験からすでに知っていた。
map_0807#120	だから邪魔になるものはすべて焼き払い、あとは灰の中から探すだけで済んだ。
map_0807#121	ティタニア: それを、あたしが先に見つけちゃったってわけ。
map_0807#122	シリウス: ほう? そういうことか。
map_0807#123	どうでもいい。
map_0807#124	今頃はもう、きちんと我々の手に戻ってきているはずだ。
map_0807#125	ティタニア: 戻ってきてるって、何が?
map_0807#126	あたしが渡したのは…
map_0807#127	シリウス: そうだ。\PNは催眠の中で、実に従順にそれを差し出したと聞いている。
map_0807#128	ティタニア: …
map_0807#129	シリウス: 見ての通り、すべては我々の勝利で終わる運命にある。
map_0807#130	それが世界の回り方であり、
map_0807#131	彼女がそう回るように仕向けているからだ。
map_0807#132	ハーディ: そんなことさせねえ…
map_0807#133	シリウス: 貴様の許可など必要ない。
map_0807#134	ティタニア: さっきも言ったけど、ここでこの状況をどうにかできるのは一人だけ。
map_0807#135	そしてその人は、もう諦めてる。
map_0807#136	アヤ: ちょ、待って、それって…
map_0807#137	ティタニア: ええ、あなたのこと。
map_0807#138	アヤ: わたしに何をしろっていうの?
map_0807#139	わたしはここじゃ人質なんだけど!
map_0807#140	ティタニア: 正直、あなたにはこのまま役立たずでいてほしいと思ってる。
map_0807#141	でも期待の話は置いといて、あなたは自分でこの状況から抜け出す方法を探すこともできるはず、
map_0807#142	おとぎ話のお姫様みたいに助けを待ってるだけじゃなくてね。
map_0807#143	でもあなたはもう、無力な囚われ人ってレッテルに甘んじてる。
map_0807#144	それについては、あたしたちの誰にもどうにもできない、
map_0807#145	たとえ何とかしたいと思ってる人がいたとしてもね。
map_0807#146	ハーディ: 『思ってる』ってどういう意味だよ?
map_0807#147	俺は本気で彼女を助けたいんだ!
map_0807#148	でも…
map_0807#149	ティタニア: でもあなたにはできない。しかも動機自体が歪んでる。
map_0807#150	話は終わり。
