map_0181#56	待って……
map_0181#57	ノストラが、先生が来るって言ってる! ひゃっ!
map_0181#58	???: ああ、来客か。
map_0181#59	物音を気にしたのは、正しかったようだな。
map_0181#60	シグムンド: ごきげんよう。
map_0181#61	私はシグムンド・コナル医師です。ですが、単に「先生」とお呼びいただいて構いません。
map_0181#62	どのようなご用件でしょうか?
map_0181#63	アンナ: えっと、その、\PNはここにジムリーダーがいるって聞いて、それで来たんです!
map_0181#64	そう、それだけ!
map_0181#65	それ以外は何も、へへ。
map_0181#66	シグムンド: それだけですか?
map_0181#67	それでは。
map_0181#68	確かに、当施設には特に才能に恵まれた者が何人かおります。
map_0181#69	その中には、高い地位を継承あるいは獲得した者もおります。
map_0181#70	あなたも、ご自身の腕前にはそれなりの自信をお持ちなのでしょう。
map_0181#71	ふむ。
map_0181#72	介助員ジョン、この挑戦者を簡単に調べてくれ。
map_0181#73	介助員: はい、先生。
map_0181#74	シグムンド: 始めなさい。
map_0181#75	お見事です。
map_0181#76	シグムンド: 実に見事です、\PN。
map_0181#77	シグムンド: しかし、残念ながら、現時点で当施設の患者との正式な対戦を許可するわけにはまいりません。
map_0181#78	現在、闘技場を改修中でして、共用区域は大規模な対戦には適していないのです。
map_0181#79	さらに、公式な対戦という激しい衝突は、対戦しない患者の情緒にとってさえ、しばしば悪影響の誘因となります。
map_0181#80	残念ですが、致し方ありません。
map_0181#81	また別の機会にお待ちいただくしかないでしょう。
map_0181#82	アンナ: あら! 残念ですね~
map_0181#83	\PNはもう帰るしかないみたいですね!
map_0181#84	シグムンド: 待ちなさい、アンナ。
map_0181#85	ずいぶんと、彼を追い払いたがっているようだが。
map_0181#86	ずいぶんと、彼女を追い払いたがっているようだが。
map_0181#87	ずいぶんと、この方を追い払いたがっているようだが。
map_0181#88	アンナ: え、あたしが?
map_0181#89	いいえ、全然そんな!
map_0181#90	なんでそんなこと、あはは!
map_0181#91	シグムンド: ……
map_0181#92	アンナ、お前の幻覚をもとに他人を操ろうとすることについて、また話し合う必要があるのかね?
map_0181#93	アンナ: ない!
map_0181#94	シグムンド: ……そうか。
map_0181#95	\PN、本当の目的を教えていただけますか?
map_0181#97	それでは、ラピスワードのジムリーダーの件ですね?
map_0181#98	なるほど。
map_0181#99	簡単な診察の予定を組むことはできるでしょう。
map_0181#100	他にも早急に対応すべき用件がいくつかありますが、後ほど彼女のもとを訪ねましょう。
map_0181#101	お知らせいただき、ありがとうございます。
map_0181#102	それでは、良い一日を。
map_0181#103	アンナ: ねえねえ!
map_0181#104	ノストラが、あなたから彼女に伝えてって言ってるの――
map_0181#105	自分が悲しむより、あの出来事で一番傷ついた人を助けることを考えてって!
map_0181#106	そうすれば、悲しんでる暇なんてなくなるから!
map_0181#107	シグムンド: どうかしたのですか?
map_0181#108	一体、何をこそこそ話しているのです?
map_0181#109	アンナ: 何でもない!
map_0181#110	じゃあね、\PN!
map_0181#111	シェリー: も、戻ってきてくれたのね!
map_0181#112	よし……行きましょう!
map_0181#113	何があったの?
map_0181#114	シェリー: あたしの友達が連れていかれちゃったの!
map_0181#115	取り戻すわよ!
map_0181#116	シェリー: \PN、行かなきゃだめなの?
map_0181#117	ヘザーがこんな目に遭ってるのに?
map_0181#118	ええと……わ、わかった。
map_0181#119	ここで待ってる、と思う……
map_0181#120	アンナ: また会ったね!
map_0181#121	\PNの光ってるの、壁越しに見えたから、ドアの鍵開けたの~
map_0181#122	カイン: 「光ってる」?
map_0181#123	アンナ: \PN、光ってるの! すごいんだから!
map_0181#124	こんにちは、あたしアンナ! よろしくね!
map_0181#125	カイン: はは、やあ。僕はカイン。
map_0181#126	元気いっぱいだね~
map_0181#127	ノエル: いつもこうなんです。
map_0181#128	しかも、決まって一番不適切なタイミングで。
map_0181#129	アンナ: だって、そういう時こそ一番必要なんだもん!
map_0181#130	シャルロット: それで、あんたたちは何しに来たわけ?
map_0181#131	さっき連れてこられた子のことで?
map_0181#132	ずっと蹴って叫んで大暴れだったわよ。
map_0181#133	まあ、珍しいことじゃないけど。
map_0181#134	シェリー: あたしたち……その――
map_0181#135	あの子を助けるの!
map_0181#136	カイン: そう、脱獄ってやつさ~
map_0181#137	一緒に来る?
map_0181#138	シャルロット: 冗談でしょ?
map_0181#139	「脱獄」って言い終わる頃には、もう半分ドアの外にいたわよ。
map_0181#140	少なくとも、比喩的にはね。
map_0181#141	シェリー: そ、そう……ヘザーを置いていくつもりはないわ!
map_0181#142	シャルロット: そうでしょうとも。
map_0181#143	それに、介助員たちが乗り込んできてあんたたちを追い出すまで、あと何秒もないでしょ。
