map_0776#68	シャルロット: あたし、完全に冷静よ。
map_0776#69	むしろ、これを楽しんでるくらい。
map_0776#70	フロリニア: この状況からの脱出法を見出すには、対立は依然として賢明とは言えない。
map_0776#71	シャルロット: でも、すっごく楽しいじゃない?
map_0776#72	煙草の火傷越しにドクターを間近で拝めた時以来の、一番の興奮よ。
map_0776#73	それを奪ったりしないわよね?
map_0776#74	シャルロット: あら、結局あんたたち二人だったのね。
map_0776#75	他の子たちだと思ってたのに。
map_0776#76	まあ、あんたたちの勝ちってわけね。
map_0776#77	ティタニア: あんたの意見は聞いてないわ。
map_0776#78	シャルロット: 拗ねてるの?
map_0776#79	それとも、それがあんた流の丁寧な挨拶?
map_0776#80	あんたのことは、ほんと読みづらいわ。
map_0776#81	彼女が誤解するのも無理ないわね。
map_0776#82	ティタニア: 元、よ。
map_0776#83	シャルロット: まあ、ただの静止画像に成り果てた人なんて、元カノ扱いされるのが関の山よね。
map_0776#84	ヴィクトリア: 私、みんなに何て言いました!?
map_0776#85	この一連の出来事、まさに私が言った通りで――
map_0776#86	サファイラ: わかってる。
map_0776#87	シャルロット: 参上がすっごく遅かったわね。
map_0776#88	ずいぶん時間かかったけど。
map_0776#89	言い争いをやめてバトルを始められるくらい自分を抑えられたなんて、ちょっと驚きだわ。
map_0776#90	まあ、それであんたたちの相手がいかにひ弱だったかがわかるってものね。
map_0776#91	ヴィクトリア: やめ――
map_0776#93	ハーディ: お前、昔からこんな意地悪だったか?
map_0776#94	シャルロット: だいたいね。
map_0776#95	前はまだ、多少優しくしとく理由があったのよ。
map_0776#96	でも今は?
map_0776#97	シャルロット: ねえ、殻の中のイカレ女、まだ聞いてるんでしょ?
map_0776#98	T3RR4: よーすっ、そうよ、あたしはいつだって見てるっつーの。\tts[テラ: よーす、そうよ、私はいつだって見てるってば。]
map_0776#99	サンディ・クロースみたいにね。
map_0776#100	それか天井猫みたいに。
map_0776#101	あたしのミドルネームは『抜いてるとこ見てるよ』ってやつなの。\tts[私のミドルネームは『抜いてるとこ見てるよ』ってやつなの。]
map_0776#102	シャルロット: 飽きてきたわ。
map_0776#103	もう続けてもいい?
map_0776#104	T3RR4: いいの?!\tts[テラ: いいの?!]
map_0776#105	あらまあ、そんなの水が濡れてるか聞くようなもんじゃんよ!
map_0776#106	ピカチュウが電気タイプかって聞くようなもんだしィ!!!\tts[ピカチュウが電気タイプかと聞くようなものだし!!!]
map_0776#107	おっぱいアニアの下着の引き出しに貞操帯しか入ってないかって聞くようなもんだしィ!\tts[ティタニアの下着の引き出しに貞操帯しか入ってないかと聞くようなものだし!]
map_0776#108	ティタニア: もう終わった?
map_0776#109	T3RR4: んんん、もうちょっとだけぇ、ミストレスさまぁ……\tts[テラ: んん、もう少しだけ、ミストレス……]
map_0776#110	でももちろぉぉぉぉぉぉん続けていいわよ。\tts[でも、もちろん続けていいわよ。]
map_0776#111	ヴィクトリアがおばあちゃんパンツ履いてるかって聞くようなもんだしィ!\tts[ヴィクトリアがおばあちゃんパンツを履いているかと聞くようなものだし!]
