map_0293#117	それにはさすがに驚きましたわ。
map_0293#118	そういうタイプだとは思ってませんでしたの……
map_0293#119	あら、でもご心配なく~
map_0293#120	あなたの秘密は、わたくしが守りますから!
map_0293#121	ラドマス: その発言の価値を、過大評価しない方がいいだろうね。
map_0293#122	それはさておき、\PN、次のジムバトルのために来たのだろう。
map_0293#123	それならば、
map_0293#124	サーナイト。
map_0293#125	ルナ。
map_0293#126	少し席を外してくれるかね?
map_0293#127	ルナ: はい、ご主人様。
map_0293#128	サーナイト: あら、ご主人様との二人だけの時間ですわね!
map_0293#129	あなたも運がいいこと~
map_0293#130	ラドマス: サーナイト。
map_0293#131	サーナイト: 行きますわ~
map_0293#132	ラドマス: サーナイトは活発だが、大抵は無害だよ。
map_0293#133	気にせずともよい。
map_0293#134	だが、二人を下がらせたのは、そのためではない。
map_0293#135	君は、ルナの父親に会ったと聞いている。
map_0293#136	つまり、エルにだ。
map_0293#137	ひとつ、はっきりさせておこう:
map_0293#138	私はルナを娘と呼んでいるが、彼女は間違いなく、私の娘ではない。
map_0293#139	彼女が首にかけているエメラルドのブローチが、その何よりの証拠だ。
map_0293#140	ある日突然現れて、私を父だと言い張ったのだ。
map_0293#141	困惑と抗議が半々の中、彼女は勝手に住み着いてしまった。
map_0293#142	もっとも、私自身の家族はとうの昔にいなくなり、ここは少し寂しかったものでね……
map_0293#143	彼女に「否」と言えるはずもなかろう?
map_0293#144	実際、彼女はより大きな空想の中で、ひとつの役を演じているだけのようだ。
map_0293#145	メイドであり、姫君でもあると自ら思い込み、そのどちらの役も見事に演じている。
map_0293#146	不思議な娘だが、サーナイトにとっても、私にとっても、大きな楽しみと喜びの源になっている。
map_0293#147	もちろん、あの二人はすぐに仲良くなった。
map_0293#148	今さら彼女を追い出すことなど、できはしない。
map_0293#149	だが、教えてくれ、エルについて、君はどう思った?
map_0293#150	何度も彼女を取り戻しに来たが、私はそのたびに断っている。
map_0293#151	彼女の過去には、何らかの虐待の兆候があったのではないかと疑っている。そうでなければ、実の父親からあれほど必死に逃げるはずがない。
map_0293#152	それゆえ、私は彼女を彼から守ると決めている。
map_0293#153	それが、この件のあらましだ。
map_0293#154	ルナ: ご主人様?
map_0293#155	お邪魔して申し訳ありません。
map_0293#156	もう一人、お客様がいらしています。
map_0293#157	ラドマス: もちろん、お通ししなさい。
map_0293#158	ラドマス: 君も、誰かを待っていたわけではないのだろう?
map_0293#159	カイン: \PN!
map_0293#160	よぉ~、元気してた~?
