22d_field_messages#80	チェスボードが 壊れた!
22d_field_messages#81	つぼみの 花が こうげきを 高めた!
22d_field_messages#82	どうくつが 空気を うばった!
22d_field_messages#83	どうくつに 鈍い 音が 響く……
22d_field_messages#84	どうくつに クリスタルが ちらばっている
22d_field_messages#85	どうくつに クリスタルが ちらばった!
22d_field_messages#86	どうくつが こうげきを 強めた!
22d_field_messages#87	寒さが こうげきを 弱めた!
22d_field_messages#88	寒さが こうげきを 弱めた……
22d_field_messages#89	寒さが こうげきを 強めた!
22d_field_messages#90	むさぼる 闇が こうげきを 力づけた!
22d_field_messages#91	腐食が こうげきを 強めた!
22d_field_messages#92	宇宙の 光が のみこまれた!
22d_field_messages#93	クリスタルの エネルギーが こうげきを 強めた!
22d_field_messages#94	クリスタルが こうげきを 分けた!
22d_field_messages#95	クリスタルが こうげきを 充電した!
22d_field_messages#96	クリスタルが こうげきを 強めた!
22d_field_messages#97	クリスタルが 砕けた!
22d_field_messages#98	クリスタルの 光が こうげきを 強めた!
22d_field_messages#99	クリスタルの 光が のみこまれた!
22d_field_messages#100	クリスタルの 光が 闇に ゆがめられた!
22d_field_messages#101	しめり気が 爆発を ふせいだ!
22d_field_messages#102	暗黒クリスタルが 砕けた!
22d_field_messages#103	闇が 集まりはじめた……!
22d_field_messages#104	闇が こうげきを 強めた!
22d_field_messages#105	新世界の 夜明けが こわれた 大地を 照らす
22d_field_messages#106	砂漠が こうげきを 弱めた……
22d_field_messages#107	砂漠が こうげきを 強めた!
22d_field_messages#108	竜の エネルギーが こうげきを 高めた!
22d_field_messages#109	霊気が こうげきを 強めた!
22d_field_messages#110	爆発が 電気を 帯びた!
22d_field_messages#111	猛烈な 熱が こうげきを 弱めた……
22d_field_messages#112	フィールドが きりに 包まれた!
22d_field_messages#113	フィールドが 燃え上がった!
22d_field_messages#114	フィールドが 冷えた!
22d_field_messages#115	フィールドが 燃えている!
22d_field_messages#116	フィールドは 木々に つつまれている
22d_field_messages#117	フィールドが おかされている!
22d_field_messages#118	フィールドが 氷に おおわれている
22d_field_messages#119	フィールドに 電気が 満ちている!
22d_field_messages#120	大地が 花ざかりだ
22d_field_messages#121	フィールドに 岩が ちらばっている
22d_field_messages#122	フィールドは 砂だらけだ
22d_field_messages#123	フィールドが 超高温だ!
22d_field_messages#124	フィールドが 沼に なった
22d_field_messages#125	フィールドが ショートした!
22d_field_messages#126	フィールドが こうげきを 強めた!
22d_field_messages#127	フィールドが こうげきを 超高温に した!
22d_field_messages#128	フィールドが 壊れた!
22d_field_messages#129	こうげきから ほのおが 広がった!
22d_field_messages#130	森に 火が ついた!
22d_field_messages#131	森が こうげきを 弱めた……
22d_field_messages#132	木々が こうげきを 強めた!
22d_field_messages#133	悪しき 獣の こうげきが 強まった!
22d_field_messages#134	花の かおりが こうげきを 高めた!
22d_field_messages#135	冷たい 風が こうげきを 強めた!
22d_field_messages#136	花畑に 火が ついた!
22d_field_messages#137	花畑が 少し 育った!
22d_field_messages#138	花畑が 少し 刈られた!
22d_field_messages#139	花畑の 力が こうげきを 高めた!
22d_field_messages#140	原初の 物質が こうげきに 集まった!
22d_field_messages#141	足元の 草に 火が ついた!
22d_field_messages#142	草が こうげきを 弱めた……
22d_field_messages#143	グラスフィールドに 火が ついた!
22d_field_messages#144	グラスフィールドが 腐食した!
22d_field_messages#145	よごれが 足元に しずんだ!
22d_field_messages#146	よごれが ほのおを 消した!
22d_field_messages#147	聖なる 力が こうげきに 共鳴した!
22d_field_messages#148	聖なる 光が のみこまれた!
22d_field_messages#149	熱い 水が 氷を とかした!
22d_field_messages#150	エレキフィールドが ショートした!
22d_field_messages#151	氷が とけた!
22d_field_messages#152	溶岩が 固まった!
22d_field_messages#153	溶岩が こうげきを 強めた!
22d_field_messages#154	溶岩が こおりついた!
22d_field_messages#155	溶岩の 熱が ほのおを 強めた!
22d_field_messages#156	溶岩の 熱が こうげきを 弱めた……
22d_field_messages#157	伝説の 力が こうげきに 共鳴した!
22d_field_messages#158	光が 果てしない 闇を 照らした!
22d_field_messages#159	大渦が どくを 洗い流した!
