map_0798#114	しゃべらない奴に友達なんてできるわけない。
map_0798#115	フロリニア: 感謝は、言葉を介さずとも存在し、表現されうるものです。
map_0798#116	リン: 贈られなければ、贈り物に価値はない。
map_0798#117	ファーン: 優しさが沈黙でありうるからって、沈黙が優しいとは限らない。
map_0798#118	それとも、それがわたしに期待できる精一杯だって言うの?
map_0798#119	フロリニア: そういうつもりではありませんが――
map_0798#120	リン: 放置こそが、一部の者にできる最大の優しさ。
map_0798#121	ファーン: それなら納得。あんたはいつもくだらない教科書を優先してわたしを無視してたもんね。
map_0798#122	紙切れの束の方がわたしより注目に値するなんて、よっぽどわたしはひどかったんだろうね。
map_0798#123	フロリニア: 個人の興味関心は、他者への配慮と排他的なものではありません。
map_0798#124	リン: 動機は罪を消さない。
map_0798#125	ファーン: つまり、あんたは自分の意志でわたしを嫌ってたってこと?
map_0798#126	他のみんなと同じように。
map_0798#127	フロリニア: 前述の思考パターンは、依然として過激かつ運命論的です。
map_0798#128	リン: 複雑な言葉で、単純な真実はぼやけない。
map_0798#129	ファーン: 過激なのは事実でしょ?
map_0798#130	でも、それがわたしにふさわしいって言うんでしょ。
map_0798#131	あんたも、他のみんなも同じだった。
map_0798#132	フロリニア: 他者にふさわしいものが何かを、誰も言うことはできません。
map_0798#133	リン: 傍観する証人は、殺人者と同じだけ罪がある。
map_0798#134	ファーン: わたしにふさわしくないなら、なんで何もしてくれなかったの?!
map_0798#135	わたしに価値がなかったの、それともそもそも眼中になかったの?
map_0798#136	忘れたか、見捨てたか。
map_0798#137	どっちなの?!
map_0798#138	フロリニア: それは答えられる質問ではありません…
map_0798#139	リン: 答えはもうわかっているから。
map_0798#140	ファーン: 気持ち悪い。
map_0798#141	二人とも。
map_0798#142	あんたたちみたいな心のない人間がいない世界を、わたしたちが作る。
map_0798#143	ファーン: わたしは先に行く。
map_0798#144	この二人はここで朽ち果てればいい。知ったことじゃない。
map_0798#145	リン: 違う。
map_0798#146	ファーン: は?
map_0798#147	ファーン: あぐっ――
map_0798#148	リン: 価値ある者だけが、先へ進める。
map_0798#149	先へ進む者だけが、価値ある者。
map_0798#150	だが誰もどこへも行かない。
map_0798#151	これが世界の掟。
map_0798#152	これはあなたが作った世界。
map_0798#153	これは私が終わらせる世界。
map_0798#154	フロリニア: 脈拍を確認しました。
map_0798#155	負傷は、顔面の大きな裂傷を1箇所含みます。
map_0798#156	目視できる武器は見当たりませんでしたが…
map_0798#157	いずれにせよ。
map_0798#158	彼をこの場所から連れ出し、すぐに治療にあたります。
map_0798#159	残りはあなた一人の手に委ねます。
map_0798#160	さようなら、\PN。
map_0798#161	???: あーもう、黙ってて。
map_0798#162	ティタニア: 「誰もわたしに笑いかけてくれなかった」ですって?
map_0798#163	はいはい、可哀想可哀想。
map_0798#164	斬新な考えを教えてあげる、天才ちゃん:
map_0798#165	笑うに値することを、あなたが何かしたことある?
map_0798#166	ファーン: 当然でしょ。
