map_0858#527	ユースタス: バカげている。
map_0858#528	ノコッチのほうがまだ推理力があるだろう。
map_0858#529	私たちの知性の差を力ずくで証明してやろう。
map_0858#530	くだらん。誰かこの茶番をさっさと消してくれ！ そう主張する！
map_0858#531	ユースタス: よくある古典的な事件だな？
map_0858#532	探偵――泥棒。
map_0858#533	自分を称賛に値すると思うなよ。
map_0858#534	私ならもっとうまくやっていたはずだ。
map_0858#535	今度強盗をたくらむときは、私に連絡することだ。
map_0858#536	利益の95パーセントをよこせば、完璧にやり遂げてやろう。
map_0858#537	警官――泥棒。
map_0858#538	マクスウェル: またこれをやるのか？
map_0858#539	チーフ: マクスウェルが犯人ですか？
map_0858#540	マクスウェル: お前は最後まで俺に逆らい続けるだろうと思っておくべきだったな。
map_0858#541	それでいい！ 山火事みたいに派手に暴れようぜ！
map_0858#542	また負けか……フン。
map_0858#543	アーチャー: 私を選ぶのは明らかに間違いだが、そうしたいならどうぞ。
map_0858#544	チーフ: アーチャーが犯人ですか？
map_0858#545	アーチャー: 選んだようだな――そして間違った選択を。
map_0858#546	恐れるな、\PN。
map_0858#547	お前に間違った選択をさせはしない！
map_0858#548	自分の行動の結果を、本当に理解しているのか？
map_0858#549	マクスウェル: お前がやったこと、わかってるぞ。
map_0858#550	アーチャー: 今や、お前こそが本物のアクア団というわけだな。
map_0858#551	ジュリア: ちょっと、あたしたちがこれまで一緒に過ごしてきたのに――こんなふうに仕留めようとするの？
map_0858#552	楽しい時間も、爆発も全部――
map_0858#553	いや、それが問題なのかもね……
map_0858#554	チーフ: ジュリアが犯人ですか？
map_0858#555	ジュリア: 傷ついた！
map_0858#556	これは裏切りだよ！
map_0858#557	黙って引き下がったりしないから！
map_0858#558	\PN、反撃の覚悟をして！
map_0858#559	いやーーっ！ あたしの自由が――自由が消えてく！
map_0858#560	ジュリア: バッグから何が出てるって？！
map_0858#561	急いでバッグをチェックしないと、あたしたちみんな流されちゃうよ！
map_0858#562	自分で調べられないなら、あたしがビシャッとチェックしてあげてもいいよ！
map_0858#563	でも本気で言うけど、あふれ続けたら、この捜査、水の泡になっちゃうよ！
map_0858#564	今すぐバッグに飛び込んで確認して！
map_0858#565	青の秘宝は主要容疑者の誰からも見つからなかったが、赤の秘宝のようにどこかに隠されている可能性がある！
map_0858#566	青の秘宝……もしかして？
map_0858#567	チーフは、事態が解決するまで誰もこの車両を離れないよう命じている。
map_0858#568	チーフ: 報告を！
map_0858#569	コンダクター: 赤の秘宝はここにあります！
map_0858#570	機関部の修理ができないか見ていたら、
map_0858#571	中に入っているのを見つけたんです。
map_0858#572	チーフ: 機関部の中にあったと言うのですか？
map_0858#573	コンダクター: はい、そうです。
map_0858#574	どうやってそこに入ったのか、まったく見当もつきません――瓦礫を少し片付けるまで、前方には近づくことすらできなかったんです。
map_0858#575	チーフ: こちらに渡してください。
map_0858#576	チーフ: ふうむ……
map_0858#577	なるほど！ 傷ひとつありませんね！
