map_0844#264	彼らが理解できない言葉を使い続けて疎まれる危険を冒しても平気だとは、驚きです。
map_0844#265	タウベ: おっと、また行儀作法を忘れてしまいましたね!
map_0844#266	未来からの客人よ、私の神殿へようこそ。
map_0844#267	お二人のお名前は?
map_0844#268	イライアス: ああ、そうでした。
map_0844#269	私の名は…
map_0844#270	\PN!
map_0844#271	そしてこちらの友人は、アー…
map_0844#272	アーシー…
map_0844#273	アーク!
map_0844#274	こちらはアークです。
map_0844#275	タウベ: \PNとアーク? お二人にお会いできて光栄です。
map_0844#276	時を超える旅が苦難のないものであったことを願います。
map_0844#277	ソラリス。
map_0844#278	ソラリス・ブラウン。
map_0844#279	そしてこちらの連れは\PNと申します。
map_0844#280	タウベ: ソラリスと\PN? お二人にお会いできて光栄です。
map_0844#281	さて、家に戻るのがどれほど急ぎであっても、私は務めを果たさねばなりません。
map_0844#282	伝説のポケモンが私の助けを求めて時を渡ってきたのです。できる限りの手を尽くすのが道理というものでしょう。
map_0844#283	イライアス: 重ねてお詫び申し上げます…
map_0844#284	動転して、真っ先に思いついた名を口にしてしまいました。
map_0844#285	この偽りをどうかお許しください、我が主。
map_0844#286	イライアス: 遺跡の石…
map_0844#287	残念ながら、我々の時代でも同様に手が届かぬものです。
map_0844#288	しかし他に手立てもなく、あなた方がお持ちだと聞いて心から嬉しく思います。
map_0844#289	セレビィがしばらく一人で瞑想するのが、最も効果的だと思われますが?
map_0844#290	タウベ: ええ、その通りです。
map_0844#291	お待たせして申し訳ありません。
map_0844#292	あなた方と同じく、私も早く家に帰りたい気持ちで一杯です。
map_0844#293	しかし、これを最後までやり遂げることが大切です。セレビィは我々の助けを求めてここへ来たのですから。
map_0844#294	イライアス: 待つことは、我々にとって何の苦でもありません。
map_0844#295	よろしければ、こちらにある書物を拝読させていただければ光栄です。教団が保存できなかったものがあるかもしれませんので。
map_0844#296	タウベ: もちろんです、お好きなだけお読みください。
map_0844#297	ああ、入り口はすぐそこですよ、セレビィ。心安らかに過ごせるといいのですが。
map_0844#298	タウベ: ですが、書物をご自由にご覧いただいて構わないのですが…
map_0844#299	正直なところ、お二人ともポケモンをお持ちだと気づかずにはいられませんでした。
map_0844#300	教団の務めと家庭の変化に追われて、バトルの時間を割ける相手といえばジョセフくらいのものでして。
map_0844#301	もちろん、彼には全く歯が立ちません。
map_0844#302	オーレ地方まで渡りバトルマウンテンを制覇した男に、ただの神父が敵うはずもありません。
map_0844#303	それに、時間もありますし…お二人のどちらか、バトルはいかがですか?
map_0844#304	イライアス: ジョセフ…ヘイゼル?
map_0844#305	その名は耳にしたことがあります。
map_0844#306	確か、あなたの従者でしたね?
map_0844#307	タウベ: ああ、教団の教義を学ばれているようですね。
map_0844#308	ええ、しきたりの上では彼は私の従者ということになりますね。
map_0844#309	しかし、彼は誇り高くて認めたがりませんが、私にとっては誰よりも近しい友人にほかなりません。
map_0844#310	それは興味深いですね。
map_0844#311	タウベ: 私の生まれたばかりの子と、彼のところの幼いイライアスも、きっと同じように仲良くなるでしょう。
map_0844#312	さて、先ほども言いましたが、どちらかバトルはいかがです?
map_0844#313	イライアス: 生まれたばかりの子…?
map_0844#314	ああ、おめでとうございます…
map_0844#315	申し訳ありませんが、今はあまりバトルをする気分になれず…
map_0844#316	ですが、アークは私よりずっと優れたトレーナーです。
map_0844#317	彼は私を打ち負かし、教団にとって一種のチャンピオンのような存在です。
map_0844#318	彼女は私を打ち負かし、教団にとって一種のチャンピオンのような存在です。
map_0844#319	彼らは私を打ち負かし、教団にとって一種のチャンピオンのような存在です。
map_0844#320	ですが\PNは以前にも私を倒したことがあり、より良い相手となるでしょう。
map_0844#321	彼は教団にとって一種のチャンピオンのような存在です。
map_0844#322	彼女は教団にとって一種のチャンピオンのような存在です。
map_0844#323	彼らは教団にとって一種のチャンピオンのような存在です。
map_0844#324	タウベ: 一種のチャンピオン、ですか?
map_0844#325	未来では、教団を守るためにそのような者を必要としない世であってほしいものです。
map_0844#326	とはいえ、我々の側にも優れたトレーナーがいると知れて嬉しく思います。
map_0844#327	もちろん、自由に見て回っていただいて構いません。
map_0844#328	ですが、バトルをご希望の際はお声がけください、未来のチャンピオン殿。
map_0844#329	イライアス: …生まれたばかりの子。
map_0844#330	つまり、生まれたばかりだったのか…
map_0844#331	そして私はまだ子供で、まだ目も見えない。
map_0844#332	タウベ神父と父は…友人だったのか?
map_0844#333	失礼しました。考えることがたくさんできてしまって。
map_0844#334	神殿を訪れた人が感想を書き込める本だ。
map_0844#335	ページをめくるたびに、この地方の人々やポケモンのために尽力したタウベへの感謝の言葉が並んでいる。
