map_0778#25	そろそろこのやり方も味気なくなってきたころね。
map_0778#26	ちょっと変化をつけましょうか。
map_0778#27	\PNが勝てば、彼は最後のバッジを手に入れる。
map_0778#28	\PNが勝てば、彼女は最後のバッジを手に入れる。
map_0778#29	\PNが勝てば、その子は最後のバッジを手に入れる。
map_0778#30	そしてわたしは、自分のフィールドで戦える。
map_0778#31	賭け金が上がれば、それだけ面白くなる。そうでしょう？
map_0778#32	テラ: ...\tts[テラ: ...]
map_0778#33	協議会はテメェの決定を認める。だが、マスターの称号は与えない。\tts[協議会はあんたの決定を認める。だが、マスターの称号は与えない。]
map_0778#34	めちゃくちゃスゲーショーを見せなきゃ、テメェをバラバラにRAWWRRRしてやるぜ、わかったか？\tts[めちゃくちゃすごいショーを見せなきゃ、あんたをバラバラに引き裂いてやるぞ、わかったか？]
map_0778#35	サファイラ: わかった？
map_0778#36	テラ: そうそれ。\tts[テラ: そうそれ。]
map_0778#37	ぱしっ。
map_0778#38	テラ: 左だぜ。\tts[テラ: 左だぜ。]
map_0778#39	でもガッカリさせんじゃねーぞ。\tts[でもガッカリさせるんじゃないぞ。]
map_0778#40	じゃなきゃティミーがヤバいことになる。\tts[じゃないとティミーがひどい目に遭う。]
map_0778#41	サファイラ: それは問題にならないわ。
map_0778#42	サファイラ: 今しかないもの。
map_0778#43	待っているわ、\PN。
map_0778#44	フロリニア: ようこそ。
map_0778#45	テラ: なあああああああにそれ\tts[テラ: なにそれ]
map_0778#46	おい、クソつまんねークソ女、\tts[おい、退屈くそ女、]
map_0778#47	テメェに文句が2つあるんだよ：\tts[あんたに文句が2つあるんだ：]
map_0778#48	ナンバー1：テメェはクソ壁をブチ破ってきて部屋をクソ壊しといて、いけしゃあしゃあと
map_0778#49	よ　う　こ　そ　。\tts[ようこそ。]
map_0778#50	ラアアアアアウウウワアアアアアアッ！！！！！！！！\tts[ラアアアアアウウウワアアアアアアッ！！！！！！！！]
map_0778#51	ナンバー2：ビッチ、アタシが消したら、テメェは消されたままだかんな。\tts[ナンバー2：あんた、アタシが消したら、消されたままだからね。]
