map_0450#8	それでさ?
map_0450#9	巻き込んじゃって、悪かったな。
map_0450#10	あいつの扱いに慣れてるお前なら、楽勝だと思ったんだよ。
map_0450#11	まあ、自業自得ってやつか。
map_0450#12	サムソン: たぶん、ちょっとした気の迷いだったんだろうな。
map_0450#13	いや、今もそうなのかもな、
map_0450#14	何でか知らないが、未だにどこだか分からない場所で、何だか分からないものを探し回ってるわけだし。
map_0450#15	「ただの簡単な宝探しだから」って、あいつは言ったんだ。
map_0450#16	「これやったら、話そう」って。
map_0450#17	俺、一体何が起こると思ってたんだろうな。
map_0450#18	サムソン: 「そんな酷いことにはならないだろう」って思ったんだ。
map_0450#19	俺たちがここにいる間に、あいつが機械のプラグを抜いて、デジタル世界に何年も閉じ込めるなんてこと、あるわけないよな。
map_0450#20	まあ、もしそうしたとしても、あいつには多少の言い分はあるだろうけど。
map_0450#21	サムソン: チームメテオの件は、あっさり許しすぎたよな、俺。
map_0450#22	他に気にすることがあったんだろうな、たぶん。
map_0450#23	あいつのニヒリズムは、まあ分かる。
map_0450#24	それでも、あんまり嬉しいもんじゃないけどな。
map_0450#25	でも、まあ、こうなってるわけだ。
map_0450#26	サムソン: あいつが戻ってきて、全部冗談だったって言ってくれることを、信じたかったんだ。
map_0450#27	実際、あいつは戻ってきたけど、冗談じゃなかった。
map_0450#28	そして今、俺はこの全部を抱えて生きていかなきゃならない。
map_0450#29	くそ。
map_0450#30	サムソン: 待てよ。
map_0450#31	サムソン: この木の枝に、贈り物の箱があるぞ!
map_0450#32	フルカラーで、ちゃんとしたやつだ――見つけたぞ!
map_0450#33	よっしゃー――ざまあみろ、バカな宝探しめ!
map_0450#34	よし、何が当たったか見てみよう!
map_0450#35	サムソン: これは……
map_0450#36	ただの……ピスタチオの箱?
map_0450#37	テ4: 見ろ、ディーズナッツだぁ!\tts[テラ: 見ろ、ディーズナッツだぁ!]
map_0450#38	ガアアアアアアアアア!!!!
map_0450#39	サムソン: ……
map_0450#40	俺がデートに誘ったら、お前が送り込んできたのは、探し出すべき箱――
map_0450#41	テ4: ディーズナッツ!!!!! ワロタ\tts[テラ: ディーズナッツ!!!!! ワロタ]
map_0450#42	そ
map_0450#43	何が分からないわけ
map_0450#44	テ4: それで、こんなことされても、まだあたしと付き合いたい?\tts[テラ: それで、こんなことされても、まだあたしと付き合いたい?]
map_0450#45	熱さに耐えらんないなら、キッチンから出てけって話、ビ、ビッチ
map_0450#46	サムソン: ああ、付き合おう。
map_0450#47	テ4: だよね、ノーマルな奴らって――\tts[テラ: だよね、ノーマルな奴らって――]
map_0450#48	ちょっと待って何
map_0450#49	サムソン: お前とシエルがもう付き合ってるのは知ってる、
map_0450#50	でも、独占的な関係は向いてないって、お前が言ってたのも知ってるし。
map_0450#51	三人一緒でも、お前が俺たちを使い分けるのでも、その中に入りたいんだ。
map_0450#52	サムソン: 俺はもう、お前のカオスを後押しする、どうしようもないバカになるって決めたんだ。
map_0450#53	結局、マッチョ男と超女らしいトロフィー彼女、みたいな伝統的な図式より、そっちのほうがずっと好きだ。
map_0450#54	あの手の話は、テレビで何千回も見てきた。
map_0450#55	自分でまで生きる必要はない。
map_0450#56	でも、お前がやることが、これっぽっちも先が読めない。
map_0450#57	それが、俺には必要な気がするんだ。
map_0450#58	正直、お前がただ「いいよ」って言うだけだったら、がっかりしてたと思う。
map_0450#59	でも、これは?
map_0450#60	自己不信の形として、一番古典的なミームで、手の込んだドッキリを仕掛けてくるとか?
map_0450#61	そういうことするの、お前くらいだよ。
map_0450#62	もっとそれ、見せてくれ。
map_0450#63	テ4: ……\tts[テラ: ……]
map_0450#64	べ、別に、クールで距離感のある冷めたフリを見抜いてほしかったわけじゃ……ば、バカみたい!!!
map_0450#65	バカバカバカバカバカバカバカバカ!!!!!!!!!
map_0451#0	彼女はケツによって、ケツに仕えるために作られた。それこそが、彼女の存在意義。
map_0451#1	そして、彼女はやり遂げた。
map_0451#2	ボス! ケツが暴走してます!\tts[ボス! ケツが暴走してます!]
