map_0037#141	ほら、明らかに足を引きずってるでしょ? 見て
map_0037#142	お願い、早くして!
map_0037#143	誓って言うけど、腕が今にも取れそうなんだから!
map_0037#144	まあ、ちょっと大げさに言ってるかもだけど――文句ある?
map_0037#145	あんたが事故に遭ったわけじゃないでしょ――
map_0037#146	え……遭ったの?
map_0037#147	あ……あはは、どうぞお先に!!!
map_0037#148	いやいや、お先にどうぞ!
map_0037#149	警察が全然どいてくれない! こんなばかげた封鎖のせいで、自分の家にすら帰れない!
map_0037#150	ふん。まあ、そう長くは続かないだろう。
map_0037#151	<>- グランドビュー通り\n^ - 4番街
map_0037#152	この一帯は、状況が落ち着くまで一時封鎖されています。
map_0037#153	若い頃は、ここに立ってアズリン湖を眺めたものだ。その鮮やかな青さから、そう名付けられたと聞く。
map_0037#154	それで、これは何だ? 「クソ茶色湖」とでも言うのか?
map_0037#155	あの爆発した電車に乗っていたの?
map_0037#156	わたしの婚約者もそうだった。
map_0037#157	あなた、あの電車にいた人じゃない?
map_0037#158	ちょっとは肝が据わったみたいね。
map_0037#159	負けることもあれば、勝つこともあるさ。
map_0037#160	まあ、クソみたいなことは起きるもんだ。仕方ないだろ?
map_0037#161	それで、空き家に隠したってわけか。
map_0037#162	ああ。盗んだはいいが、しまっとくモンスターボールすら持ってなかったんだよ!
map_0037#163	あの薬剤師、不気味なのか、それとも威厳があるのか、判断がつかない。
map_0037#164	でも、鎮痛剤を少しでも取っておいてくれるなら、どうでもいいわ!
map_0037#165	どこか行くのか?
map_0037#166	度胸あるな、お前。
map_0037#167	気をつけてな。これ以上被害者が出るなんて話、聞きたくない。
map_0037#168	なまえ判定人の家
map_0037#169	いつか、ラピスワードに洒落た家を買えるようになりたいわ。
map_0037#170	列を崩さず、一列に並んでください。
map_0037#171	薬剤師はしばらくここに滞在して皆さんの対応をしますので、急ぐ必要はありません。
map_0037#172	彼は警察の信頼する協力者です。安全に処置を受けられますよ。
map_0037#173	<>- グランドビュー通り\n^ - 3番街
map_0037#174	ゴミ箱が、かすかにガタガタと揺れた……
map_0037#175	……ポケモンが飛び出してきた!
map_0037#176	くそっ! これでどうやって家に帰れって言うんだ!?
map_0037#177	家に帰れないから、こっちで泊まる場所を探さないと。
map_0037#178	貸し部屋の情報があれば、ぜひ教えてください!
map_0037#179	ん? すぐ近くに貸家があるの? それはいいわね!
map_0037#180	すぐ行くわ!
map_0037#181	あの時、わたしは駅の中にいたの。
map_0037#182	電車は炎に包まれたまま駅に突っ込んで、終端の防護柵に激突して……
map_0037#183	……無傷で逃げられたのは奇跡だわ。
map_0037#184	<>- スピットレイル通り\n^v - 2番街
map_0037#185	<>- ユニオン通り\n^v - 3番街
map_0037#186	こういう日は本当に嫌になる。
map_0037#187	このみじめな暑さは、全部この街のせいだ。
map_0037#188	ヒメグマ: テ……テディ……
map_0037#189	ウーサ……?
map_0037#190	ウーサウーサウーサ!!!
map_0037#191	ヒメグマは逃げ出した!
map_0037#192	よお。ここはオレの縄張りだぜ。
map_0037#193	え……
map_0037#194	「我が家は君の家」……ってな。
