map_0414#419	その覚悟、そんなにもろいのか?
map_0414#420	敵を作るというのなら、断固としてやるべきだ。
map_0414#421	タカ: 分かってるよ。
map_0414#422	ソラリス: 弱さを見せずに語れ。
map_0414#423	ひるむことなく打て。
map_0414#424	自分が間違っていると告げられるのが自分自身だけになった時、初めて前に進む権利を得るのだ。
map_0414#425	それまでは、お前はまだ道に迷った子供のように許しを求めているだけだ。
map_0414#426	タカ: だから、もう分かってるって。
map_0414#427	ソラリス: 分かっているのなら、私に証明してみせろ。
map_0414#428	お前がずっとほえているその覚悟とやらを、見せてみろ。
map_0414#429	戦いであろうとなかろうと、お前が選んだ道を私が理解せざるを得ないようにしてみせろ。
map_0414#430	タカ: ……
map_0414#431	タカ: いや。
map_0414#432	ソラリス: よろしい。
map_0414#433	沈む船に留まっていても仕方あるまい。
map_0414#434	泳いで逃げられる者は、もっと早くそうすべきだったのだ。
map_0414#435	船長としては……
map_0414#436	まだ作るべき敵が残っているようだな。
map_0414#437	フロリニア: 敵勢力は最北端の建造物を通じて撤退しました。
map_0414#438	街の安全は確認されたようですが、味方勢力は可能な限り残存部隊の追跡を継続します。
map_0414#439	同行を推奨します、同時に警戒も必要です。
map_0414#440	統計的に有意な確率で、敵の待ち伏せが存在します。
map_0414#441	あらゆる事態に備えた事前準備を推奨します。
map_0414#442	アマリア: あら、戻ってきたのね?
map_0414#443	みんな、遅いから何かあったのかって心配してたのよ。
map_0414#444	チームメテオはもう街から追い出されたわ。
map_0414#445	もうここは大丈夫なはずだけど、
map_0414#446	この建物を通って撤退してるメンバーがまだたくさんいるの。
map_0414#447	仕上げに行きましょうか?
map_0414#448	先に行っていいわよ、すぐ後ろから行くから〜
map_0414#449	アマリア: あ、でも念のため言っておくと?
map_0414#450	何かやらなきゃいけないことがあるなら、今のうちにやっておいたほうがいいわよ。
map_0414#451	特に理由はないんだけど〜
map_0414#452	アマリア: 警告しなかったなんて言わせないから〜
map_0414#453	フローラ: 生きてるPULSEの標本さえ見られたら……
map_0414#454	回収したデータと資料は、もう十分にあるはずなんだけど。
map_0414#455	変異的な身体ストレスの原因を突き止めるには、まだ生きてる個体が必要なのよ……
map_0414#456	それで、どこにあるの? 生きてるPULSE。
map_0414#457	そもそも生きてるのがいるならの話だけど。
map_0414#458	あら、\PN。やめておきなさい。
map_0414#459	今、わたしを怒らせないで。
map_0414#460	こんなに終わりが近いっていうのに。
map_0414#461	取引はしたはずよ!
map_0414#462	あなたが装置の場所を教えてくれたら、わたしがマギアナについて話す、って!
map_0414#463	つまり何、わたしが自分のPULSEを作るのが嫌だから、教えないってわけ?
map_0414#464	はっ、あなた、そんなに臆病だったの?
map_0414#465	ハハハハハハハ!
map_0414#466	ふざけないで、\PN。
map_0414#467	最後のPULSEがどこにあるか、今すぐ教えてもらうから。
map_0414#468	フローラ: あなたへの我慢の限界。
map_0414#469	協力しないなら、力ずくで情報を吐かせるまでよ。
map_0414#470	さあ来なさい、\PN。わたしを相手に自分を守れるか、見せてもらうわ。
map_0414#471	フローラ: へえ。分かった。仕方ないわね。
map_0414#472	見た目よりずっと強いのね、知ってた?
map_0414#473	馬鹿みたいに見えるでしょうね、わたし。
map_0414#474	負けたんだから、回りくどく言っても仕方ないわね。
map_0414#475	だから、もう行くわ。
map_0414#476	必要な情報は、他で見つけるから。
map_0414#477	あなたも、マギアナのことを教えてくれる別の誰かを見つけないとね。
map_0414#478	フローラ: フローラです。
map_0414#479	ジェンケル、早口すぎて聞き取れないから止めて。
map_0414#480	……いいえ、缶詰のラビオリはもう買ってないわよ。あんなもの、まずいんだから。
map_0414#481	自分で何か作りなさいよ、あの――
map_0414#482	え?
map_0414#483	PULSEマシンについて何か知ってそうな人の手がかりをつかんだですって??
map_0414#484	それで、その人はアメトリンシティに住んでるのね?
map_0414#485	古い家……
map_0414#486	分かったわ。ありがとう、ジェンケル博士。
map_0414#487	ああ、それと最後にひとつ。
map_0414#488	帰ってきてキッチンが散らかってたら、傷んだパスタソース以上に片付けるものが増えるからね。
map_0414#489	サファイラ: 図書室にしようかと思ってるの。
map_0414#490	壁が傷んでるから、どのみち取り払わなきゃいけないし。
map_0414#491	代わりに棚を置いて、子供たちに勉強でも考えてみられる場所を作ってあげられるでしょう。
map_0414#492	作業員: ベルローズさん――
map_0414#493	検査官の話じゃ、北側の建物は住居として認められる基準を満たしてないそうなんですが。
map_0414#494	サファイラ: 住居として認められないってどういうこと。
map_0414#495	チームメテオが来てみんなを追い出す前は、文字通り住居だったのに。
map_0414#496	作業員: ええ、ですが古い基準だと――
map_0414#497	居住者一人当たりの面積がどうとかで。
map_0414#498	合わないみたいで。
map_0414#499	俺には分かりませんが、伝えただけです。
map_0414#500	サファイラ: ええ、どうでもいいわ。
map_0414#501	ありがとう。
map_0414#502	サファイラ: どのみち、普通の大家みたいに家賃を取るつもりなんてないんだから……
map_0414#503	どうして人は規則の細かい部分にそこまでこだわりたがるのか、わたしには一生理解できないでしょうね。
map_0414#504	状況を見て、最善の行動を判断すればいいだけなのに。
map_0414#505	シャルロット: 調子はどう?
map_0414#506	シャルロット: ……その顔、見覚えあるやつね。
map_0414#507	サファイラ: どの顔?
map_0414#508	シャルロット: 「どう」じゃなくて「誰を」つるすかって顔。
map_0414#509	サファイラ: 残念だけど、絞首台を設置する計画なんて、法的後見人としての評価を上げてはくれないでしょうね。
map_0414#510	シャルロット: アドリエンヌと\PNが味方についてるんだから、大丈夫よ〜
map_0414#511	サファイラ: 縁故万歳ってわけね。
map_0414#512	シャルロット: もう、やめてよ。
map_0414#513	信頼の問題でしょ。
map_0414#514	お姉ちゃんは母性的なタイプってわけじゃないけど、あの立派な医者よりずっとマシな仕事をするって、みんなよく分かってるから。
map_0414#515	母性的にだってなれるわよ。
map_0414#516	シャルロット: やめてよ、料理すらできないくせに。
map_0414#517	水を焦がしたことあったよね?
map_0414#518	サファイラ: ち、違うわ……
map_0414#519	……あれは……二回よ。
map_0414#520	シャルロット: そもそも、どうやったらそんなことできるのか分かんないんだけど。
map_0414#521	というか、ほら? ほのおタイプのリーダーでしょ。
map_0414#522	もしかして、それが縁談を断られ続けてた本当の理由だったりして。
map_0414#523	サファイラ: みんなの夕食を全部自分で作るつもりなんてないわよ。
map_0414#524	そもそも、すでに自活する力のある未成年に、住む場所を提供するのが狙いなんだから。
map_0414#525	自分で夕食を作る機会があるだけでも、あなたたちが持ってたものより十分よ。
map_0414#526	大事なのは、虐待的な環境から逃れる選択肢が、また別の孤児院や里親制度に限らないってこと。
map_0414#527	わたしは慈しみ深いタイプじゃないかもしれないけど、拷問でみんなを「治す」と決め込んだ妄想男よりは、ちゃんと面倒を見られるわ。
map_0414#528	人が本当に必要としてるのは、成長するための余地だけ。
map_0414#529	それが、ここにはある。
map_0414#530	シャルロット: 新しい隣人たち、楽しみだな!
map_0414#531	それに、インスタント麺だってそんなに悪くないし。
map_0414#532	メテオがポケモンショップに丸ごと箱で置いてったのよ!
map_0414#533	食べる?
map_0414#534	どうせ今日、まだ何も食べてないんでしょ。
map_0414#535	シャルロット: 子供たちに自分の世話の仕方を教えたいなら、まずお姉ちゃんが手本を見せなきゃ。
map_0414#536	行きましょ、
map_0414#537	心配しないで、お湯はわたしが沸かしてあげるから。
map_0414#538	シャルロット: 麺、\PNもいる?
map_0414#539	食べようかな
map_0414#540	どうしようかな……
map_0414#541	ジバコイル
map_0414#542	バリヤード
map_0414#543	はい
map_0414#544	いいえ
map_0414#545	断ったら?
map_0415#0	こんにちは!
map_0415#1	ハリーセンってどう思う? かわいくない?!
map_0415#2	抱きしめたくならない?!
map_0415#3	え、痛いって、どういうこと?
map_0415#4	誰にも抱きしめてもらえないハリーセンの気持ちを考えてみてよ、悲しいと思わない?……
map_0415#5	とにかく、その――ねえ、持ってる?
map_0415#6	ハリーセンとなら、うちのゴンベを喜んで交換するよ!
map_0415#7	ううん、いいの! わたしだって手放したくないもの。
map_0415#8	本当に?! やだ、あなた最高!
map_0415#9	\PNはハリーセンとゴンベを交換した!
map_0415#10	正直、これでポケスナック代もかなり浮くと思う。
map_0415#11	一石二鳥だね!
map_0415#12	この子、最高だよ! 本当にありがとう!
map_0415#13	うわああ、あと少しでシャルロットに勝てるところだったのに……
map_0415#14	そしたらあいつ、クソみたいなすごいきずぐすりを出してきて、そこから全部台無しだよ!
map_0415#15	本物のトレーナーなら道具なんて使うべきじゃないよな、そう思わないか?!
map_0415#16	だよな、分かってくれるか!
map_0415#17	俺たちみたいなやつこそが、本物の戦士なんだよ!
map_0415#18	なあ、本物の戦士になりたいなら、これ聞いてくれ――
map_0415#19	今度誰かに合言葉を聞かれたら、「noitems」って言うんだ!
map_0415#20	それで、お前も相手も名誉のおきてに縛られるってわけさ!
map_0415#21	バトル中は道具なし――
map_0415#22	道具なしで勝てるのは、本物の戦士だけだ!
map_0415#23	お前にその覚悟はあるか、相棒!?
map_0415#24	じゃあ、お前は何の役に立つんだよ!?
map_0415#25	やあ、見知らぬ者よ。
map_0415#26	お前が今わしを鮮明な幻覚として体験しているのは、お前のセーブデータがこのバージョンより古いバージョンで始められたからだ。
map_0415#27	気にするな。
map_0415#28	知っておくべきなのは、お前が最初にここに来て以降のどこかで、誰かがこのゲームに「合言葉」というものを追加したということだ。
map_0415#29	これらは主に新規の者向けだが、慈悲深い存在が、お前が望むなら現在の冒険にもいくつかの合言葉を適用する機会を一度だけ授けることにした。
map_0415#30	考慮すべき選択肢はこうだ:
map_0415#31	これを選べば、わざマシンXと該当のバッジさえ持っていれば、ポケモンに覚えさせなくてもフィールドわざを使えるようになる。
map_0415#32	適用するか?
map_0415#33	承知した。
map_0415#34	今後は、合言葉「easyhms」を使えば、このモードでプレイできる。
map_0415#35	それが要因にならないようにしておこう。
map_0415#36	これを選べば、バトルシステムからダメージのばらつきをなくし、平均ダメージ値に基づいたより安定したバトルになる。
map_0415#37	今後は、合言葉「nodamageroll」を使えば、この方式でプレイできる。
map_0415#38	独創的な名前だろう?
map_0415#39	これを選べば、ゲーム内の敵トレーナー全員の個体値を最大に、努力値を全ステータス252に設定し、より難しい挑戦になる。
map_0415#40	今後は、合言葉「fullevs」を使えば、このモードでプレイできる。
map_0415#41	これを選べば、敵トレーナー全員の個体値と努力値をすべて0に設定し、より簡単な体験になる。
map_0415#42	今後は、合言葉「litemode」でこれを適用できる。
map_0415#43	満足したか?
map_0415#44	そうであることを願う。
map_0415#45	なぜなら、このNPCはこれより自己消滅するからだ。
map_0415#46	お望みのままに。
map_0415#47	わしはここにはいなかった。
map_0415#48	はい
map_0415#49	いいえ
map_0415#50	わざマシンX無制限使用
map_0415#51	ダメージ乱数なし
map_0415#52	努力値満タン
map_0415#53	個体値・努力値ゼロ
map_0417#351	シェリー: は、はい!
map_0417#352	ティタニア: よろしい。
map_0417#353	セラ: あなたがリボーンのむしタイプのジムリーダーなのね?
map_0417#354	シェリー: はい、わたしです!
map_0417#355	なぜか……
map_0417#356	セラ: うちの息子もむしタイプを研究してるのよ。
map_0417#357	きっと、あなたの立場を羨ましく思ってるでしょうね。
map_0417#358	シェリー: え? あ……
map_0417#359	その、彼から何か奪っちゃってなければいいんですけど……
map_0417#360	セラ: はっ。
map_0417#361	だとしても、彼に必要なものではなかったみたいね。
map_0417#362	良くも悪くも、四天王への道を見つけたみたいだから。
map_0417#363	シェリー: ええ! すごいですね!
map_0417#364	いつか会ってみたいです!
map_0417#365	セラ: さあ、それはどうかしらね。
map_0417#366	シェリー: でも、きっと誇らしいですよね!
map_0417#367	セラ: ええ、それもどうかしらね。
map_0417#368	むしろ、家に帰ってきてほしいくらい。
map_0417#369	シェリー: うちの兄も、同じように思ったことあるのかな……
map_0417#370	全然気にしてなさそうだったけど……
map_0417#371	セラ: わたしの経験上、男ってそういうものよ。
map_0417#372	シェリー: そ、その。
map_0417#373	ティタニア: あの子に分からせようとしなかったわけじゃないんだけどね。
map_0417#374	でも、フロリニアは相変わらず頑固だから。
map_0417#375	いつか、まともな人たちに囲まれる日が来るのかしら。
map_0417#376	慣れようとしてもだめだった。
map_0417#377	なら、あとひとつしかやることはない:
map_0417#378	あきらめること。
map_0417#379	ティタニア: それで、あなたがわたしのそばをうろついてる理由でもあるのかしら、お嬢さん?
map_0417#380	シェリー: だ、誰、わたし?
map_0417#381	ティタニア: そうよ。
map_0417#382	シェリー: そ、その……わたし――
map_0417#383	あ、あなたも文学に興味があるって聞いて、それで――
map_0417#384	そ、それで、もしかしたらいい人なんじゃないかって思って、その……
map_0417#385	もしかして……
map_0417#386	わたしたち……なれるんじゃないかって……
