map_0227#211	シャルロット: ……そう。
map_0227#212	じゃあ、力ずくでいくしかないね。
map_0227#213	それじゃ、あんたたちにお願いしようかな?
map_0227#214	カイン: 力ずくはオレの得意技だぜ~
map_0227#215	やっぱり、こいつは面倒事を招くと思ってた……
map_0227#216	それやめてくれない?!
map_0227#217	タラ: シャルロット、お友達に強すぎるのやめてって言って!
map_0227#218	シャルロット: あんたたちが悪者やめたら?
map_0227#219	カイン: そうそう、はは。
map_0227#220	チームメテオやめて、こっち側に来いよ!
map_0227#221	サイモン: それはできない。
map_0227#222	シャルロット: なんで?
map_0227#223	サイモン: 俺たちの仕事が終われば、新しい命が手に入る。
map_0227#224	俺たちのためだけじゃない、みんなのためにも……
map_0227#225	タラ: チームメテオは世界を作り直すの!
map_0227#226	それを手伝った者には、後で一番上の座が約束されてる!
map_0227#227	カイン: それで……この世界は?
map_0227#228	サイモン: 消える。
map_0227#229	消滅する。
map_0227#230	なくなる。
map_0227#231	でも、俺たちは生き残る。
map_0227#232	大事なのは世界じゃない、そこにいる人間だ。
map_0227#233	シャルロット: 目的は手段を正当化する、ってわけね。
map_0227#234	タラ: そう、それ!
map_0227#235	シャルロット: まあ、それはそれでいいんじゃない。
map_0227#236	とにかく、あたしは行くよ。
map_0227#237	じゃあね。
map_0227#238	あんたたちに止められるわけないから、無駄なことはしないでよね。
map_0227#239	シャルロット: 待って、シェリーは下の階にいたよね。
map_0227#240	助け出さなかったの?
map_0227#241	カイン: そうしないと、あいつに近づくことすらできなくて……
map_0227#242	シャルロット: ……ふうん。
map_0227#243	メテオ団員: それ以上近づくな、じゃないとこいつの喉をかっ切るぞ!
map_0227#244	シャルロット: ……
map_0227#245	シェリー: シャルロット……?
map_0227#246	シャルロット: じゃあ、やりなよ。
map_0227#247	カイン: は?
map_0227#248	シャルロット: 殺せば。
map_0227#249	あたしが気にするとでも思った?
map_0227#250	シェリー: シャ、シャルロット!
map_0227#251	シャルロット: 家族でも何でもないし。
map_0227#252	あたしはただ、上に行くためにこのスイッチを入れるだけ。
map_0227#253	メテオ団員: ……本当にやるぞ!
map_0227#254	シャルロット: あんたたちがその子に何しようと、あたしには関係ないから、好きにすれば。
map_0227#255	カイン: お、おい、気をつけろよ……
map_0227#256	シェリー: あ、ああ!
map_0227#257	シャルロット: \PN、今よ!
map_0227#258	あの……
map_0227#259	今の、本当にあったこと……?
map_0227#260	シェリー: シャ、シャルロット、ほ、本当にあ、あたしに死んでほしいのかと……
map_0227#261	シャルロット: まさか、そんなわけないでしょ。
map_0227#262	あんたは孤児院からあたしが逃げるのを手伝ってくれた。
map_0227#263	それについては、敬意を払ってる。
map_0227#264	でも、「もう自分にはどうしようもない」って思わせれば、相手を制御不能にできるものなの。
map_0227#265	あんたに怪我してほしくなかったの、シェリー。
map_0227#266	さ、行こう。
map_0227#267	ヘザーと双子は、もっと上にいる。
