map_0854#233	母: エリザベス！ どうして何も言わなかったの！
map_0854#234	一体いつからこんな目に遭わされてたの？
map_0854#235	シグムンド、行きなさい！
map_0854#236	お茶を捨てた……
map_0854#237	エリザベス: ふう！ ありがと。
map_0854#238	もちろん、これは二人だけの秘密ね！
map_0854#239	母: シグムンド、あまり長くお姉ちゃんの邪魔をしないで。
map_0854#240	お医者様が言ってたでしょ、休まないといけないって。
map_0854#241	エリザベス: ……もう行ったほうがいいわよ。
map_0854#242	シグムンド: そうだね。
map_0854#243	早くよくなってね、リジー。
map_0854#244	エリザベス: そうね……
map_0854#245	お医者様が置いていった、難しそうな書類。
map_0854#246	ほとんどの単語がよくわからない。
map_0854#247	「感情鈍麻……」
map_0854#248	「権威への抵抗……」
map_0854#249	「普段の活動に喜びを感じられない……」
map_0854#250	「大うつ病――」
map_0854#251	「自傷行為への空想が時折見られる」
map_0854#252	母さんと父さんが置きっぱなしにしてる、難しそうな書類。
map_0854#253	「四半期利益……」
map_0854#254	「抵当要件……」
map_0854#255	「不動産価値……」
map_0854#256	「立ち退き通知……」
map_0854#257	父さんが手放せと言った本の山。
map_0854#258	おじさんがこれを僕に買ってくれたことでさえ、二人は怒っていた。
map_0854#259	母さんが宿題をしなさいと言った。
map_0854#260	シグムンド: 宿題やらなきゃな、たぶん。
map_0854#261	でも教科書をどこに置いたか思い出せない。
map_0854#262	たぶんこの辺のどこかに……
map_0854#263	数学と図形の退屈な教科書。
map_0854#264	シグムンド: あった……
map_0854#265	じゃあ、始めるか……
map_0854#266	超能力を持つ変異体たちのマンガの山。
map_0854#267	はげ頭の男が、みんなが安全に一緒に学べる家を運営している。
map_0854#268	シグムンド: 次の号が早く出ないかな！
map_0854#269	新しい学校へ転校するための公式書類……
map_0854#270	前の学校の何がいけなかったんだろう？
map_0854#271	「初心者のためのビジネスと投資機会」
map_0854#272	父さんはこの本を読めと言ったけど、全然わからない……
map_0854#273	父さんからもらった本の山。
map_0854#274	ほとんどが事業の運営方法や、なぜある土地が他より価値が高いのか、経済的希少性が価格にどう関わるかについて書かれている。
map_0854#275	もう読んだ本の山。
map_0854#276	でもほとんどが小説だから、これは数に入らない。
map_0854#277	新しいクラスへの転入に備えて読んでおくべき本のリスト……
map_0854#278	……ほとんどは二年前に読んだ。
map_0854#279	将来の夢を書いた紙:
map_0854#280	「ヒーロー」
map_0854#281	非現実的。
map_0854#282	「物語作家」
map_0854#283	無意味で非現実的。
map_0854#284	「小学校の先生」
map_0854#285	先生の給料はあまりよくないらしい。
map_0854#286	「リジーの介護人」
map_0854#287	看護師や介護人になれるのは女性だけ。
map_0854#288	「宇宙飛行士」
map_0854#290	父さんはもっと頑張れと言った。
map_0854#291	犯罪と戦う衣装のスケッチ。
map_0854#292	襟と髪を大きくして頭を強調してるのは、こいつが精神の力を使うから！
map_0854#293	誰でも幸せにできる力で、犯罪者に他人の物を盗みたいと思わせなくすることで犯罪を止められる。
map_0854#294	いつか悲しみを完全に治してみせる！
map_0854#295	エリザベス: ねえ、シギー、早く！
map_0854#296	シグムンド: リジー、ちょっと――ちょっと待って！
map_0854#297	本当に大丈夫なの？
map_0854#298	シグムンド: こんな遠くまで来て本当にいいのかな？
map_0854#299	エリザベス: さあ、わかんない。
map_0854#300	でもママとパパが、「新鮮な空気」のためにここに引っ越したって言ってたよね？
map_0854#301	そう言ったのは向こうなんだから、外に出させないのはおかしいでしょ。
map_0854#302	留守にしてる間にチャンスを使わない手はないよ！
map_0854#303	シグムンド: そうかな……
map_0854#304	エリザベス: それに、こんな場所の近くに住んでて、自分の目で見ないなんてありえる？！
map_0854#305	そんなの意味ないでしょ？！
map_0854#306	エリザベス: シギー、見て！
map_0854#307	ピチュー！
map_0854#308	ねえ、私もいつかポケモントレーナーになれると思う？
map_0854#309	エリザベス: へへ！
map_0854#310	じゃあここから始まりね！
map_0854#311	エリザベス: ママとパパは絶対許してくれないと思うけど、別に問題ないと思う！
map_0854#312	このモンスターボール見て！ 引っ越してきたときに近くで見つけて、こっそり隠してたの――念のため。
map_0854#313	エリザベス: よし、ピチュー！ 君に決めた！
map_0854#314	モンスターボール、行け！
map_0854#315	ピチューはすっかり気を取られているようだ。
map_0854#316	母: 一体何を考えていたのか、さっぱりわからないわ！
map_0854#317	新しいドレスを見なさい！
map_0854#318	この草のシミ全部見える？
map_0854#319	これを落とすのにどれだけ時間がかかると思ってるの？！
map_0854#320	エリザベス: ごめんなさい。
map_0854#321	母: 「ごめんなさい」でシミが取れるわけじゃないのよ！
map_0854#322	あなたのことだけでも、もう十分に手を焼いてるのよ。
map_0854#323	あなたの医療費が、お父さんの財政にどれだけの負担をかけているかわかってるの？
map_0854#324	エリザベス: ごめんなさいって言ったでしょ……
map_0854#325	母: いくら言っても、言葉じゃ問題は解決しないのよ。
map_0854#326	一体どうしちゃったの？
map_0854#327	どうすればあなたの力になれるの？！
map_0854#328	私たちがあなたに何かして、それでこんな仕返しをしたくなったの？
map_0854#329	母: 自分から何か言うことはないの？
map_0854#330	エリザベス: ごめん――なさい……
map_0854#331	母: 神様、こんなときにまで私を試すのですね……
map_0854#332	それと、あなた、シグムンド！
map_0854#333	あの子をあんなふうに走らせるなんて、もっとわかっているべきでしょう！
map_0854#334	そもそもあんな所で何をしていたの？
map_0854#335	父: 男の子はそういうものだよ、あなた。
map_0854#336	だが男として、周りの者を気にかける責任がある。
map_0854#337	お前にはひどく失望したぞ。
map_0854#338	母: それに、まだポケモンのことも片付いてないわ！
map_0854#339	本当に、どうなると思ってたの？
map_0854#340	こんなネズミを家に連れて帰って、うちのお金で餌をやることをみんなが平気だと思うなんて？
map_0854#341	あなたたち二人とも、お金が木になるわけじゃないってわかってないみたいね――
map_0854#342	それに、そもそもあなたたち二人の面倒を見るだけで手一杯なのよ！
map_0854#343	父: シグムンドが成績を維持する限り、飼ってもいい。
map_0854#344	母: でも――
map_0854#345	父: 私はもう決めた。お前がそれを覆すことはない。
map_0854#346	もっと悪い代物を飼うこともあるだろうし、それに励みになる動機付けにもなるだろう。
map_0854#347	だが成績が少しでも下がったら、その時はすぐに逃がしてもらうぞ。
map_0854#348	父: ……わかったな？
map_0854#349	母: ……はい、あなた。
map_0854#350	父: 詳しいことは自分たちで決めなさい。
map_0854#351	もう十分に時間を無駄にした。
map_0854#352	ドクター: 混合投与では効果が見られなかったので、もっと積極的な治療を始めましょう。
map_0854#353	説明した通り、一日三回です。
map_0854#354	副作用と注意事項をよく読んでください。かなり強く出ることがありますので。
map_0854#355	母: あの子のためになることなら何でも……
map_0854#356	もちろん、私たちの大切なエリザベスのためなら何でもしますとも……
map_0854#357	ドクター: 結構です。
map_0854#358	何か質問や不都合がありましたら、いつでもご連絡ください。
map_0854#359	では、失礼いたします。
map_0854#360	ドクター: おや、こんにちは。
map_0854#361	君がシグムンドだね。
map_0854#362	シグムンド: こんにちは……
map_0854#363	ドクター: 恥ずかしがらなくていいよ。
map_0854#364	私は君のお姉さんの新しい担当医だ。
map_0854#365	すぐによくしてあげるから、何も心配しなくていい。
map_0854#366	シグムンド: 姉は、実際のところ何が悪いんですか？
map_0854#367	ドクター: ああ……
map_0854#368	簡単に言うと、彼女はただ……
map_0854#369	とても悲しんでいるんだ。
map_0854#370	だから、良くなるように私たちがしっかり見ていく。
map_0854#371	シグムンド: 前の先生も同じことを言ってました。
map_0854#372	ドクター: ……そうかい？
map_0854#373	まあ、医学は完璧な科学ではないからね――たとえうまくいかないことがあっても、それも何が効くかを見つけるための一歩なんだよ。
map_0854#374	必ず突き止めてみせるよ。
map_0854#375	さて、そろそろ失礼するよ。
map_0854#376	母: お父さんが帰ってくる前に夕飯の支度をしないと。
map_0854#377	あなたは先に宿題を始めておいたらどう？
map_0854#378	母: おかえりなさい、シグムンド。
map_0854#379	いい子だから、またお姉ちゃんに薬を持っていってあげて。
map_0854#380	おかえりなさい。
map_0854#381	お姉ちゃんは今日は疲れた一日だったの。
map_0854#382	また薬を持っていってあげてくれる？
map_0854#383	父: ドクター、お前の言い訳にはもううんざりだ！
map_0854#384	シグムンド: 今の、父さんの書斎からだったような……
map_0854#385	母: お願い、ただの事故だったの……
map_0854#386	父: 事故だと言うなら、とっくに直しておくべきだっただろう！
map_0854#387	毎日同じ時間に夕食をテーブルに出す、それがそんなに難しいことか？
map_0854#388	私はお前に与えているような贅沢――気ままに一日中豚のように間食するような贅沢は許されていないんだ。
map_0854#389	私には食事をとるべき時間というものがある。
map_0854#390	母: わかってるわ、でも焦げてしまって、買いに走らなきゃいけなくて――
map_0854#391	父: ああ、それはもう三回目だぞ。
map_0854#392	お前の仕事はひとつしかない。
map_0854#393	家庭を切り盛りすることだ。
map_0854#394	必要な物が足りなくなるような事態を、そもそも許すべきではなかった。
map_0854#395	これは不注意の典型だ。
map_0854#396	それでどうやってエリザベスの手本になるつもりだ？
map_0854#397	どうやって将来、良い妻になる方法をあの子が学べる？
map_0854#398	間違いを犯した後、私だけを相手にすればいいのだから、お前は幸運なんだぞ。
map_0854#399	私が一度でも失敗すれば、何千ドルもの示談金を失いかねない。
map_0854#400	お前が一度失敗しても、何も起きないだろう。
map_0854#401	私が苦しみ、毎回お前を許す。
map_0854#402	それが私という男だからだ。
map_0854#403	だがそれでも、お前の怠慢な無能さのせいで周りを引きずり下ろすのはやめてほしいものだ。
map_0854#404	母: ええ、もちろん……
map_0854#405	父: お前は最善を尽くしているのだと、自分に言い聞かせなければな。
map_0854#406	間違いは仕方ない、特にお前の場合は。
map_0854#407	大丈夫だ。
map_0854#408	だがもう何か作り始めてくれないか？
map_0854#409	腹が減っているんだ。
map_0854#410	何も聞こえなかった。
map_0854#411	何も問題ない。
map_0854#412	リジーを助ける方法を見つけないと……
map_0854#413	シグムンド: 図書館で借りたこの本、電気療法の理論について書いてある。
map_0854#414	少しやってみて、宿題のためだって言えばいいか……
map_0854#415	エリザベス: シギー……？
map_0854#416	エリザベス: ねえ、シギー！
map_0854#417	母: おかえりなさい。
map_0854#418	今日もまっすぐ部屋に行きなさい。
map_0854#419	もうこれ以上騒ぎは起こさせないから。
map_0854#420	母: お医者様に長く引き止められてしまって……
map_0854#421	もっと早く始めておけばよかった。
map_0854#422	何か手早く作れるものは……
map_0854#423	あの人に不機嫌になってほしくないの……
map_0854#424	ピーピ！
map_0854#425	？？？: おっと、失礼。
map_0854#426	チリーン: チィー！
map_0854#427	父: ドクター、あなたは彼女を治すために雇われているんですよ。
map_0854#428	なのに悪くなっている。
map_0854#429	ドクター: ある程度の副作用は避けられないものです、もちろん……
map_0854#430	しかしお約束します。私たちは娘さんの幸福のために、あらゆる手を尽くしていますし、これからも尽くし続けます。
map_0854#431	ただ……
map_0854#432	彼女と話していて感じるのですが、直接的な治療よりも、もっと前向きで健全な環境の方が、彼女には効果があるのではないかと……
map_0854#433	父: その話は前にも聞いた。
map_0854#434	だからこそ、わざわざこんな辺鄙な場所まで越してきたんだ――
map_0854#435	一体どこへ行けばいいと言うんだ？ どこまで行けば「健全」なんだ？
map_0854#436	ドクター: い、いえ、違います。地元の気候の話ではありません。
map_0854#437	家庭環境の話です。
map_0854#438	父: 何が言いたいんだ、ドクター？
map_0854#439	これが私たちのせいだとでも言うつもりか？
map_0854#440	あの子はあなたにどんな嘘をついたんだ？
map_0854#441	ドクター: 責めるつもりはありません、ですが、
map_0854#442	私たちの治療とは別に、もう少し前向きな支えと気遣いがあれば、彼女の気分の改善に役立つのではないかと申し上げているのです。
map_0854#443	父: もういい。
map_0854#444	自分の家で――ただでさえ根こそぎ移り住んだこの家で――どう振る舞うべきかお前に教えられる筋合いはない！
map_0854#445	お前はあの子を治すために雇われているんだ、ドクター。
map_0854#446	私ではない。
map_0854#447	仕事を続けたいなら、言い訳や責任転嫁はやめて、解決策を出すことだな。
map_0854#448	薬でも療法でも電気けいれん療法でも――何だっていい！
map_0854#449	娘の助けになるなら、やってくれ。
map_0854#450	ドクター: せ、先生、電気けいれん療法は倫理上の懸念から一般的に禁止されて――
map_0854#451	父: ドクター。
map_0854#452	あなたのような立場の人間が、治療を成功させるより、患者を長引かせる方が得をするというのは、私にもわかっているんですよ。
map_0854#453	もしかしてあなたには、エリザベスを本当に治す気などないのでは？
map_0854#454	ドクター: それは絶対に違います、ですが――
map_0854#455	父: 絶対に？
map_0854#456	それは明らかなのか？
map_0854#457	私にはそうは見えないがね。
map_0854#458	私に見えるのは、山ほどの言い訳と失敗、そして自分の利益のために私たち家族を操ろうとする姿だ。
map_0854#459	出て行ってくれ、ドクター。
map_0854#460	もうあなたのサービスは必要ない。
map_0854#461	ドクター: 私は――
map_0854#463	父: シグムンド。
map_0854#464	シグムンド: ご、ごめんなさい、聞こえてしまって、ただ……
map_0854#465	父: 突っ立って口をぽかんと開けている以外にやることはないのか？
map_0854#466	私たちは必死でお前の姉を治そうとしているんだぞ。
map_0854#467	床に落ちた顎を拾って、少しは役に立て。
map_0854#468	シグムンド: あの、その……電気けいれんとか言ってたやつ？
map_0854#469	それはリジーの助けになるの？
map_0854#470	父: 私に分かるわけがないだろう。
map_0854#471	私は仲買人だ、医者じゃない。
map_0854#472	そしてあのろくでなしのインチキ野郎は、エリザベスを本当によくするための行動を取るには、あまりに臆病で不誠実すぎる。
map_0854#473	さあ、出て行け！ 今夜はもう十分時間を無駄にした。
map_0854#474	やるべき仕事が山ほどあるんだ。
map_0854#475	お前だって自分の勉強があるだろう？
map_0854#476	行け！
map_0854#477	シグムンド: さて、じいさん、ついに逝ったか……
map_0854#478	だがお前の遺志がどうであれ、こんな物件を持っていても意味がない。
map_0854#479	この家には苦い記憶しかない。
map_0854#480	世界が初めて僕に背を向けたときの記憶……
map_0854#481	僕は彼女を救えたはずだった。
map_0854#482	きっと救えた――
map_0854#483	だがだめだ。
map_0854#484	僕は未来に集中し続けなければならない。
map_0854#485	自分の家を始めるには、この不動産の価値だけあれば十分……
map_0854#486	あいつのような人間から離れて、子どもたちが行ける場所……
map_0854#487	統制された、安全な環境。
map_0854#488	もうリジーのような子は出さない……
map_0854#489	僕が救えるから。
map_0854#490	シグムンド: ふむ、これは何だ？
map_0854#491	リボーンシティの新興企業向けの安い土地？
map_0854#492	……しかも、けっこう最近のものだ。
