map_0698#18	赤ん坊から　キャンディを　奪うようなもの。
map_0698#19	墓から　花を　奪うようなもの。
map_0698#20	頼りに　してるわね。
map_0698#21	鍵が　かかっている。
map_0698#22	底の方に　かすかな光が　見える。
map_0698#23	飛び降りますか?
map_0698#24	いいでしょう?
map_0698#25	リン: 油断しないようにって　言ったはずですけど?
map_0698#26	リン: おやすみなさい　騎士さん。
map_0698#27	アドリエンヌ: こんにちは\PN!
map_0698#28	ティタニアのジムまで　たどり着いたのね。ほっとしたわ。
map_0698#29	前に　彼女についての資料に　目を　通したの。あそこには　彼女なりの　間に合わせの世界が　あるのよね?
map_0698#30	きっと　彼女の物語に　沿って　作られてるだけなんでしょうけど　それでも　美しい話に　聞こえるわ。
map_0698#31	いつか　わたしも　この目で　見てみたいけど　今は　彼女のバトルスタイルを　確認しましょう。
map_0698#32	もう　知ってると思うけど　彼女は　ギルガルドに　大きく頼ってるわ。
map_0698#33	彼女の　おとぎ話フィールドでは　バトルスイッチの　特性が　普段より　さらに　強くなるの。
map_0698#34	彼女のチーム全体も　似た戦い方で　守りの構えから　攻めへと　切り替えてくるわ。
map_0698#35	彼女の準備を　先手で　崩せれば　勝機は　高くなるけど　タイプ相性上の　もともとの耐久力が　それを　難しくしてる。
map_0698#36	それか　あなた自身の攻撃で　正面から　ぶつかっていく方が　うまくいくかも　しれないわ。
map_0698#37	きっと　何か　いい方法を　見つけられるはずよ。
map_0698#38	だって　あなたは　未来の　リボーンチャンピオンなんだから!
map_0698#39	わたし　もう　行かなきゃ。頑張ってね\PN!
map_0698#40	グランドホールでは　誰も　電話に　出ないようだ……
map_0698#41	はい
map_0698#42	いいえ
map_0699#0	彼女は　塔の中で　目を　覚ます
map_0699#1	石の
map_0699#2	冷たい
map_0699#3	たった一人で。
map_0700#0	\PNは　フィールド効果解説書32を　手に入れた!
map_0700#1	ドラゴンの巣の　情報が　閲覧できるようになった!
map_0700#2	\PN!
map_0700#3	こっちよ!
map_0700#4	タカ: 会えて　本当に　よかった。僕――
map_0700#5	気づいたら　ここに　いて　それで　リンが――
map_0700#6	すみません\PN。
map_0700#7	本当に　すみません――
map_0700#8	彼女に　こんなこと――
map_0700#9	タカ: こんなこと　望んでなかった。
map_0700#10	こんなこと　望んでなかったのに……
map_0700#11	お願い　信じてください……
map_0700#12	僕は――
map_0700#13	あなたのところへ　行く方法を　探します。
map_0700#14	僕――　下に　降りる方法を　見つけます。
map_0700#15	少しだけ　待っていてください。
map_0700#16	お願いです……
map_0700#17	ティタニア: やっと　来たか。
map_0700#18	ティタニア: あんたのことは　覚悟してた。
map_0700#19	でも　こんな　害虫まで　引きずり込む必要　あったのか?
map_0700#20	だが　リンが　絡んでるとなると　話は　別だ。
map_0700#21	聞け　計画が　ある。
map_0700#22	あたしを　信じるか?
map_0700#23	ティタニア: あたしが　やってきたこと　全部　知った上でか?
map_0700#24	あんたは　バカか　聖人か　どっちかだな。
map_0700#25	どっちが　マシなのか　わからねぇが。
map_0700#26	本気かよ?
map_0700#28	いや――　忘れてくれ。
map_0700#30	ティタニア: 信じない方が　賢明だ。
map_0700#31	少なくとも　それは　わかってるみたいだな。
map_0700#32	だが　今回だけは　あたしの言うことを　聞け。
map_0700#33	ティタニア: 残念だったな。
map_0700#34	今回だけは　あたしの言うことを　聞け。
map_0700#35	ティタニア: ほら　これを　持ってろ。
map_0700#36	ティタニア: すぐに　終わる。
map_0700#37	はい
map_0700#38	いいえ
map_0701#0	竜が　彼女を　守り　その牙を　世界に　むき出しにする
map_0701#1	その硫黄の吐息は　自分の哀れな肉体は　炎にすら　焼かれないほど　強いと　思い込む　鎧をまとった　愚か者のために　忠実に　取っておかれている。
map_0701#2	だが　実のところ　その獣を　討てる者が　一人だけ　いる:
map_0701#3	その背中を　向けられた者だ。
map_0701#4	ドラゴン: ラアアアアグゥ……
map_0701#5	ドラゴン: クルオオオォォ……
map_0701#6	リン: なるほど　彼女は　あなたに　ブレスレットを　快く　渡したのですね。
map_0701#7	私にも　同じように　してくれませんか?
map_0701#8	それとも　本気で　私に　立ち向かえると　思っているのですか?
map_0701#9	あなたの大切なチャンピオンに　あんなことが　起きた後でも?
map_0701#10	ティタニア: これで　終わりだ。
map_0701#11	ハハ……
map_0701#12	アハハハ!
map_0701#13	たったこれだけで　済んだのか。
map_0701#14	誰かが　もっと前に　やっとくべきだったな。
map_0701#15	ティタニア: あたしたちの世界は　全部　お前のせいで　めちゃくちゃに　なった。
map_0701#16	ティタニア: 死ね。
map_0701#17	ティタニア: これで　やっと　安心して　いられる。
map_0701#18	彼女の注意を　引くために　必要だったのは　あんたが　あのブレスレットを　持ってることだけだった。
map_0701#19	でも　もう　持ってて　いいぞ。
map_0701#20	どうせ　もう　どうでも　いいことだしな。
map_0701#21	ティタニア: いやあ　気分が　いいな。
map_0701#22	祝いに　ジムバトルでも　やるか?
map_0701#23	待ってるぜ。
map_0701#24	ティタニア: 待て　何だと?
map_0701#25	リン: よくやりました。
map_0701#26	リン: そんなふうに　それを　振り回し続けていたら　いずれ　誰かが　怪我をしますよ。
map_0701#27	ティタニア: ああ　お前がな!
map_0701#28	リン: たったそれだけで　済んだのですね
map_0701#29	ん?
map_0701#30	ティタニア: 痛っ――　おい　放せ!
map_0701#31	リン: 本当に　それを　望んでいるのですか?
map_0701#32	放して　いいのですか?
map_0701#33	ティタニア: うぐ……
map_0701#34	リン: あと一歩でも　近づけば　彼女は　灰になりますよ\PN。
map_0701#35	リン: さて
map_0701#36	これが　あなたの弱さと　いうものですか?
map_0701#37	相手の背中を　向けている隙に　一撃を　放つ――
map_0701#38	それが　あなたに　できる　精一杯なのですか?
map_0701#39	それなのに　今度は　誰の背中が　さらされているか　見てごらんなさい。
map_0701#40	ティタニア: んぐ……
map_0701#41	お前の　番だ!
map_0701#42	ギルガルド!
map_0701#43	ティタニア: \PN!
map_0701#44	ティタニア: この世の　すべての善のために
map_0701#45	とっとと　くたばれ。
map_0701#46	ティタニア: あのガキ　一体　何を　やってたんだ?
map_0701#47	邪魔なんて　するべきじゃ　なかったのに……
map_0701#48	そもそも　こうなったのは　あの女の　せいだ。
map_0701#49	ティタニア: 最悪な気分だ。
map_0701#50	ティタニア: 行くぞ\PN。
map_0701#51	行こう。
map_0701#52	反応が　ない。
map_0701#53	タカ: \PN……?
map_0701#55	心配しないで……
map_0701#56	これは――
map_0701#57	これで　いいんです……
map_0701#58	もう　反応が　ない……
map_0701#59	ティタニア: あれは　一体　何だったんだ?
map_0701#60	空っぽの鎧だったのか?
map_0701#61	たぶん　ただの　目くらましだ。
map_0701#62	ティタニア: それで　あの女に　得が　あったとはな。
map_0701#63	反応が　ない……
map_0701#64	はい
map_0701#65	いいえ
map_0702#0	こうして　その死の後　彼女は　泣かねば　ならない
map_0702#1	そのような生き物と　対峙するのは　恐ろしい試みなのだから
map_0702#2	人間よ
map_0702#3	そして　そんな　大切な友を　失い
map_0702#4	竜という友を
map_0702#5	そして　ついには　また別の一人を　見つけなければ　ならない
map_0702#6	彼女を　喜んで　閉じ込めてくれる誰かを
map_0702#7	そして　歴史や　真実の愛といった　毒から　彼女を　守ってくれる誰かを。
map_0702#8	結局のところ「その後　いつまでも　幸せに」とは　作者が　気にするのを　やめただけの　ことなのだ。
map_0702#9	ティタニア: また　来たのか?
map_0702#10	ティタニア: ようこそ
map_0702#11	自由な世界へ。
map_0702#12	バトルの準備が　できてるなら　さっさと　台に　立て。
map_0702#13	ティタニア: そのうち　わかるだろう　これは　あんたが　勝てるバトルじゃ　ないってことがな
map_0702#14	はっきり　言っておく。
map_0702#15	だから　自分のために　言っとくが:
map_0702#16	橋でも　架けて　さっさと　乗り越えるんだな。
map_0702#17	ティタニア: これは　ごうきんバッジと　サファイアのブレスレットを　賭けた　6対6の　シングルバトルだ。
map_0702#18	だったら　今のうちに　それを　あたしに　渡しちまえよ。
map_0702#19	あれだけのことが　あった後で　負けるわけには　いかない
