map_0794#125	貴様に三つ、質問がある。答えてくれるだけの慈悲があるならばだが。
map_0794#126	それが済めば、私は安らかに逝こう。
map_0794#127	ソラリス: その沈黙、暗黙の了承と受け取っておこう。
map_0794#128	一つ目の質問だ…
map_0794#129	貴様が初めて我々のチームに加わった時、すでにこうなることを計画していたのか?
map_0794#130	それとも、これは単なる日和見の結果に過ぎないのか?
map_0794#131	リン: よく練られた計画が実を結ぶことより良いものがあるとすれば、
map_0794#132	それは、よく練られた計画が衝動の手によって解けていくこと。
map_0794#133	ソラリス: なるほど。
map_0794#134	二つ目の質問だ。
map_0794#135	貴様の目的は理解している。
map_0794#136	他者を操るために約束した嘘を現実のものとし、新世界を作り出す、というものだろう。
map_0794#137	だが、貴様が作ろうとしているのは、一体どんな世界だ?
map_0794#138	リン: 希望が存在しうる、唯一の世界。
map_0794#139	リン: 作る価値のある、唯一の世界。
map_0794#140	何もかもが起こりうる世界、
map_0794#141	それが一度にすべてであろうと、何一つなかろうと。
map_0794#142	ソラリス: ふむ。
map_0794#143	三つ目の質問だ…
map_0794#144	リン: 三つ答えるとは言っていない。
map_0794#145	ヴィクトリア: わたしがあんな態度取ってたのに、ここまで来てくれてありがとう。
map_0794#146	キャル: 許しは俺たちのカリキュラムの定番だったからな。
map_0794#147	それがなかったら、今の俺はいなかったよ。
map_0794#148	ヴィクトリア: う、うん…
map_0794#150	本当にキキのチャーレムを助けたんだね。
map_0794#151	キャル: ああ。
map_0794#152	また会いに行くか?
map_0794#153	ヴィクトリア: 今はいい。
map_0794#154	アポフィルに戻ってから…にしよう。
map_0794#155	一緒に来てくれるよね?
map_0794#156	あそこの仕事とリボーンシティの仕事、両方で手伝ってほしいの。
map_0794#157	キャル: これが全部終わったら…
map_0794#158	ああ、それならできるよ。
map_0794#159	でも、その前にまだやらなきゃいけないことがある。
map_0794#160	ヴィクトリア: あ…
map_0794#161	それでいいよ。
map_0794#162	戻ってきたら、その時にね。
map_0794#163	長い時間が経ったよね…
map_0794#164	キャル: そうだな。
map_0794#165	ヴィクトリア: あの…
map_0794#166	これ――
map_0794#167	ずっと怒ってたのに、こんなこと言うのって変かもしれないけど…
map_0794#168	あの、あの頃わたし…
map_0794#169	本当にあなたのことが好きだった。
map_0794#170	もしよかったら…
map_0794#171	落ち着いたら、もしかして…
map_0794#172	その…付き合ったりとか、できないかな?
map_0794#173	キャル: え。
map_0794#174	あー…
map_0794#175	これは…ちょっと気まずいな。
map_0794#176	俺、その…
map_0794#177	実は…その…
map_0794#178	…女の子には興味がなくて?
map_0794#179	ヴィクトリア: …あ!
map_0794#180	あ。
map_0794#181	あ――そっか。
map_0794#182	そう、じゃあ!
map_0794#183	ここからアポフィルまで長旅だし、そろそろ出発しようかな!
map_0794#184	その、いつかまた会えるといいね!
map_0794#185	またね!
map_0794#186	後で彼女に連絡しておこう。
map_0794#187	今は…
map_0794#188	戻って彼を探しに行くとしよう。
map_0794#189	ペラップ: ペラッ、ペラッ――『\PNを助けろ!』
map_0794#190	…ペラップ!
map_0794#191	ペラップは一緒に来ることにした!
map_0794#192	大事なのは、自分が使ってて楽しいポケモンを選ぶことだけだ。
map_0794#193	勝つにせよ負けるにせよ、大事なのはその強みをどう活かすかだ。
map_0795#0	「サイズ:」
map_0795#1	「極小」
map_0795#2	「小」
map_0795#3	「中」
map_0795#4	「大」
map_0795#5	「硬度:」
map_0795#6	「5」
map_0795#7	「6」
map_0795#8	「7」
map_0795#9	「8」
map_0795#10	「純度:」
map_0795#11	「不純」
map_0795#12	「中程度」
map_0795#13	「純粋」
map_0795#14	「完璧」
map_0795#15	「片理:」
map_0795#16	「不明瞭」
map_0795#17	「困難」
map_0795#18	「完全」
map_0795#19	「顕著」
map_0795#20	「光沢:」
map_0795#21	「絹糸状」
map_0795#22	「ガラス状」
map_0795#23	「真珠状」
map_0795#24	「金剛状」
map_0795#25	「晶癖:」
map_0795#26	「立方状」
map_0795#27	「六角状」
map_0795#28	「板状」
map_0795#29	「鶏冠状」
map_0795#30	ラドマス: これはこれは。
map_0795#31	ずいぶんな有様じゃないか。
map_0795#32	あの若造が私をここに置いて、先に進む道を探しに行ってしまってね、それでこうなったわけだ。
map_0795#33	君はもうこの手の仕掛けに慣れているだろうし、私もこれについてはしっかり理解できたと思う。
map_0795#34	早速取りかかろうか?
map_0795#35	だが言わせてもらうと…このデータを見る限り…
map_0795#36	これを設計した者は、真性のサディストか、よほどのユーモアの持ち主に違いない。
map_0795#37	どちらなのかは、永遠にわからないだろうな。
map_0795#38	ラドマス: どう動く?
map_0795#39	ラドマス: よろしい。これは少々複雑になりそうだ…
map_0795#40	ラドマス: 史上最も非効率的なデータシステムに賞があるとすれば、間違いなくこれが受賞していただろう。
map_0795#41	ラドマス: 試してみようか。よろしい。
map_0795#43	ラドマス: ふむ。
map_0795#44	そら、これだ。
map_0795#45	相変わらず見事だ。
map_0795#46	ハーディがどこを探検しているにせよ、連れ戻して先に進むとしよう。
map_0795#47	ラドマス: どうやら、それは違ったようだな。
map_0795#48	こちらで少し試してみるので、しばし待ってくれ…
map_0795#49	ラドマス: これだ。
map_0795#50	これほど恣意的なシステムに対して、自分を責めても仕方がない。
map_0795#51	ああ、だが自分でも少しずつわかってきた気がする。
map_0795#52	もう一度試してくれ。私もやり方を完成させるのにもう少し時間をくれ。
map_0795#53	必要な推論をきちんと導き出せるようになるまで、これはずっと難しいままだろう。
map_0795#54	この手がかりを例に取ろう:
map_0795#55	5. 「小」の宝石の硬度はアメジストの硬度より低く、アメジストの硬度は「純粋」な宝石の硬度より低い。
map_0795#56	一見具体的な情報を与えてくれないように見えるかもしれないが、実際はそうではない。
map_0795#57	「小」の宝石がアメジストより柔らかいなら、アメジストは「小」ではないとわかる。
map_0795#58	逆に、アメジストは「純粋」ではなく、さらに「小」の宝石も「純粋」ではないともわかる。
map_0795#59	これでいくつかの可能性を除外できる――もちろん、これは手がかりの一つに過ぎないが。
map_0795#60	似たようなものが八つあれば、除外された可能性を推論していくことで、答えは一つに絞られると信じている。
map_0795#61	だが、何らかの形で目に見えるように書き記さなければ、想像するのは難しいだろう。
map_0795#62	まさか、それができずにここまで来たわけではあるまい?
map_0795#63	このシステムはなかなか不運なものだな。
map_0795#64	ラドマス: 説明を?
map_0795#65	この入り組んだ仕掛けを作った者が、こんなものまで用意していたとは、ほとんど奇跡だな。
map_0795#66	利用可能なデータセットを、パズルの「手がかり」だと思って読めばいい。
map_0795#67	論理と推理の力を使い、おそらく紙に大量の枠を描きながら、4つの結晶それぞれが持つすべての性質を突き止めるのだ。
map_0795#68	その性質がわかったら、右手にある色付きブロックを、その性質を表示する画面に合わせて動かし、データとしてシステムに入力する。
map_0795#69	たとえば、晶癖が「鶏冠状」のルビーなら、赤いブロックを「鶏冠状」と書かれた画面の前に動かす必要がある。
map_0795#70	退屈で無意味な作業だが、まあ、この世のすべてがそうではないか?
map_0795#71	「完了」
map_0795#72	そこの君!
map_0795#73	顔を上げて、胸を張れ!
map_0795#74	すべてを失ったように思えて、行き止まりに立たされた時、絶対に諦めるな、戦い続けろと、自分に言い聞かせてほしい。
map_0795#75	このファイルでチャンピオンロードの宝石ロジックをスキップする?
map_0795#76	別のセーブファイルでチャンピオンロードの宝石ロジックのクリアが確認された。
map_0795#77	手がかりを見る
map_0795#78	解答を確認する
map_0795#79	説明を見直す
map_0795#80	はい
map_0795#81	いいえ
map_0796#0	フロリニア: こんにちは。
map_0796#1	前述のラブラドラ大会参加者を解放する計画は、無事完了しました。
map_0796#2	第2回戦以降で敗退した参加者は全員、現在地に向けて北へと誘導されました。
map_0796#3	第1回戦で敗退した参加者は、地理的・人数的な都合により南へと誘導されました。
map_0796#4	残るは、当初の手順であるチームメテオの排除です。
map_0796#5	その目的のため、この者は可能な限りの支援を行うためにここにいます。
map_0796#6	例:
map_0796#7	リモートPC機能の試作品を回収済みです。要求があれば使用可能です。
map_0796#8	追加の例:
map_0796#9	フロリニア: この部屋にある装置には、判読可能な説明書がありません。
map_0796#10	しかしながら、この話者はそれに関するいくつかの報告書に精通しています。
map_0796#11	伝えられるところによると、これは組み合わせとフィードバックの両方の機能を持つ装置であり、先へ進む道を確保するものです。
map_0796#12	実に、これはチャンピオンロード最後の障害です。
map_0796#13	組み合わせを入力するには、いくつかの結晶体が必要で、それはこの洞窟系の残りの部分で見つかる可能性が高いです。
map_0796#14	提案する手順:
map_0796#15	1) この洞窟系の他の場所から、最大12個の「クリスタルスター」アイテムを集める。
map_0796#16	2) 必要な組み合わせを導き出す方法について、この者に詳細な報告を求める。
map_0796#17	3) 前述のフィードバックシステムと、この話者が確立した原則を用いて、
map_0796#18	試行と調整を繰り返すことで、可能な組み合わせの数を1つに絞り込む。
map_0796#19	この話者はこの目的のため、指定された区域に留まります。
map_0796#20	さらに、前述のクリスタルスターにアクセスできるようにするため…
map_0796#21	フロリニア: いくつかの追加の通路が、現在開いているはずです。
map_0796#22	各スターと通路は、確立された伝統的な色の組み合わせのいずれかに対応しています。
map_0796#23	アイテムの所在地は、それに応じた環境にあるはずです。
map_0796#24	この説明で、何か理解は得られましたか?
map_0796#25	フロリニア: はい?
map_0796#26	フロリニア: このリモートPCは、ラブラドラ闘技場の誰かが置き忘れたもののようです。
map_0796#27	電源は不完全ですが、暫定的な調整は済ませました。
map_0796#28	周辺の技術を使えば電力供給は可能なはずですが、現時点では持ち運ぶことはできません。
