map_0102#5	どくけし、持ってないか?
map_0102#6	病人のために、一つ分けてもらえたりしないか?
map_0102#7	\PNはどくけしを渡した。
map_0102#8	うわぁ……
map_0102#9	何て言えばいいか……
map_0102#10	「ありがとう」以外に言葉がないな。でも、大したものは返せないんだ。
map_0102#11	ああ――そうだ、いいことを教えてやろう。
map_0102#12	「どくけし」だ。
map_0102#13	今度誰かに合言葉を聞かれたら、「どくけし」って言うといい。
map_0102#14	そうすりゃ、歩いてる間にパーティが毒のダメージを受けなくなるんだ。
map_0102#15	俺を反面教師にしとけ、坊主。こんな目に遭いたくないだろ。
map_0102#16	でも親切には感謝するよ。少し経てばすぐに元気になるさ。
map_0102#17	自分の身は自分で守れ、ってやつだよな……わかるよ……
map_0102#18	気にすんな、どうせタダのものに期待するもんじゃないって、いい勉強になったし……
map_0102#19	俺なら……大丈夫だ……
map_0102#20	はい
map_0102#21	いいえ
map_0104#0	娘の誕生日に、姿を変える面白いポケモンをあげたんだ!
map_0104#1	どうして気に入らないのか、さっぱりわからないよ。
map_0104#2	水と大気のスモッグが晴れてから、街全体で気温が下がってきているんだ。
map_0104#3	最近まで、冬だろうがなんだろうが、この街で雪が降ったことなんて思い出せなかったのに!
map_0104#4	もう! お父さんったら本当にイライラする!
map_0104#5	誕生日にポケモンをくれたのはすごく嬉しいけど……可愛いのがいいってちゃんと言ったのに!
map_0104#6	このテーブルクロスみたいなヤツ、全然可愛くない! 腹が立つ! しかも家の中で雨まで降らせるし!
map_0104#7	はぁ……欲しかったのは、そうね、ミミロルとか……いや、それよりオオタチの方がよかった! あの子たち、すごく可愛いのに!
map_0104#8	ねえ、あなたのこと知らないし、なんか変な人みたいにわたしの愚痴を突っ立って聞いてるだけなのは分かってるけど……
map_0104#9	でも、もしオオタチ持ってるなら、交換しない?
map_0104#10	そうよね、誰もわたしに可愛いポケモンなんてくれないもんね。
map_0104#11	うそ、そのオオタチめちゃくちゃ可愛い! 今すぐ交換しましょ!
map_0104#12	\PNはオオタチとポワルンを交換した!
map_0104#13	こっちの方がずーっと可愛い! 本当にありがとう!
map_0104#14	このオオタチ、最高! ありがとう!
map_0104#15	はい
map_0104#16	いいえ
map_0106#0	うちの主人が、あなたを探していましたよ。
map_0106#1	わたしは預かり屋のおばさんです。
map_0106#2	ポケモンを預かって育てて差し上げますよ。
map_0106#3	一匹、預けてみますか?
map_0106#4	あら? でも、ポケモンが一匹しかいませんね。
map_0106#5	また今度、いらしてくださいね。
map_0106#6	どのポケモンを預かりましょうか?
map_0106#7	わかりました。またお越しくださいね。
map_0106#8	申し訳ありませんが、そのポケモンは実はたまごなんですよ。
map_0106#9	そのポケモンを預けてしまったら、何でバトルするんですか?
map_0106#10	わかりました。しばらく\v[3]をお預かりしますね。
map_0106#11	また後で取りに来てくださいね。
map_0106#12	ポケモンは二匹まで預かれますよ。もう一匹、預けますか?
map_0106#13	あら、お会いできて嬉しいわ! あなたのポケモン、絶好調のはずですよ!
map_0106#14	\v[3]のレベルが\v[17]上がりました。
map_0106#15	あら? \v[3]が預かっている間に\v[4]を覚えたみたいですよ。
map_0106#16	ポケモンを引き取りますか?
map_0106#17	どちらを引き取りますか?
map_0106#18	\v[17]を引き取るなら、$\v[18]かかりますよ。
map_0106#19	お金が足りないみたいですね……
map_0106#20	はい、どうぞ。ポケモンをお返ししますね。
map_0106#21	\PNは預かり屋のおばさんから\v[17]を引き取った。
map_0106#22	もう一匹の方も引き取りますか?
map_0106#23	こんにちは。わたしは預かり屋のおばさんです。
map_0106#24	ポケモンを預かって育てて差し上げます。わたしたちに任せてくだされば、想像もしないくらい強くなりますよ。
map_0106#25	あら! あなたは……
map_0106#26	いえ、何でもないわ。えっと、実は今日はお休みなんです。ごめんなさいね。
map_0106#27	悪いけど、もう帰ってちょうだい。また別の日にでも……いえ、来なくてもいいわ!
map_0106#28	本当に苛立つわね! さっさと出て行きなさい! ここに用なんてないでしょ!
map_0106#29	預かり屋のおばさん: うぐぐ! わかったわよ! こうなったら仕方ないわね!
map_0106#30	預かり屋のおじさん: 我々自らの手で始末してくれる!
map_0106#31	預かり屋のおばさん: これは、攻撃。
map_0106#32	預かり屋のおじさん: だから、衝撃に備えろ。
map_0106#33	預かり屋のおばさん?: この害虫を排除するため!
map_0106#34	預かり屋のおじさん?: 神の国の芸術を取り戻すため!
map_0106#35	預かり屋のおばさん?: 上なる世界を打ち砕くため!
map_0106#36	預かり屋のおじさん?: 真実と愛の裏にあるものを見つけるため!
map_0106#37	預かり屋の夫婦?: メテオ団!
map_0106#38	預かり屋のおばさんではない: 永遠の光と共に鳴り響け!
map_0106#39	預かり屋のおじさんではない: 今すぐ逃げろ、戦おうとするな!
map_0106#40	絶対に預かり屋の夫婦ではない: 正義のために! そうだ!
map_0106#41	げっ、またかよ?!
map_0106#42	ふんっ。
map_0106#43	メテオ団したっぱ: ああ、工場で会ったよな。どうしていつも邪魔してくるんだ?!
map_0106#44	この変装、もう何週間も続けてきたのに……誰も俺たちがオブシディア預かり屋の優しい老夫婦じゃないなんて気づかなかったのに!
map_0106#45	本物はどこにいるかって? 絶対に教えてやらないぞ!
map_0106#46	どこか遠くに閉じ込めてある。お前には絶対わからない! アハハ! たとえわかったところで、助け出せやしない――鍵は別の場所に隠してあるからな!
map_0106#47	だから、無駄なんだよ!
map_0106#48	まあ、お人好しなトレーナーからポケモンを集めるには、なかなかいい方法だったな……だが、うるさい年寄りどもにポケモンを繁殖させ続けさせるわけにもいかないだろ?
map_0106#49	全員、排除しなければならない。
map_0106#50	我々は許さない。
map_0106#51	こんにちは。私は預かり屋のおじさんです。
map_0106#52	ポケモンは妻に預けるといい。
map_0106#53	待てよ、お前は……
map_0106#54	すまないが、今日は閉めなければならないようだ。良い一日を。
map_0106#55	いや、本当に、もう帰った方がいい。
map_0106#56	「出て」の部分がわからないのか、「行け」の部分がわからないのか、どっちだ?
map_0106#57	預かり屋のおじさん: うぐぐ! わかったよ! こうなったら仕方ない!
map_0106#58	我々自らの手で始末してくれる!
map_0106#59	アシスタント: こんにちは!
map_0106#60	今、預かり屋を支援するための募金活動をしているんです!
map_0106#61	ここのご夫婦は、多くのトレーナーから要望のあった素敵な機械を注文したいと考えているんですよ。
map_0106#62	孵卵器みたいなもので、ボタンひとつでたまごを一気に孵化させられる機械なんです!
map_0106#63	\Gでも、それを買うにはまだ$ \v[770]必要なんです。
map_0106#64	少し寄付していただけませんか?
map_0106#65	アシスタント: 素晴らしい! いくら寄付してくださいますか?
map_0106#66	係員: ああ、それでついに目標達成です!
map_0106#67	すぐに注文しますね。
map_0106#68	下がってて。配達の速さ、信じられないくらいですから。
map_0106#69	本当にありがとうございました!
map_0106#70	アシスタント: 検討してくださってありがとうございます!
map_0106#71	アシスタント: なんて気前のいい申し出でしょう! みんなのために協力してくれてありがとうございます!
map_0106#72	アシスタント: まあ、気にかけてくれるのは嬉しいですけど、そんなにお金持ってないじゃないですか!
map_0106#73	いつか、きっと!
map_0106#74	孵卵器は温まっていて、今にも動き出しそうだ。
map_0106#75	どうしますか?
map_0106#76	手持ちのたまごが、孵化を早められた!
map_0106#77	あら、あなたね!
map_0106#78	あなたのポケモンを預かっていたんだけど、まあ、本当に驚いたわよ!
map_0106#79	あなたのポケモンが、たまごを持っていたの!
map_0106#80	どうしてそこにあったのかはわからないけど、あなたのポケモンが持っていたのよ。
map_0106#81	欲しいわよね?
map_0106#82	\PNは預かり屋のおじさんからたまごを受け取った。
map_0106#83	ちゃんと大事にしてあげてね。
map_0106#84	本当にわたしが持っておくわよ。このたまご、欲しいのよね?
map_0106#85	それじゃあ、わたしが持っておくわね。ありがとう。
map_0106#86	私は預かり屋のおじさんです。
map_0106#87	トレーナーたちの大切なポケモンの世話をしているんですよ。
map_0106#88	育ててほしいポケモンがいれば、妻に預けるといいでしょう。
map_0106#89	ああ、あなたか!\nまた会えて嬉しいよ!
map_0106#90	\v[3]は元気にしていますよ。
map_0106#91	\v[3]と\v[4]は元気にしていますよ。
map_0106#92	二匹は、お互いよりも他のポケモンと遊んでいるみたいで……
map_0106#93	二匹はあまり仲が良くないようですね。
map_0106#94	二匹は仲良くしているようですよ。
map_0106#95	二匹はとても仲良くしているようですね。
map_0106#96	はい
map_0106#97	いいえ
map_0106#98	たまごを待つ
map_0106#99	たまごを孵す
map_0106#100	やめる
map_0107#0	アマリア: 中はずいぶん広く見えるね……
map_0107#1	フロリニア: 内部の遠近感覚が、しばしばそのような効果を生じさせるのである。
map_0107#2	アマリア: そうだね! よくわかんないけど、まあそうだね!
map_0107#3	分かれた方がよさそうだね。あたしはこっちに行くから、みんなはあっちお願い。気をつけてね〜
map_0107#4	フロリニア: ……よろしい。
map_0107#5	フロリニア: 第二の分岐点が現れた。この道は私が担当する。さらばだ。
map_0107#6	は? こんな所で何してんだよ?
map_0107#7	自分の身のためにならないってこと、わかってねえのか……
map_0107#8	足元に気をつけろよ……
map_0107#9	こんな所まで来たのか? お前の仲間は運が悪かったみたいだけどな……
map_0107#10	アハハ……ほんと、可愛いこと。
map_0107#11	さあ、来なさいよ〜 別に怖くなんてないんだから。
map_0107#12	???: ああ、モジャンボ……頑張ってるのね……見て、こんなに美しい森を作ったのよ!
map_0107#13	辛いのはわかってる。でも、ここで止めたら、今までの頑張りが全部無駄になっちゃう……
map_0107#14	???: あ、こんにちは……えっと、わたしの名前はルミ――
map_0107#15	???: 入ってきたのは三人だけ? もっと来ると思ってたのに。
map_0107#16	三人くらいなら、簡単に片付けられるわね。
map_0107#17	???: 一人目はツルで縛って……
map_0107#18	二人目は首から吊るして……
map_0107#19	三人目は先に行かせて、自分たちの手で捕まえましょう。
map_0107#20	???: あの、自己紹介した方が礼儀にかなうと思うんだけど……わたしは――
map_0107#21	???: もう自己紹介は済んだだろ、ルミ……しかも無駄にな! だが私は、ゼロだ。
map_0107#22	???: わたしはイヴ。合わせて、ZELと呼ばれているわ。
map_0107#23	ゼル: PULSEには指一本触れさせないぞ!
map_0107#24	ゼル: でも、それが目当てで来たんでしょ……?
map_0107#25	だって、ここの成長は全部この機械のおかげなんだから……
map_0107#26	イヴが一人で全部作り上げたのよ!
map_0107#27	ゼル: その通り。リンクシステムは、単純な融合・増幅機構である。
map_0107#28	ゼル: この機械があれば、どんな小さな根っこでも、巨大な樹木の破壊球に変えられるんだ!
map_0107#29	止められると思うか? やれるもんならやってみろ!
map_0107#31	ゼル: ゼロ、次からは任務の要を見せびらかすんじゃなくて、自分たちのポケモンで戦うべきだな。
map_0107#32	ゼル: ごめんね、モジャンボ……もっと早く止めるべきだったわ……
map_0107#33	ゼル: 怒鳴るのはやめろ! この機械は強くするためのものだって言ったのはお前だろ!
map_0107#34	ゼル: 判断ミスの原因はお前にある。とはいえ、モジャンボが行動不能になった以上、悪性の成長は今後後退するだろう……
map_0107#35	ゼル: それじゃ……全部、元に戻るってこと……?
map_0107#36	ゼル: その通り。ならばここに残る意味はもうない。モデルを回収し、直ちに撤退せよ。
map_0107#37	ゼル: おい、\PNだったな? ……これで終わりだと思うなよ。
map_0107#38	公園に、たまごが置き去りにされているようだ……
map_0107#39	受け取りますか?
map_0107#40	\PNはたまごを手に入れた!
map_0107#41	たまごを持つ空きがなかった……
map_0107#42	アマリア: ……はぁ! やっと息ができる!
map_0107#43	近づいた瞬間、あのツルに捕まっちゃって……
map_0107#44	ずっと首を絞められてたの。あんまり役に立てなくてごめんね。
map_0107#45	でも\PN、一人で全部片付けちゃったの? すごいじゃない!
map_0107#46	フロリニア: 推測するに、あの者――単一の主体として呼べるのであれば――はメテオ団の工作員であった。
map_0107#47	我々の観測が、彼らの攻勢の全容を構成しているとは考えにくい。
map_0107#48	アマリア: あたしもそう思う! 最近、悪いことばっかり起きてるもんね。
map_0107#49	ジャスパーワードとベリルワードの間や、アズリン湖、グランドビュー駅、それに今回もそう……
map_0107#50	メテオ団は、あたしたちが思ってたよりずっと大きな脅威なのかもしれない。
map_0107#51	これはアメに報告しに行くね。何とか対策を考えられるといいけど。
map_0107#52	\PN、本当に助かったよ! あなたがいなかったら無理だった! じゃあね、リニ!
map_0107#53	フロリニア: よろしい。当面の危機は解決した。
map_0107#54	私はオニキスワードのジムへ戻るとしよう。
map_0107#55	\PN、都合の良いときに来訪することを期待する。
map_0107#56	さらばだ。
map_0107#57	???: 早く着きすぎるって言ったでしょ! この機械をもっと速く動かしてたら……
map_0107#58	???: だめだ! モジャンボがこれ以上耐えられない!
map_0107#59	???: 速度はすでに最適化されている。あのポケモンが二人の女を捕らえられただけ、よしとすべきだ。
map_0107#60	???: こんなに何でもうまくやれるなんて、モジャンボは本当に強いね!
map_0107#61	???: おい! もう一つの問題、いつまで放っておくつもりだ?
map_0107#62	???: あ、こんにちは。えっと、わたしの名前はルミ――
map_0107#63	???: あの、自己紹介した方が礼儀にかなうと思う。わたしは――
map_0107#64	???: もう自己紹介は済んだだろ、ルミ。しかも無駄にな! だが私は、ゼロだ。
map_0107#65	ゼル: でも、それが目当てで来たんでしょ?
map_0107#66	ここの成長は全部この機械のおかげなの。
map_0107#67	イヴが一人で全部作り上げたのよ!
map_0107#68	ゼル: ごめんね、モジャンボ……もっと早く止めるべきだったわ。
map_0107#69	ゼル: 判断ミスの原因はお前にある。とはいえ、モジャンボが行動不能になった以上、悪性の成長は今後後退するだろう。
map_0107#70	ゼル: それじゃ、全部元に戻るの?
map_0107#71	ゼル: おい、\PNだったな?
map_0107#72	これで終わりだと思うなよ。
map_0107#73	はい
map_0107#74	いいえ
map_0109#0	おじいさん: おお、あんた、メテオ団の者じゃないよな?
map_0109#1	おばあさん: わたしたちを助けに来てくれたの?
map_0109#2	やっとだわ!
map_0109#3	おじいさん: わしらはオブシディアワードで預かり屋をやっとるんじゃ。
map_0109#4	メテオ団に連れ去られて、他のトレーナーのポケモンを育てられなくなってしまったんじゃよ。
map_0109#5	預かり屋のおばあさん: わたしたちに成りすまして、トレーナーたちのポケモンを盗むつもりだって言ってたわ!
map_0109#6	預かり屋のおじいさん: 犯人の一人が、盗んだポケモンを別の倉庫に保管するって話してるのを聞いたんじゃ。
map_0109#7	無事に飼い主のもとへ返ってくれるといいんじゃが。
