map_0241#131	今は、ここに来る時、あの子は家で待たせてるんです。
map_0241#132	それに、あの子のために、もう一匹ポケモンの友達も捕まえたんですよ!
map_0241#133	グリムって呼んでる、ヨマワルです。
map_0241#134	きっと、あの子も元気になるはずです!
map_0241#135	古代の言語で書かれている。
map_0241#136	次のように訳されると考えられている:
map_0241#137	「永遠の蛇は、そのフードの上に宇宙のすべての惑星を抱く。
map_0241#138	それがとぐろを解く時、時は進み、創造が起こる。
map_0241#139	それがとぐろを巻き戻す時、宇宙は存在をやめる」
map_0241#140	石に刻まれた「トリリウム・エテルヌス」の描写。
map_0241#141	古代文明の象徴として顕著に用いられていたが、この花が持つ意味は不明である。
map_0241#142	はい
map_0241#143	いいえ
map_0241#144	はねのカセキ
map_0241#145	ふたのカセキ
map_0242#0	おや、こんにちは。私は科学者です。
map_0242#1	化石を、生きて呼吸するポケモンに変えることができるんですよ!
map_0242#2	ああ、また来ましたね!
map_0242#3	化石を復元してほしくなったら、声をかけてください。
map_0242#4	わかりました。\v[3]を復元できるか、やってみましょう。
map_0242#5	また後で来てください。
map_0242#6	ああ、来ましたね! 化石の復元が終わりましたよ。
map_0242#7	思った通り、\v[3]でした!
map_0242#8	空きがありませんね。空きを作ってから、また来てください。
map_0242#9	何とか、化石を復元できました。
map_0242#10	しかし、蘇らせたものは長くは生きられませんでした……
map_0242#11	本当に申し訳ありません。
map_0242#12	言ったでしょう、また後で来てくださいと。これには時間がかかるんです!
map_0242#13	この研究所は、スピネル博物館の収益によって運営されています!
map_0242#14	あなたのような来館者のおかげで、私たちの取り組みが成り立っています。その感謝の印として、サービスは無料でお使いいただけます!
map_0242#15	アイスクリームの自動販売機だ。\nどの味がいいですか?\G
map_0242#16	\G……え、待って、何?
map_0242#17	\Gブルームーンアイスが出てきた!
map_0242#18	\Gバニラアイスが出てきた!
map_0242#19	\Gお金が足りません。
map_0242#20	\Gチョコレートアイスが出てきた!
map_0242#21	\Gバッグに空きがありません。
map_0242#22	\Gストロベリーアイスが出てきた!
map_0242#23	\Gバニプッチが出てきた!
map_0242#24	バニプッチのための空きがなかった……
map_0242#25	\Gベリーアイスが出てきた!
map_0242#26	やあ、旅の人! 僕のむしポケモンコレクションを見に来たのかい?
map_0242#27	違う? 残念だな。
map_0242#28	かなりすごいんだよ、間違いなく!
map_0242#29	ジムリーダー、セラの息子だって、個人的に羨ましがってるくらいなんだ!
map_0242#30	もちろん、ベネットとは大の親友さ。
map_0242#31	彼のむしタイプに関するノートを、いつも写――いや、勉強させてもらってるんだ。
map_0242#32	ところで、カブルモかチョボマキ、持ってる?
map_0242#33	どっちもたくさん持ってるんだけど、進化には交換が必要でさ、当然自分自身とは交換できないだろ。
map_0242#34	どっちか持ってるなら、君を通してその進化系を手に入れたいんだ。
map_0242#35	残念だけど、それはちょっと違うな。
map_0242#36	やってくれるの? やった!
map_0242#37	\PNはカブルモとチョボマキを交換した!
map_0242#38	へへ、コレクションがまた一匹増えたぞ。
map_0242#39	\PNはチョボマキとカブルモを交換した!
