map_0026#215	言った通り、あなたは……
map_0026#216	ああ――
map_0026#217	ヴィクトリア: ……先生?
map_0026#218	キキ: すまない、少し放心していたようだ。
map_0026#219	わたしは至って元気だ。
map_0026#220	キキ: 何の話をしていたか。
map_0026#221	ああ、そうだ――卒業についてだ。
map_0026#222	最終試験は、わたしが執り行う。
map_0026#223	ヴィクトリア: 先生が、ですか?
map_0026#224	そんな必要はないはずです――
map_0026#225	どうか、わたしを信じてほしい。
map_0026#226	意志の力は、筋肉のようなものだ。
map_0026#227	わたしのものも、強く保たねばならない。
map_0026#228	全力で戦ってこそ、内なる混沌に真に打ち勝つことができる。
map_0026#229	どうか、そうさせてほしい。
map_0026#230	キキ: 卒業試験は、6対6のシングルポケモンバトルという形を取る。
map_0026#231	伝統に則り、そしてアカデミー長としての責務として、わたしがこれを執り行う。
map_0026#232	ヴィクトリア、これはあなたにとって貴重な見学の機会になるはずだ。
map_0026#233	キキ: 準備ができたら、中庭でわたしに声をかけるといい、\PN。
map_0026#234	ヴィクトリア: いつから、みんなに嘘をつくことが意志の力になったんですか?
map_0026#235	ヴィクトリア: ……\PN、秘密を守れますか?
map_0026#236	ヴィクトリア: 先生は、死にかけているんです。
map_0026#237	治療法はないそうです。
map_0026#238	わたしがここに戻ってきてから、先生はずっと、わたしを後継者として鍛えてきました。
map_0026#239	そして、それを知っているのは、わたしだけです。
map_0026#240	今この瞬間も、先生は自分を追い込みすぎています。
map_0026#241	誰の言葉も聞かず、誰にも話さず、手を抜こうともしない……
map_0026#242	まさか、静かに姿を消せば誰も気づかないとでも思っているんでしょうか?
map_0026#243	先生の後を、わたしが完璧に継げるとでも、本気で思っているんでしょうか?
map_0026#244	こんなの……不公平です。
map_0026#245	ヴィクトリア: ……もう、いいです。
map_0026#246	ヴィクトリア: でも、公平なことなんて、そもそも何もないんでしょうね。
map_0026#247	マーシャドー: マーッシャ!
map_0026#248	はい
map_0026#249	いいえ
map_0029#0	だいぶ強くなったな、トレーナー。そのバッジにふさわしいか見せてもらおうか!
map_0029#1	な、なに?! わ、わたしが負けた?! そんな……どうして?!
map_0029#2	きっと、何か大きな間違いをしたんだわ……
map_0029#3	ヴィクトリア: あ、もう追いついたんですね。
map_0029#4	手伝いに行こうとしてたんですけど、こいつが中に入れてくれなくて!
map_0029#5	オフィサー: お客様、この区域には民間人を立ち入らせないよう厳命されておりまして、
map_0029#6	たとえ善意からであっても、です。
map_0029#7	「地獄への道は善意で舗装されている」というやつですね。
map_0029#8	ヴィクトリア: それじゃあ、どうやって事態を解決するつもりなんですか?!
map_0029#9	自分で言ってたじゃないですか、中には困ってる人たちが閉じ込められてるって。それなのに、助けたい人たちを締め出すんですか?
map_0029#10	フロリニア: 状況を改善したいという願望と、それを実行する能力とは、まったくの無相関である。
map_0029#11	いかなる状況においても、交絡変数の存在は予測不能性を高め、制御力を低下させる。
map_0029#12	この原則は、オブシディア内部の状況において二重に成立する。事態の初歩的な理解にすら至るには、未知数があまりに多すぎるからだ。
map_0029#13	ガード: いやあ、フロリニア様、お会いできて助かります。
map_0029#14	この二人、何とかしていただけませんか?
map_0029#15	フロリニア: \PNは、犯罪組織の施設摘発において、すでに真正な能力を実証済みである。
map_0029#16	ヴィクトリア: え、そんなことしてたんですか?
map_0029#17	フロリニア: しかし、もう一方の場合においては、追加の人員に立ち入りを許可することの利益が、それに伴うリスクを上回るという証拠は、いまだ提示されていない。
map_0029#18	リスクそのものは、目に見える形ですでに明白であり、未知の要因については言うまでもない。
map_0029#19	極めて不安定で、いまだ制限下にある区域への立ち入りに値するという主張は、何を根拠としているのか?
map_0029#20	ヴィクトリア: 通りたがる人を誰でも彼でも入れられないのは分かります。でも、あそこにはまだ、暮らしてる人たちがいるんです。
map_0029#21	今こうして言い合ってる間にも、あの人たちは誰よりも助けを必要としてます。
map_0029#22	邪魔もしないし、何も台無しにしません。でも、今すぐ手を貸せる相手がたった一人でもいるなら、それは差し伸べる価値があると思います。
map_0029#23	フロリニア: ……
map_0029#24	回答を受理する。
map_0029#25	満点だ。
map_0029#26	この話者の権限において、この二名にオブシディアワードへの通行を許可する。
map_0029#27	異議は?
map_0029#28	ガード: ありません。
map_0029#29	どうぞお進みください。ご武運を。
map_0029#30	ヴィクトリア: ……あ! うまくいきました!
map_0029#31	フロリニア: この話者が状況の詳細を説明するが、実際に見て確かめるほうが理解は早いだろう。
map_0029#32	先へ進むとしよう。
map_0029#33	テクノロジーとは素晴らしいものだ! われらは皆、機械の天国へと昇るのだ!
map_0029#34	俺のマシンを壊しやがって……
map_0029#35	バラバラの部品……だが、全体として見れば魅了される。
map_0029#36	勝負するか? 叩きのめしてやる。
map_0029#37	は? ふん……
map_0029#38	ここの他のトレーナーをぶちのめして、気を晴らしてくる……
map_0029#39	\PNは、パワーアイテムのパッケージを拾った!
map_0029#40	うわ、何でこの辺の連中はこんなに弱いんだ?!
map_0029#41	おお、助かった。ようやく歯ごたえのある相手か。
map_0029#42	俺たちみたいに強い奴がもっといりゃいいのに。ここの連中ときたら、ほとんどが手に入れたばかりのご三家だけだ!
map_0029#43	ぶちのめしてやると、みんな泣きながら逃げてくんだよな!
map_0029#44	俺に挑む前に、せめて「最低レベル」までポケモンを鍛えさせられたらな……
map_0029#45	そうすりゃ、みんな俺たちとほとんど同じくらい強くなれるのに!
map_0029#46	崖っぷちの人生さ……
map_0029#47	崖から落ちてる最中だけどな……
map_0029#48	うっ……
map_0029#49	バッジ持ってるのか? イケてるとでも思ってんのか?
map_0029#50	まあ、分かる気がするよ。
map_0029#51	でも、まだバッジ1個だろ。調子に乗るなよ。
map_0029#52	知ったら驚くだろうな。
map_0029#53	この街も、かつては素晴らしいものだったんだ。
map_0029#54	たまに、通りを走り回ってるポケモンを見かけることがある。
