map_0849#130	セラ: それにしても、連れてきてくれてありがとう。
map_0849#131	何もしなかったとしても、だけど。
map_0849#132	ベネット: 調理器具のことも料理のことも、ちゃんと手伝ってくれたじゃないか。自分の努力を軽く見る必要はないよ。
map_0849#133	「対等」というのは、自分自身を敬うことも含まれるんだ。
map_0849#134	セラ: …あら、
map_0849#135	それにしても、自分の子供から教わるようなことじゃないと思うのだけれど……
map_0849#136	……でも、対等な相手からなら、まあ、いいのかもしれないわね。
map_0849#137	ベネット: 誰だって、時々思い出させてもらう必要があるものさ。
map_0849#138	さて、そろそろ行こうか。
map_0849#139	セラ: そうね。
map_0849#140	今夜は、遠くをぼんやり見つめながら、自分の歪んだものの見方についてじっくり考える長い夜を過ごすつもりよ。
map_0849#141	ベネット: 改善しようと考えているなら、それでいいさ。
map_0849#142	\PN、一緒に戻らないかい?
map_0849#143	ベネット: それじゃあ、行こう。
map_0849#144	ベネット: もっと見て回りたいという気持ちはよくわかるよ。
map_0849#145	ここは本当に、偶然出会ったにしては興味深い環境だ。
map_0849#146	この地域の生態系が、これほどの状況にもかかわらず、どうやって気温と安定性を保っているのか、正確に知りたいところだけど……
map_0849#147	ああ、いや、退屈させたくはないな……「なかなか面白い」ってことにして、それだけにしておこう。
map_0849#148	また今度な、\PN。
map_0849#149	セラ: これで夕食と、それに添えるショーまで手に入ったわね。
map_0849#150	これ、わたしが今までしてきた大抵のデートより、よっぽど良いくらいだわ。
map_0849#151	ビクティニ: ティティティティティニ!!!
map_0849#152	材料集めをスキップしますか?
map_0849#153	\PNは、いかりのこなを手に入れた!
map_0849#154	材料を確認
map_0849#155	ヒント
map_0849#156	ずつき
map_0849#157	はい
map_0849#158	いいえ
map_0850#0	セラ: 鍋は割とすぐ見つかったけど……
map_0850#1	洗うとなると、話は別ね……
map_0850#2	7匹くらいのベトベターが、丸一ヶ月これを露天風呂代わりに使ってたとしか思えないわ……
map_0850#3	仕事、代わってくれる気はないわよね?
map_0850#4	\PNは木を揺すった……
map_0850#5	何かが落ちてきた!
map_0850#6	……でも、何も落ちてこなかった!
map_0850#7	奇妙な植物から、粉状の胞子がしたたり落ちている……
map_0850#8	ねむりごなを捨てて、いかりのこなを手に入れますか?
map_0850#9	\PNは、こなボトルを使った。
map_0850#10	いかりのこなを手に入れた!
map_0850#11	こなボトルはすでにいかりのこなでいっぱいだ!
map_0850#12	ジュリア: \PN、ちょうどいいところに!
map_0850#13	なぜか、エイミーとターニャが赤の宝珠と青の宝珠を手に入れちゃって、それ以来二人とも完全に制御不能なの!
map_0850#14	手に入れてからずっと、とんでもない声を上げてお互い叫び合ってるんだから!
map_0850#15	フロリニア: このようなことが起こるのは、初めてではありませんが。
map_0850#16	ジュリア: どうやって見つけたのかも分かんないし!
map_0850#17	それ盗むのはアタシの役目のはずだったのに!
map_0850#18	アタシだって、自分の声帯やまわりの人のことなんか気にせず、何時間も喉を全力で酷使して正気を失いたい時だってあるかもしれないじゃん!?
map_0850#19	フロリニア: それもまた、初めてのことではありませんが。
map_0850#20	ジュリア: え、マジで?
map_0850#21	フロリニア: あなたとブルーノがまだ付き合っていた頃を思い出してください。
map_0850#22	ジュリア: ブルーノ?
map_0850#23	顎ひげ生やしてて、脇の下にタトゥーがある人?
map_0850#24	あの人すごく優しくしてくれたんだけどね、既婚者じゃなければよかったのに。
map_0850#25	フロリニア: いえ、もう一人のブルーノです。
map_0850#26	ジュリア: ……ああ!
map_0850#27	……あの夜のこと、みんなの記憶消えるくらいちゃんとぶん殴っといたと思ってたのに。
map_0850#28	フロリニア: ……ともあれ、この状況を鎮められる可能性が最も高いのは\PNです。
