map_0478#45	この一つだけ、お願いを聞いてくれ。
map_0478#46	ティタニア: あんたの茶番にはもう付き合ってられない。
map_0478#47	行くわよ、\PN。
map_0478#48	タカ: \PN。
map_0478#49	お願い……
map_0478#50	頼むよ。
map_0478#51	僕を倒してくれる?
map_0478#52	タカ: そうだね。急ごう。
map_0478#54	タカ: それなら、全部うまくいくよ。
map_0478#55	君のポケモンを回復させてあげる。
map_0478#56	せめてものお詫びだよ。
map_0478#57	タカ: 早くここを出たほうがいい。
map_0478#58	君の友達には、君が必要になる気がするから。
map_0478#59	タカ: ……そっか……
map_0478#60	こういうことに関しては、僕はやっぱり異端児みたいだね、
map_0478#61	慈悲をかけようとしたりとか……
map_0478#62	でもまあ。
map_0478#63	はみ出し者を痛めつけて気が済むなら、それでいいよ。
map_0478#64	エース: おお、これはこれは、かわいい子たちよ!
map_0478#65	エース: 小さな王子よ、我々に渡すものがあると聞いているが!
map_0478#66	タカ: あ……それなんだけど。
map_0478#67	エース: ふむ?
map_0478#68	タカ: ブレスレットは少しの間持ってたんだけど……
map_0478#69	エース: \PNがここにいるのを見れば、何が起きたかはだいたい察しがつくというものだ!
map_0478#70	私としては、観客を待たせておく必要はないと思うのだがね!
map_0478#71	エース: それでは、三つ数える間に\PNからサファイアのブレスレットを魔法で消し去れるか、見てみようではないか!
map_0478#72	スペードのエース: 持っていないのだろう?
map_0478#73	エース: 小さな王子よ、これは一体どういうことだ?
map_0478#74	\PNはそもそもブレスレットを持っていない。
map_0478#75	手品には十分手慣れているのでね、そのくらいは一目瞭然だよ。
map_0478#76	タカ: それは、その、奪われたんだ。
map_0478#77	別の誰かに。
map_0478#78	あのはがねタイプのリーダーに。
map_0478#79	ギルガルドを僕の喉元に突きつけられて……
map_0478#80	エース: 許してくれ、小さな王子よ、だがどうも辻褄が合わないのだ。
map_0478#81	見たところ、君のチームはまったくの無傷のようだし、
map_0478#82	実際、見回してみても、争った形跡が一つも見当たらない。
map_0478#83	この場所は、いつもと変わらず、みすぼらしく散らかったままだ。
map_0478#84	一族の跡取りを疑うようなことはしたくないのだがね、しかし、ここで正確に何が起きたのか、気にならずにはいられない。
map_0478#85	エース: ……なるほど。
map_0478#86	どうでもいいことだ。
map_0478#87	エース: 嘆かわしいことだ。
map_0478#88	どうやら、この手品のタイミングをしくじってしまったようだね。
map_0478#89	今頃はもう、彼女も望み通りの華麗な脱出を果たしていることだろう。
map_0478#90	なに、構わないさ!
map_0478#91	1、2、それ……
map_0478#92	エース: ポン!
