map_0193#106	ジャッキー: グミだーっ!!!
map_0193#107	ブレイク: おい、グレイ、ちょっと待てよ。
map_0193#108	グレイ: ……何?
map_0193#109	ブレイク: クリソリア地方には行ったことあるか?
map_0193#110	グレイ: ない。
map_0193#111	ブレイク: じゃあ、森とか、そういうのはどう思う?
map_0193#112	グレイ: 別に……普通じゃない?
map_0193#113	ブレイク: 実はさ、スピネルタウンに住んでる夫婦と話してたんだけど……
map_0193#114	で、そのふたり、お前のことめちゃくちゃ気に入っててさ。
map_0193#115	まだ細かい話は詰めてる途中だけど、お前さえよければ、ふたりはお前を長く預かりたいと思ってるみたいなんだ……
map_0194#0	……あの、向こうに行ってもらえますか?
map_0194#1	シェリー: え、自由になりたくないの? 独房はもう開いてるよ!
map_0194#2	子供: ここしか、僕の居場所がないんです……ここは僕のもので、安全なはずなんです……お願いだから、行ってください。
map_0194#3	シェリー: ご、ごめんね……
map_0194#4	今、出してもらえますか?
map_0194#5	シェリー: あ、そ、それが……できたらいいんだけど……
map_0194#6	ごめんね!
map_0194#7	ノエル: やあ。
map_0194#8	ヘザーは上の階にいるよ。
map_0194#9	そこが、ドクターの仕事場だ。
map_0194#10	僕は大丈夫。
map_0194#11	ここに閉じ込められるのには慣れてる。
map_0194#12	ノエル: 監視室も上の階にある。
map_0194#13	そこから、このドアの鍵を開けられるよ。
map_0194#14	ノエル: まだヘザーを助け出せてないのか?
map_0194#15	シェリー: 上のドアに鍵がかかってて……
map_0194#16	ノエル: ああ、そうか。たしか、ドクターの書斎に予備の鍵があったはずだけど、そこもたいてい鍵がかかってる。
map_0194#17	シェリー: じゃあ、どうすればいいの?
map_0194#18	ノエル: 僕は下に行ってみる。アンナなら何か考えがあるかもしれない。
map_0194#19	職員: これをやっていたのは、お前か、\PN。
map_0194#20	前にここに来た時は、下見をしていただけだったのか?
map_0194#21	リボーンの子どもたちに対する我々の責任は、揺らぐことはない。
map_0194#22	彼らを守るために、必要なことをするまでだ。
map_0194#23	シェリー: 拷問することが、守ることなの?
map_0194#24	本当の悪者が誰なのか、自分に問いかけてみたら?
map_0194#25	職員: 拷問とは、我々の治療技術に対する、不公平で無知な評価だ。
map_0194#26	お前たちは、研究と進歩を理解できない、ただの子どもに過ぎない。
map_0194#27	ここは、お前たちが口を出す場所ではない!
map_0194#28	守る、だと? お前が持ち込むのは暴力だけだ。
map_0194#29	あたしたちの本当の責任は、言われたとおりにすることなんだよね。
map_0194#30	職員: お前の英雄気取りなど、無謀な見世物に過ぎない。
map_0194#31	本当の変化を生み出せるのは、我々の方だ。
map_0194#32	職員: 我々の仕事は、できる限り最善を尽くしてやり遂げた。
map_0194#33	職員: 理想と虚栄心だけで、何かを成し遂げられるとでも思っているのか。
map_0194#34	解錠しますか?
map_0194#35	エラー――アクセス拒否
map_0194#36	身分証をスキャンしてください
map_0194#37	患者用独房、解錠完了
map_0194#38	患者用独房はすでに開いています
map_0194#39	電気けいれん療法室
map_0194#40	患者用居室
map_0194#41	キャンセル
map_0195#0	シェリー: ヘザー!
map_0195#1	シャルロット: そして、最後のお客様のご到着だ。
map_0195#2	これでパーティーの始まりってわけ。
map_0195#3	どう思う、ドクター?
map_0195#4	自分の状況について、診断は下せた?
map_0195#5	あたしにはわかると思う。
map_0195#6	もう、クソ詰みってやつ。
map_0195#7	シグムンド: 可愛らしいことだ。
map_0195#8	もう気は済みましたか、シャルロット?
map_0195#9	あなたの、絶えず騒ぎ立てて他人を操ろうとする悪癖については、あなた自身のセッションで扱えば済むことです。
map_0195#10	今はヘザーのセッションの最中であり、あなたはそれを妨げている。
map_0195#11	シャルロット: 悪いね、ドクター。残念だけど、的外れだよ。
map_0195#12	このサーカスの主犯はあたしじゃない。みんな、あの子のために来たんだから。
map_0195#13	シェリー: い、今すぐ彼女を放して!
map_0195#14	カイン: ちょーっとばかし、数で負けてるんじゃないか、ドクター・ジジイ。
map_0195#15	大人しく降参した方がいいと思うぜ~
map_0195#16	シグムンド: それを否定しても意味はないでしょう。
map_0195#17	だが、あなた方の衝動的で無鉄砲な茶番が、本当にこの少女のためになるのか、問うてみてほしいものです。
map_0195#18	アンナ: あんたがあの子をクリスマスツリーみたいに光らせるよりずっとマシだよ!
map_0195#19	さあ、放してあげて、いいね?
map_0195#20	シェリー: あの……あの、彼女を放してください?
map_0195#21	シャルロット: あの子を放しなよ、ドクター。
map_0195#22	でなきゃ、あたし……
map_0195#23	シグムンド: ……ぐああっ!!!
map_0195#24	カイン: おいおい、燃やすことはないだろ。
map_0195#25	シャルロット: それが、あたしがタバコを欲しがってた本当の理由。
map_0195#26	あんな傷を残してやりたいって、ずっと思ってたんだ。
map_0195#27	シャルロット: それに、こいつに同情なんて絶対にしないでよね。
map_0195#28	こいつは、あたしにも姉妹たちにも、もっとひどい傷を残してきたんだから。
map_0195#29	シグムンド: もういい。
map_0195#30	この権力争いにさほど興味はない。好きにするといい。
map_0195#31	あの少女を連れて行きなさい。
map_0195#32	シェリー: ヘザー! だ、大丈夫……?
map_0195#33	ヘザー: ……
map_0195#34	シグムンド: ところで、この件については、すでに当局に連絡させていただきました。
map_0195#35	あなた方は間もなく、全員捕らえられることになるでしょう。
map_0195#36	カイン: ヘザーは確保した。もう行こうぜ。
map_0195#37	アンナ: 急いで!
map_0195#38	みんな、行くよ!
map_0196#0	シャルロット: いたいた。
map_0196#1	ドクターが止めようとして、無様にすっ転んだって聞いたよ。
map_0196#2	そうなるってわかってたら、残って見物してたのに。
map_0196#3	……まあいいや、本題に入ろう。
map_0196#4	警察があたしたちを捜すはず。
map_0196#5	あたしたちが街から逃げようとするのはお見通しだろうから、正面の出口は使えない。
map_0196#6	でも、このトンネルは街の地下を通ってて、ちょうどクリソリア地方に出るんだ。
map_0196#7	それに都合よく、今あたしの姉妹たちが住んでるのもそこ。
map_0196#8	事態が落ち着くまで、そこに身を潜めていられる。
map_0196#9	他のみんなはもう賛成済み。
map_0196#10	あとは……
map_0196#11	このバカ機械を……さっさと起動させなきゃ!
map_0196#12	カイン: てか、それ何のためのやつ?
map_0196#13	シェリー: えっと、わ、私……
map_0196#14	なんとなく、わかるかも……
map_0196#15	……どうして動かないのか。
map_0196#16	もし私の予想が正しければ、これはたぶん……
map_0196#17	これはたぶん、旧ユーレユビルの地下……
map_0196#18	昔は資源を鉄道で運び込むのに使われてたって、本で読んだことがあって、それで本社の真下を通るように作られてたの。
map_0196#19	昔はリボーンの経済の中心だったんだけど、その、それが……
map_0196#20	それから地震が起きて、大打撃を受けて、閉鎖せざるを得なくなったの。
map_0196#21	当時は、街の電力も管理してたみたいで……
map_0196#22	だから、それも止まっちゃって……
map_0196#23	それで街全体が、リーグが復興するまでずっと止まったまま……
map_0196#24	……だよね?
map_0196#25	シャルロット: ……それで?
map_0196#26	ノエル: つまり、今稼働してる発電所じゃなくて、昔の発電所につながってるから、開かないってわけだ。
map_0196#27	アンナ: 昔の発電所?
map_0196#28	ちょっと待って!
map_0196#29	そこ、シャドウさんが住んでるとこじゃん!
map_0196#30	誰かが行って電源入れてってお願いしたら、きっとやってくれるよ!
map_0196#31	シェリー: ちょ、ちょっと待って、シェイドのこと?
map_0196#32	さっきも会ったばかりだけど……
map_0196#33	ほ、本当に、話を聞いてくれるのかな……?
map_0196#34	アンナ: さあね!
map_0196#35	でも、実は超いい人なんだよ!
map_0196#36	秘密だから、誰にも言っちゃダメだよ!
map_0196#37	ノエル: 話したことすらないだろ。
map_0196#38	いい人かどうか、どうしてわかるんだよ。
map_0196#39	アンナ: わかるったらわかるの!
map_0196#40	ねえ、それに彼、リボーンのジムリーダーでもあるんだよ!
map_0196#41	\PN、\PN、\PN!
map_0196#42	古い発電所に行って、シャドウさんに電源を入れてもらって、そのまま戦ってきなよ!
map_0196#43	カイン: ああ、ベリル橋の向こうにあるとこだろ?
map_0196#44	アンナ: ノストラに頼んでドアの鍵を開けてもらうから、早く行ってね~?
map_0196#45	シャルロット: ここの電源を入れてもらえるかもって理由だけで、\PNをどこかの誰かと戦わせるつもり?
map_0196#46	シャルロット: ……ま、いいんじゃない。
map_0196#47	あたしの考えるどんな案よりマシだし。
map_0196#48	ここで待ってても、たぶん大丈夫でしょ。
map_0196#49	頑張ってきなよ、大将。
map_0196#50	シャルロット: こっちの電源が戻るまで、先には進めない。
map_0196#51	さっさとあの陰気な奴をボコしてきて。
map_0196#52	アンナ: カインのこと好きなんだ、優しいし、綺麗だし!
map_0196#53	それに目が真っ黒でさ――
map_0196#54	かっこよくない?!
map_0196#55	ノエル: アンナ、あいつの目は黒くないよ。
map_0196#56	アンナ: 黒いもん!
map_0196#57	魂に通じるブラックホールみたいなんだから~
map_0196#58	ノエル: はぁ……
map_0196#59	アンナ: ヘザー、まだ息切れが治ってないの、変じゃない?
map_0196#60	そんなに走ってないのに……
map_0196#61	喘息か何かなのかな?
map_0196#62	ノエル: 僕には普通に見えるけど。
map_0196#63	ノエル: やっと、あそこから出られてよかった。
map_0196#64	でも、これから先は、きっと大変な旅になる。
map_0196#65	ノエル: 捕まる前に、発電所に向かった方がいいと思う。
map_0196#66	アンナ: それに、ジムバッジも手に入れなきゃ!
map_0196#67	そうそうそうそうそうそうそう!
map_0196#68	カイン: 障害物、めちゃくちゃ多いな!
map_0196#69	ま、いいか~
map_0196#70	険しい道でも、いい仲間となら楽しい旅になるもんだぜ!
map_0196#71	ヘザーのことはかなり心配だけど……とりあえず無事ではある。
map_0196#72	カイン: あの発電所は、ベリル橋を渡った先の、ベリル地区にある。
map_0196#73	それにしても、孤児院育ちの子があの陰気なジムリーダーを知ってるとは驚きだな……
map_0196#74	オレだって、噂で聞いたことがある程度なのに。
map_0196#75	まあ、オレもそんなに長く在籍してたわけじゃないし、当然っちゃ当然か。
map_0196#76	シェリー: ヘザー、どうして何も話してくれないの?
map_0196#77	どうしたの?
map_0196#78	お願い……何か話して?
map_0196#79	シェリー: 怒らせちゃったならごめんね、でも、その……
map_0196#80	もうすぐ、もっと安全な場所に行けるから、約束するよ……
map_0196#81	そしたら、話してくれてもいいかな?
map_0196#82	ヘザー: ……
map_0196#83	アンナ: あ! 開いた! \PNがやったんだ!
map_0196#84	シャルロット: あ、結局このバカ機械、要らなかったじゃん。
map_0196#85	？？？: 遅かったな。
map_0196#86	皆、ご機嫌よう。
map_0196#87	シャルロット: で、あんた誰?
map_0196#88	？？？: お前には関係のないことだ。
map_0196#89	捕らえろ。
map_0196#90	アンナ: あっ!
map_0196#91	カイン、キャッチ!
map_0196#92	カイン: な――?
map_0196#93	アンナ: とにかく走って!
map_0196#94	シャルロット: ちょっと、あの子から手を放せ!
map_0196#95	？？？: 興味深い要求だ。
map_0196#96	中で話そうじゃないか。
map_0196#97	カイン: くそ――ニドキング!
map_0196#98	カイン: じしんを使え、今すぐだ!
map_0196#99	カイン: うっ……逃げるぞ!
map_0196#100	メテオ団員: シリウス司令官?
map_0196#101	シリウス: そいつは放っておけ。
map_0196#102	取引には関係ない。
map_0196#103	必要なものはすべて手に入れた。
map_0196#104	まさに、ドクターの注文通りにな。
map_0196#105	？？？: いつから、人間が豚に仕えるようになった?
map_0196#106	シリウス: よく来たな、兵卒。
map_0196#107	？？？: エージェントだ。
map_0196#108	シリウス: 昇進したか。
map_0196#109	それは……ずいぶん早いな。
map_0196#110	？？？: 席が空いたのでな。
map_0196#111	シリウス: ああ……ボレアリスか。
map_0196#112	奴の首は、自分の手で締めたかったのだがな。
map_0196#113	？？？: 新たなシステムマネージャーも選ばれた。
map_0196#114	シリウス: エースの件のあとで、そう聞いたな。
map_0196#115	？？？: 新しい仲間には気をつけることだ。
map_0196#116	シリウス: 口の利き方には気をつけることだ。
map_0196#117	昇進しようがしまいが、私はまだお前の上官だぞ。
map_0196#118	？？？: 肩書き上はな。
map_0196#119	シリウス: それはどういう意味だ?
map_0196#120	？？？: 肩書きなど、意味を持たない。
map_0196#121	大切なのは結果だ。
map_0196#122	シリウス: わざわざここまで来て、知っていることを言いに来たのか?
map_0196#123	？？？: いいや。
map_0196#124	警告を届けに来た。
map_0196#125	己の分をわきまえろ、
map_0196#126	さもなくば、それを思い知ることになる。
map_0196#127	シリウス: 生意気な小娘め。
map_0196#128	シリウス: さて、ぼさっと突っ立ってないで。
map_0196#129	やるべきことがある。
map_0196#130	メテオ団員: は、はい!
map_0198#0	鍵がかかっている。
map_0198#1	\PNはユーレユのカギを使った。
map_0198#2	ドアが開いた!
map_0199#0	階のあいだに通路が開いた。上の階から溶岩が流れ落ちる!
map_0199#1	さっさと離れろ!
map_0199#2	下がるよ。
map_0199#3	どうせ関係ないけどな!
map_0199#4	おやおや、また来ちゃいけない場所をうろついてるのは誰かと思えば。
map_0199#5	本当、腹が立つったらないわ。
map_0199#6	あんたなんて、いつか消してやるんだから。
map_0200#0	ヒィ――?
map_0200#1	クイ……タラン!!!
map_0200#2	クイタランが、ポケスナックに引き寄せられた!
map_0200#3	空腹のポケモンが攻撃してきた!
map_0200#4	階のあいだに通路が開いた。上の階から溶岩が流れ落ちる!
map_0200#5	\PNはフィールド効果解説書16を手に入れた!
map_0200#6	超高温フィールドの情報が見られるようになった!
