map_0000#521	本作業は必要であり、この話者は十分に機能している。
map_0000#522	サーナイト: あら、それはつまり、この仕事を楽しんでいないということですか?
map_0000#523	フロリニア: 楽しみとは些末なことだ。
map_0000#524	機能することだけが重要である。
map_0000#525	サーナイト: つまらないですね!
map_0000#526	何か楽しいと思うことが、きっとあるはずでしょう、フロリニア?
map_0000#527	フロリニア: 個人的な感情は、その仮定に安全にたどり着くにはあまりに混乱を招く条件である。
map_0000#528	そして人間の感情の誤解は、重大な危険につながりかねない。
map_0000#529	この話者はすでにその手で多くを失った。ゆえに論理的な指示に従い、危険を回避する。
map_0000#530	サーナイト: あら、これは興味深いですね!
map_0000#531	つまり過去に誰かに傷つけられて、それで感情を無視していると、そういうことでしょうか?
map_0000#532	フロリニア: それは十分な要約だ。
map_0000#533	サーナイト: すてきです! ぜひ聞かせてください、何があったのですか?
map_0000#534	フロリニア: 結論は述べない。
map_0000#535	先の分析で十分である。
map_0000#536	さようなら。
map_0000#537	サーナイト: 何ですって? インタビューの終わりを決めるのはわたしです、あなたではありません!
map_0000#538	もう、せっかく面白くなってきたところなのに!
map_0000#539	さあ、今日はわたしにとって特別な方とご一緒します。
map_0000#540	リボーンのアイスジムリーダーであり元モデルの、セラ・ヴォクランさんです!
map_0000#541	セラ: あら、サーナイト、驚いたわ。
map_0000#542	てっきり荷物を取りに帰ってきたのかと思っていたけれど、そうではないのね。
map_0000#543	サーナイト: どうかしましたか? 少しがっかりしているようですけど!
map_0000#544	セラ: いいえ、まったく。
map_0000#545	インタビューのことでも、荷物を取りに来なかったことでもないわ。
map_0000#546	どうせあの部屋を使う人なんて、もう誰もいないもの。
map_0000#547	ただ、公の場でインタビューを受けるのは久しぶりだと思っただけ。
map_0000#548	恋しく思うなんて、思ってもみなかったけれど。
map_0000#549	サーナイト: そうでしたね、息子さんのためにキャリアを手放したのでしたね。後悔していますか?
map_0000#550	セラ: 何とも言えないわね。
map_0000#551	失ったものへの未練がないと言えば嘘になるけれど、もう一度選べたとしても、同じ決断をすると思うわ。
map_0000#552	情熱やキャリアより大事なものが、あるもの。
map_0000#553	サーナイト: もちろん息子さんのことですね。感動的です!
map_0000#554	でも教えてください、彼がテロ組織チームメテオに加わったという最近の報道について、どうお考えですか?
