map_0859#0	-「E」は……「R」に-
map_0859#1	-「L」は……「J」に-
map_0859#2	-「S」は……「F」に-
map_0859#3	-「T」は……「7」に-
map_0859#4	-「U」は……「=」に-
map_0859#5	-「Y」は……「H」に-
map_0859#6	-「P」は……「Y」に-
map_0859#7	-「C」は……「V」に-
map_0859#8	-「K」は……「Z」に-
map_0859#9	-「X」は……「~」に-
map_0859#10	-「D」は……「1」に-
map_0859#11	フロリニア: 対象は、たびたび両手で顔を覆う様子が見られる。
map_0859#12	視線を合わせようとせず、うつむいていることが多い。
map_0859#13	対象は胃の底に重いものを感じると語り、過去の出来事、特に「もっと違うやり方があったのでは」という点に強くこだわっている様子だ。
map_0859#14	また、この症状の影響からか、些細な過ちに対しても過剰に謝罪し、埋め合わせをしようとする傾向が見られる。
map_0859#15	フロリニア: 興味深い仮説だ。
map_0859#16	対象の症状は「罪悪感」という診断に一致するようだ。
map_0859#17	了解した。
map_0859#18	対象の生い立ちを見るに、自分に責任があると思い込んでいるトラウマ的な出来事があったようだ。
map_0859#19	その思い込みが正当かどうかはともかく、明らかに不適応を起こしている。
map_0859#20	「罪悪感」を放置すれば、「恥」という症候群へと悪化する恐れがある。
map_0859#21	本発言者は、この症状が悪性化しないための最善策を検討する。
map_0859#22	それまでは、「罪悪感」という診断で治療を進めるものとする。
map_0859#23	フロリニア: 診断、不一致。
map_0859#24	結果はいまだ確定していない。
map_0859#25	フロリニア: 患者の中に、さらなる合併症を発見した……
map_0859#26	だが、これ以上診断への協力を求めるのは賢明ではないかもしれない。
map_0859#27	「怒り」「罪悪感」「悲しみ」といった感情の発見は、避けようがなかったと言える。
map_0859#28	しかし今回の新発見――「喜び」と「情熱」――は、まさしく危険をはらんでいる。
map_0859#29	もし他者が、患者に「喜び」や「情熱」をもたらす刺激を知れば、それは彼女を操るための弱みになりかねない。
map_0859#30	本発言者は、これ以上感情を特定すべきではないと考える。とりわけ、この続行への不安をもたらしている今回の合併症の正体などは。
map_0859#31	彼女はあまりにも無防備で、これ以上続けるにはリスクが大きすぎる。
map_0859#33	本発言者への警告を無視するのは、いったい何の目的があってのことか？
map_0859#34	提示された診断は、おそらく反論の余地がない……
map_0859#35	ネガティブな感情を表に出す方が、ポジティブな感情よりもはるかに容易い。ポジティブな感情は「恐怖」によって、羞恥をもたらすからだ。
map_0859#36	しかし、この「恐怖」こそが、他の多くの問題の根本原因である可能性が高い。
map_0859#37	……おそらく、この患者がそもそも感情を切り離す必要を感じたのも、「恐怖」のせいなのだろう。
map_0859#38	生存に必要な感情――彼女は問題の元凶と思われる感情そのものを取り除くことで、自分の身を守ろうとした。
map_0859#39	誘因についての当初の診断が正しければ、それは有効な手段と言える――
map_0859#40	だが、切り離しの代償はあまりに大きすぎたのかもしれない。
map_0859#41	もし「恐怖」が患者に他の感情の発症を抑えさせていたのなら、それこそがすべての元凶に違いない。
map_0859#42	しかし、そこにはもう一つの懸念がある……
map_0859#43	フロリニア: 言った通り、これ以上続けない方がいい。
map_0859#44	分かりきったことを、あえて口にするのはよそう。
map_0860#0	ディアンシー: ディーィ〜
map_0860#1	シィエー！
map_0860#2	・ ・ ・ ・
map_0860#3	ディアンシー: イーィア〜
map_0860#4	カイン: ついてくるな。
map_0860#5	カイン: そう難しい頼みでもないだろ。
map_0860#6	離れろ。
map_0860#7	人間なんて醜い。
map_0860#8	お前も例外じゃない。
map_0860#9	オレなんて、もっと醜い。
map_0860#10	あらゆる約束――期待、
map_0860#11	個人的なもの、仕事上のもの、親密なもの、
map_0860#12	ただ生きるためだけに……
map_0860#13	そんなもの、頼んだ覚えはない。
map_0860#14	カイン: ……それでも、お前はまだここにいる。
map_0860#15	これが簡単だとでも思ってるのか？
map_0860#16	みんなから、何もかもから逃げるのは――
map_0860#17	それでも、留まるよりはマシだ。
map_0860#18	長く留まれば留まるほど、みんな期待するようになる。
map_0860#19	オレの一挙一動が、いちいち決断になるなんてごめんだ。
map_0860#20	ただ、あるがままでいたいだけだ。
map_0860#21	誰がいようが、いまいが。
map_0860#22	ただ放っておいてくれ。
map_0860#23	カイン: ……はぁ……
map_0860#25	\PNらしいっちゃらしいけどな、
map_0860#26	ずいぶんと粘り強いじゃないか〜
map_0860#27	……オレが本当にそんなこと言うと思ったか？
map_0860#28	まあ、それを期待されても仕方ないか。自分でさんざんそのキャラを演じてきたんだから。
map_0860#29	深刻な話をはぐらかすのに、冗談ほど手っ取り早いものはない。
map_0860#30	でも、もう限界だ。だからもう一度だけ聞く――
map_0860#31	どうせ聞く気なんてないんだろうけど――
map_0860#32	オレを一人にしてくれ。
map_0860#33	オレだって、永遠に逃げ続けられないのは分かってる。
map_0860#34	カイン: ……うぐ、あああ……
map_0860#35	……っ――
map_0860#36	疲れる――そんなに遠くまで来たわけでもないのに――
map_0860#37	まあ、当然か――
map_0860#38	どれだけ遠くへ行っても、
map_0860#39	自分自身からは逃げきれない……
map_0860#40	なあ、\PN……
map_0860#41	オレを無理やり引きずり戻しに来たんだろ、暴れて叫んでも。
map_0860#42	なら叫ばせてみろよ、かわい子ちゃん〜
map_0860#43	人間は醜いって言ったの、冗談じゃないぞ。
map_0860#44	隅から隅まで、とことん気持ち悪い、
map_0860#45	ちゃんと考えてみればな。
map_0860#46	それが怖いところなんだ――考え込んだ途端に、見え方が変わっちまう。
map_0860#47	だから考えないようにする――まあ、努力はしてる――
map_0860#48	それがかえって悪化させることもあるけどな。
map_0860#49	ピンクの結晶以外なら、何を考えたっていい。
map_0860#50	でもその考えから逃げれば逃げるほど、結局それしか残らない。
map_0860#51	逃げても無駄だって、ずっと前に思い知った。
map_0860#52	あいつがオレを見つけた――
map_0860#53	義理の父親だ。
map_0860#54	理解できなかった――
map_0860#55	なんで母さんは、一度離婚しておきながら、また再婚したりしたんだ？
map_0860#56	よりによって、あんな奴と――
map_0860#57	少しでも気に入らない表情を向けようものなら、キレる奴と――
map_0860#58	遅れれば――汚れていれば――足りなければ。
map_0860#59	なんであいつなんだ――
map_0860#60	一度、母さんに聞いたことがある。
map_0860#61	母さんは言った、
map_0860#62	あの人が必要だったんだ、と。
map_0860#63	誰にだって必要なものはある。
map_0860#64	食べ物、水、住む場所――
map_0860#65	そして、オレがもっと大人になるまで理解できなかったことだが、母さんはもう一つ必要なものがあると言った。
map_0860#66	親密さだ。
map_0860#67	それが大嫌いだった。
map_0860#68	今でも嫌いだ。
map_0860#69	何より、
map_0860#70	母さんが正しかったってことが、一番嫌いだった。
map_0860#71	分かり始めたんだ――
map_0860#72	みんな、なんというか……魅力的に見えてきた。
map_0860#73	人間は可愛いって思った。
map_0860#74	でも、ちゃんと考えてみれば――
map_0860#75	「可愛い」って、何だ？
map_0860#76	結局オレたちは、肉と骨と電気の詰まった袋にすぎないのに。
map_0860#77	それなのに、オレの脳みそはそれを可愛いと思わせてくるのか？！
map_0860#78	一体何なんだよ？
map_0860#79	気持ち悪すぎる！
map_0860#80	中身も外見も全部だ！
map_0860#81	人間――電気――親密さ――そしてオレ自身も！
map_0860#82	何もかも、反吐が出るほど気持ち悪い！
map_0860#83	オレの目の前から消えろ！
map_0860#84	全部、オレの視界から消えてくれ！
map_0860#86	完全に気を失っているようだ……
map_0860#87	カイン: あ、いたのか……
map_0860#88	ここにいるとは思ってたけど、目が覚めたら――
map_0860#89	あー、というかここどこだ？ ははっ……
map_0860#90	記憶がちょっとあやふやでさ……
map_0860#91	なあ、まさかオレ……分かんないけど……なんか変なこと、痛いこと、色々口走ったりしてないよな？
map_0860#92	カイン: ……よかった……
map_0860#93	カイン: それならよかったけど……
map_0860#94	……だとしたら、とんでもない夢を見てたってことか。
map_0860#95	お前が出てくる夢は、いつだってそうだけどな〜
map_0860#96	乗り越えたつもりだったことと、まだ格闘してるみたいだ。
map_0860#97	見ての通り、楽しい方の格闘じゃないけどな。
map_0860#98	あーあ、また冗談ではぐらかしてる〜
map_0860#99	でも大丈夫だから――ホントに大丈夫〜
map_0860#100	〜 迷っても、疑わないで――ぐあっ――
map_0860#101	オ、オレ――うっ――
map_0860#102	よし、歌うのはナシだ――
map_0860#103	虚無のオーラだかなんだかで、むせた――
map_0860#104	うっ……
map_0860#105	オレは平気――大丈夫だから！
map_0860#106	えーっと、ちょっと聞きたいんだけど――ここどこ？
map_0860#107	待てよ！
map_0860#108	それより、えっと……
map_0860#109	誰かを探してた気がするんだけど、誰だったか思い出せない……
map_0860#110	アンナは？
map_0860#111	アンナを探してたんだ――
map_0860#112	それとチームメテオも！
map_0860#113	…
map_0860#114	……
map_0860#115	………
map_0860#116	カイン: あ……終わったんだな？
map_0860#117	しばらく、まるっきり蚊帳の外だったってわけか。
map_0860#118	でも、戻れたことを素直に喜ぶべきなんだろうな。
map_0860#119	それを受け止めるには、ちょっと時間がかかりそうだ……
map_0860#120	とりあえず、ここから出ないか？
map_0860#121	……ここがどこだかは知らないけど。
map_0860#122	一緒に来てくれるか？
map_0860#123	カイン: なら二人で夕日に向かって出発だ！
map_0860#124	さあ行こう、高貴で麗しき\PN〜！
map_0860#125	カイン: 平気だって。
map_0860#126	ここから出る道くらい、なんとか見つけるさ。
map_0860#127	戻ってこられて嬉しいよ〜
map_0860#128	……あ、走って行っちゃった。
map_0860#129	今、機嫌が悪い時期なんだろうね。
map_0860#130	……いや、それは違うか。
map_0860#131	あいつ、ずっと機嫌悪かったし。
map_0860#132	でも今回は、なかなかひどい状態だったね！
map_0860#133	あの説明くさいオーラのせいで、これから身の上話をぶちまけられるんじゃない？
map_0860#134	万能傘、持ってきてるといいけど！
map_0860#135	*ゴホゴホ
map_0860#136	ぽふっ
map_0860#137	……あ、待って、今の音好きじゃない。
map_0860#138	こっちにしてみよ。
map_0860#139	こっちのほうがずーっといいね。
map_0860#140	リン: いやー、なんて言えばいいかな
map_0860#141	ってか、
map_0860#142	どういたしまして！！！！！！
map_0860#143	はい
map_0860#144	いいえ
map_0862#0	ドアに何かをはめ込めそうな窪みがある。
map_0862#1	マナフィジェムをはめ込みますか？
map_0862#2	ぴったりとはまった！
map_0862#3	「はじめて現れしとき、我らはそれをより高き存在と思うた。
map_0862#4	されどその振る舞いは、まるでだだをこねる子供のようだった。
map_0862#5	放っておけば、この聖なる地は水底の墓場と成り果てるだろう。
map_0862#6	深きためらいと共に、我らはその子を封じた。
map_0862#7	三つの扉。三つの封印。
map_0862#8	後に続く者へ――我らの言葉に従わねば、滅びを待つのみ。
map_0862#9	最も強き流れは、鍵と海の下に閉ざしておくが良い。」
map_0862#10	マナフィ: フィーィ〜
map_0862#11	ナナー？？？
map_0862#12	マナフィ: フィーィハ〜！
map_0862#13	下へと続く近道が開けた！
map_0862#14	出口へ飛び込みますか？
map_0862#15	リン: なんで新世界に設定なんてあるわけ。
map_0862#16	だって、作ったばっかなんだけど。
map_0862#17	バカみたい。
map_0862#18	ここって、実際には起きてもいない歴史まで丸ごと生成されちゃったってこと！？
map_0862#19	いっそ丸ごと消しちゃおうかな。
map_0862#20	ばいばーい！
map_0862#21	リン: 冗談だって、面倒くさいし。
map_0862#22	変な設定はともかく、この場所自体はちょっといい感じだしね。
map_0862#23	まあ、赤ちゃんアルセウスも似たようなもんだったか。
