map_0224#7	ファーン: ああ、お前がダブルで戦うのには、正直驚いたけどな。
map_0224#8	それって、実力不足をごまかす安っぽい手段ってだけじゃないのか?
map_0224#9	アヤ: あたしがどんな形式で戦おうと、あたしの勝手でしょ。
map_0224#10	それに、これはあたしの兄が――
map_0224#11	ラナ: アヤ、また お客さんよ!
map_0224#12	アヤ: マジで、また?
map_0224#13	ファーン: タダでバッジが欲しい奴らを責めるわけにもいかないしな。
map_0224#14	アヤ: ちょっと、黙っててくれる?
map_0224#15	あたしのことは放っといて。
map_0224#16	ハーディ: 悪いタイミングだったか?
map_0224#17	ファーン: なんだ、お前か。
map_0224#18	ハーディ: ああ、オレだよ。お前こそ、ここで何やってんだ?
map_0224#19	ファーン: 雑魚掃除だよ。お前は?
map_0224#20	ハーディ: 最近新しいジムリーダーが入ったって聞いてな、挨拶に来てやろうと思ってたんだぜ。
map_0224#21	ハーディ: お前がアヤだろ?
map_0224#22	アヤ: え、うん。
map_0224#23	ハーディ: 名前はハーディ。リボーンのいわタイプジムリーダー、よろしくな!
map_0224#24	ハーディ: 本当は温かく迎えるつもりだったんだけどな……
map_0224#25	なんか、もう嫌な思いさせられちゃってるみたいだな、相棒?
map_0224#26	ファーン: 皮肉なんて言わなくて結構だぜ。
map_0224#27	アヤ: あんたたち、知り合いなの?
map_0224#28	ハーディ: 残念ながらな。
map_0224#29	オニキストレーナーズスクールで、こいつと同じクラスになる不運に見舞われてな。
map_0224#30	ファーン: 要するに、オレがトップで、こいつがただの負け犬だったから、嫉妬してるんだよ。
map_0224#31	ハーディ: そう思ってりゃいいさ、相棒。
map_0224#32	ファーン: それに、お互いの姉貴同士が仲良かったから、たまに一緒に連れ回されてたんだよな。
map_0224#33	ハーディ: ああ。まあ、全部過去の話だけどな。
map_0224#34	アヤ: はいはい、あんたたちはおしゃべり続けてなよ。
map_0224#35	あたしは隣の部屋の機械で、ポケモン回復させてくるから。
map_0224#36	ファーン: それで、\PN、もうアヤと戦うつもりか?
map_0224#37	言ったろ、完全な雑魚だって。
map_0224#38	でもまあ、わざわざここまで来て、いいバトルの一つもなかったら残念だよな。
map_0224#39	オレが力になってやるよ、な?
map_0224#41	ハーディ: ファーンがボコられるのを見るだけでも、ここまで来た価値はあるだろうな。
map_0224#42	ファーン: 黙れよ、石頭。
map_0224#43	\PNには手加減してやってただけだ。
map_0224#44	誰かを泣かせたくはないからな。
map_0224#45	ハーディ: 好きに言ってろよ、相棒。
map_0224#46	アヤ: オーケー。\PNだっけ?
map_0224#47	バトルの準備ができてるなら、始めよっか。
map_0224#48	ファーン: おお、これは見物だな。
map_0224#49	ポップコーン用意しとかないとな。
map_0224#50	ハーディ: 審判はオレがやるぜ。
map_0224#51	誰かがファーンを抑えとかないとな、それにオレも自分のジムでやり方は心得てる。
map_0224#52	アヤ: そっちの準備ができてるなら、いつでもいいよ。
map_0224#53	アヤ: 位置について。さっさと終わらせよう。
map_0224#54	ファーン: どっちに負けてほしいか、正直迷うな。
map_0224#55	アヤ: あんた、誰でもデフォルトで嫌いなわけ?
map_0224#56	ファーン: いや、お前だけだよ。
map_0224#57	ハーディ: おい、あいつには構うなよ、相棒。
map_0224#58	アヤ: ううん、いいの! 全然、平気だから。
map_0224#59	あいつの言う通りだし。
map_0224#60	あたし、これが得意ってわけでもないし。
map_0224#61	わざわざやることもないのかもね。
map_0224#62	ハーディ: おい、今は自分を疑ってる場合じゃないぜ。
map_0224#63	顔上げてけ。
map_0224#64	このバトル、絶対うまくやれるさ。
map_0224#65	アヤ: みんな、あたしのことは放っといてくれた方がマシなのに。
map_0224#66	ハーディ: 挑戦者\PN、リーダー・アヤとの6対6ダブルバトル、開始だ!
map_0224#67	アヤ: そもそも、こんなことやりたくもないんだから。
map_0224#68	ただ押し付けられただけ。
map_0224#69	ハーディ: どちらの選手も、ポケモンの交代は自由だ。
map_0224#70	どちらかのトレーナーの6匹が全て戦えなくなった時点で、バトル終了!
map_0224#71	アヤ: また、これやるの……
map_0224#72	どうして放っといてくれないの?
map_0224#73	ハーディ: 前回は、二人ともよくやってたぜ。
map_0224#74	今回も全力でいこうぜ、な?
map_0224#75	挑戦者\PN、リーダー・アヤとの再戦、6対6ダブルバトル!
map_0224#76	どちらの選手も、ポケモンの交代は自由だ。
map_0224#77	どちらかのトレーナーの6匹が全て戦えなくなった時点で、バトル終了!
map_0224#78	それじゃ、始め!
map_0224#80	アヤ: で、負けたと。
map_0224#81	まあ、これでもうあんたの相手をしなくて済むってことか。
map_0224#82	ファーン: 冷たいな。
map_0224#83	\PNがボロ負けしてくれた方が、まだよかったかもな。
map_0224#84	どうでもいいけど。じゃあな、負け犬ども!
map_0224#85	ハーディ: おい、アヤ、たかが数回負けたくらいで、そんなに落ち込むなよ、な?
map_0224#86	よくあることだし、お前はしっかり戦ってたぜ。
map_0224#87	ただ、戦う前から自分で自分を追い込んでただけだろ。
map_0224#88	アヤ: どうでもいい。
map_0224#89	ハーディ: おいおい、そんな突き放さなくてもいいだろ。
map_0224#90	アヤ: 何、あんたも拒絶されるの気にするタイプ?
map_0224#91	ハーディ: いや、お前が自分自身に冷たいって話だよ。
map_0224#92	お前はもっと大事にされていいはずだろ、な?
map_0224#93	アヤ: ……別に、どうでもいい。
map_0224#94	そもそも、こんなの望んでなかったし。
map_0224#95	あたしの仕事になるはずじゃなかったのに。
map_0224#96	でも、あのバカな弟が、あたしに押し付けたの。
map_0224#97	「バカ」の部分、強調しとくね。
map_0224#98	アヤ: あいつ、たぶんあたしたちのこと嫌いなんだと思う。
map_0224#99	ハーディ: なんでお前を嫌うんだよ?
map_0224#100	アヤ: あいつに聞いてよ。あたしがいい人間じゃないってだけかもね。
map_0224#101	でも、家出してから、誰とも話してないの。
map_0224#102	ある日、いきなり出て行っちゃって。
map_0224#103	さよならも言わずに。
map_0224#104	自分のポケモンすら、連れて行かなかった。
map_0224#105	ジムリーダーの称号を勝ち取ったのは、あいつだったのに。
map_0224#106	それなのに、突然もういいって決めたの。
map_0224#107	だから今、あたしがやらされてる。
map_0224#108	お母さんはもう、あいつの話すらしない。
map_0224#109	あたしには、こんなの向いてないのに。
map_0224#110	ハーディ: おい、もう落ち着けって、な? お前は大丈夫だ。
