map_0133#259	連中がボクに隠してきたことが、他に何があるんだろうね……
map_0133#260	カイン: 待って――
map_0133#261	その前に、あの子たちはどうなるんだ?
map_0133#262	アンナが、彼らを助け出す手がかりをどこかに隠しておいてくれてないかと思ったんだけど――
map_0133#263	でも、あの子たちのことはどうするんだ?
map_0133#264	エース: ボクの意見を聞きたいなら――
map_0133#265	カイン: 聞きたいかどうか、正直わからないけど――
map_0133#266	エース: 心配いらないさ!
map_0133#267	カイン: テロ組織に子供が五人も誘拐されたんだぞ、それで「心配いらない」って?
map_0133#268	エース: クビにはなったけど、連中のやり取りは今もこっそり盗み聞きしていてね~
map_0133#269	ボクがいなくなったら、サイバーセキュリティなんてまるでお粗末なものさ。
map_0133#270	あの子たちは、ラピスワードの老医師のために捕らえられているんだ。
map_0133#271	快適とは言い難い状況だけど、彼は子供たちを傷つけることを固く禁じている。
map_0133#272	安全なはずさ。
map_0133#273	アマリア: それより差し迫った問題は、街の人たちの安全よ。
map_0133#274	あのPULSEモジャンボの機械は、ワードをまるごと壊滅させたのよ!
map_0133#275	もしこの街に他にもあるなら、放っておくわけにはいかないわ!
map_0133#276	エース: もっともだね。
map_0133#277	それが設置されている工場は、ここから遠くないよ。
map_0133#278	よければ、忍び込む方法を教えてあげよう。
map_0133#279	アマリア: 時間を無駄にはできないわ。
map_0133#280	みんなで一緒に――協力してくれる?
map_0133#281	エース: 喜んで、切り札のエースになろうじゃないか~
map_0133#282	それに、ボク自身にも聞きたいことがあるしね。
map_0133#283	カイン: 心配だけど……
map_0133#284	やろう。
map_0133#285	あのPULSEを早く止められれば、それだけ早く他のみんなを救えるはずだ。
map_0133#286	エース: なら、ブラックスチームで落ち合おう!
map_0133#287	ここから一番近い工場さ、階段を降りて少し脇へ行くだけだよ。
map_0133#288	エースの本領を見せてくれよ~
map_0133#289	はい
map_0133#290	いいえ
map_0134#0	ここを通り抜けようなんて、なかなか度胸があるな。お前の本当の強さ、見せてもらおうか!
map_0134#1	度胸があるな。
map_0134#2	少々の植物くらいで、俺たちが止まるかよ。わかるだろ?
map_0134#3	何もかも台無しだ……お前にぶつけてやる!
map_0134#4	どこまでも落ちていくばかりだ。
map_0134#5	そういうことか。これが俺の終わりか。
map_0136#0	できない……あそこには出られない!
map_0136#1	知ってた?
map_0136#2	こうげきを鍛えるのに一番いい場所は、スラムに隠された遊び場なんだって!
map_0136#3	こうげきを鍛えるのに一番いい場所は、かつてスラムだった辺りなんだって!
map_0137#5	はい
map_0137#6	いいえ
map_0138#0	いなくなっちゃった……私のかわいいメリープが、いなくなっちゃったの。
map_0138#1	建物が崩れたときに離れ離れになって、どこを探しても見つからないの。
map_0138#2	どうしよう。きっと怖がって、一人ぼっちで、私……
map_0138#3	落ち着かなきゃ……
map_0138#4	待って、考えて……
map_0138#5	落ち着いて、それで……
map_0138#6	ああっ!
map_0138#7	あ、あら?
map_0138#8	それって……
map_0138#9	私のかわいいメリープを見つけてくれたの?
map_0138#10	無事なのね?
map_0138#11	きっと、怖かったでしょうに……
map_0138#12	周りのワードでつるの音が聞こえていたけど、うちの建物への被害は少なかったの――なのに、突然崩れてしまって!
map_0138#13	もう二度とメリープに会えないと思っていたわ……
map_0138#14	ありがとう、トレーナーさん――本当にありがとう!
map_0138#15	気が張りつめてすっかり疲れちゃった――これ、受け取ってくれない?
map_0138#16	メリープに似合うと思って買ったんだけど、今はあまり使い道もなさそうだから。
map_0138#17	\PNはクイックボールを3個受け取った!
map_0138#18	でも、考えさせられちゃったの……
map_0138#19	メリープには、ちゃんと守ってあげられるトレーナーがふさわしいわ。
map_0138#20	それに今、こんなに街が荒れている中で……その役目が私に務まるのかどうか、わからないの。
map_0138#21	だから、メリープはあなたと一緒にいるのが一番だと思うの。
map_0138#22	私の代わりに、世界を見せてあげてね?
map_0138#23	メリープのこと、大切にしてあげてね?
map_0138#24	あいつを倒してくれたのね……ああ、ありがとう! 不意をつかれて、ここに追い詰められてたの。
map_0138#25	そろそろ仕事に戻らなきゃ、みんな心配してるだろうし。またね!
map_0138#26	したっぱ: おい、下がってろ!
map_0138#27	待てよ。お前、覚えてるぜ、ペリドットのガキだろ。
map_0138#28	借りを返す時間だ!
map_0138#29	二度目か?
map_0138#30	またかよ!
map_0138#31	ムカつく奴だな! どけよ!
map_0138#32	ああ、まったく、やることが山積みで……
map_0138#33	どうにか立て直さなきゃいけないけど、残された人数も少ないし、目の前の障害も山ほどあって……
map_0138#34	若い頃は、何もかもがもっと簡単だった気がするわ。
map_0138#35	やることをやるだけで、それで済んだのよ。
map_0138#36	もう、そんな時代じゃないのね……
map_0138#37	ねえトレーナーさん、もし昔が懐かしくなったら……
map_0138#38	……それとも、少し楽をしたいだけでも……
map_0138#39	誰かに合言葉を聞かれたら、「gen2mode」って答えてみるといいわ。
map_0138#40	あなたみたいな若い人なら――
