map_0357#237	テズ、もっとひどくなったよ。
map_0357#238	違うのは、もうあんたのことじゃなくなっただけ。
map_0357#239	カイン: だよな……
map_0357#240	アヤ: まあ、どうでもいいけど。
map_0357#241	少なくとも、これでどっちかは幸せになれるんだから。
map_0357#242	それに、あんたの代わりを引き受けなかったら、ハーディに出会えなかったかもしれないし。
map_0357#243	カイン: おお、じゃああいつがお前を幸せにしてくれてるってことか?
map_0357#244	アヤ: そういうんじゃないから……
map_0357#245	カイン: はいはい、そういうことにしといてやるよ。
map_0357#246	カイン: それで、ハーディ、ジムの運営以外は何してるんだ?
map_0357#247	ハーディ: だいたい音楽だな。
map_0357#248	ギターの練習にけっこう時間を使ってるぜ。
map_0357#249	アヤ: すごく上手いんだよ。
map_0357#250	カイン: おお、アヤを感心させるとはな。
map_0357#251	俺が一生かけてもできなかったことを、やってのけたわけだ〜
map_0357#252	アヤ: 一生って何よ?
map_0357#253	それ、あんたの一生の間違いじゃないの?
map_0357#254	カイン: どうせ俺が生まれる前だって、お前を感心させたことなんてなかったんだろうな。
map_0357#255	がっかりすることが、お前の存在理由みたいなもんだろ?
map_0357#256	ハーディ: まあまあ落ち着けよ、相棒。
map_0357#257	お前はどうなんだ?
map_0357#258	何か楽器やるのか?
map_0357#259	カイン: 俺の楽器はこの声さ〜
map_0357#260	アヤ: どうせわたしを怖がらせるためだけでしょ。
map_0357#261	カイン: ちぇーい〜
map_0357#262	ハーディ: いいじゃんか。
map_0357#263	なあ、ドラムとベースがいれば、自分たちのバンドが組めるかもな。
map_0357#264	アヤ: それ、ちょっと面白いかも……
map_0357#265	カイン: 誰か適任者に心当たりあるか?
map_0357#266	ハーディ: いや、悪いけど。
map_0357#267	俺の妹、昔ベースやってたんだけどな……
map_0357#268	そこに首を突っ込むほど自分を嫌ってないんでな。
map_0357#269	団長: で、お前がうちのリーグへの挑戦者ってことか?
map_0357#270	それなら、うちの特別ルールを説明しておかないとな〜
map_0357#271	誰も彼も、猫もしゃくしもリーダーに挑みたがるからな、放っておいたら、
map_0357#272	ビッグトップが他のことに使えなくなっちまう。
map_0357#273	だから、アゲート三強の誰かと戦うには、特別なバトルパスが必要なんだ!
map_0357#274	宣伝としていくつか配ったし、サーカスのゲームやイベントで手に入るチャンスもあるぞ!
map_0357#275	というわけで、しばらく居座って遊んでいくといい!
map_0357#276	サムソン: 見ての通り、あいつの宣伝の仕方はちょっと普通じゃないんだ。
map_0357#277	団長: おっと、黙ってろ!
map_0357#278	ああ、もうひとつ〜
map_0357#279	メインステージに上げる前に、秘密の謎の相手との特別な予選バトルがあるかもしれないぞ!
map_0357#280	サムソン: あいつのことだよ。
map_0357#281	団長: 黙ってろって!
map_0357#282	秘密で謎の相手なんだからな!
