map_0039#49	時間軸の交錯を解いています……
map_0039#51	運命は決まった。
map_0039#52	カスタムスターターは、ランダマイズされたセーブデータでは入手できません。
map_0039#53	ご不便をおかけして申し訳ありません!
map_0039#54	―(そこまで)ランダムじゃないスターターサービス―
map_0039#55	自分で選んだ相棒に決めますか?
map_0039#56	代わりにランダムなスターターを手に入れますか?
map_0039#57	(通常入手可能な21種のスターターの中からランダムに選ばれます。)
map_0039#58	カスタムスターター選択を再び有効にしますか?
map_0039#59	アドリエンヌ: みんな、準備はいいか?
map_0039#60	よろしい。
map_0039#61	忘れるな、君たちにはお互いを気にかける役目がある。
map_0039#62	他者に個人的な関心を持つことは、とても大切だ。
map_0039#63	事態が厳しくなっても、お互いに頼り合える。
map_0039#64	……だが、その話はここまでにしよう。
map_0039#65	下の階に戻れば、あとはヴィクトリアが面倒を見てくれる。
map_0039#66	幸運を祈る。
map_0039#67	アドリエンヌ: これで一段落だな。
map_0039#68	アドリエンヌ: クレシット地方、か。
map_0039#69	聞いたことがないな、
map_0039#70	まあ、私が見逃してきたことは、まだまだ多いのだろう。
map_0039#71	今日は来てくれて、改めて感謝する。
map_0039#72	新人トレーナーにとって、チャンピオンに会うのはいい経験になると思う。
map_0039#73	……それに、君がいてくれると、この諸々の物事にずっと対処しやすくなる。
map_0039#74	君は、この地方にとっても、私個人にとっても、支えとなる存在だ。
map_0039#75	それに、時には立ち止まってゆっくりすることを教えてくれた、君たち皆に感謝している。
map_0039#76	今、少しそうさせてもらってもいいだろうか?
map_0039#77	今日はいろいろと騒がしかったからな、少し一息つきたい気分だ。
map_0039#78	今夜、また合流しよう。
map_0039#79	アドリエンヌ: ここに残されていた本を、まだ全部は整理し終えていないようだな。
map_0039#80	彼女は面白い蔵書を持っていた。
map_0039#81	アドリエンヌ: ……ああ、これは子供の頃に読んだ覚えがある。
map_0039#82	アドリエンヌ: ……ああ。
map_0039#83	これは、私のサインだったな。
map_0039#84	アドリエンヌ: よりによって、こんな場所に?
map_0039#85	アドリエンヌ: さて、最初から始めるとしよう。
map_0039#86	あれは、きつねポケモンのロコンね!
map_0039#87	アローラのすがたよ。
map_0039#88	特別なすがたよ。
map_0039#89	カントーのすがたよ。
map_0039#90	ふつうのすがたよ。
map_0039#91	あれは、バーチャルポケモンのポリゴンね!
map_0039#92	ずいぶんと「意識高い系」な選択ね。
map_0039#93	いまいましい政治的アジェンダも、さぞ誇らしいでしょうね。
map_0039#94	はい
map_0039#95	いいえ
map_0040#0	おい、ここはオレの家だぞ。出てけ!
map_0040#1	ここって公共の場所だと思うけど。
map_0040#2	まあな、時々ここを他の奴と分け合わなきゃならねえこともある。雨が降ると、たまに小さいポケモンが降りてくるんだ。
map_0040#3	バオップ: パ……パオ……
map_0040#4	バオップは雨を怖がっているようだ……怖くて動けないでいる。
map_0040#5	バオップを助けますか?
map_0040#6	バオップを入れる空きがなかった……
map_0040#7	バオップ: パ……パオ……ップ……
map_0040#8	ヒヤップ: ヒヤ~~
map_0040#9	ヒヤップは、雨を眺めて楽しんでいるようだ。
map_0040#10	遊びたそうにしている!
map_0040#11	ヒメグマ: ウーサ!
map_0040#12	ヒメグマは逃げ出した!
map_0040#13	はい
map_0040#14	いいえ
map_0042#0	ニャスパー: ニャ……………
map_0042#1	ニャスパーは、すっかり心に傷を負っているようだ。
map_0042#2	ニャスパーがポケスナックの匂いに気づいた! ニャスパーは、我に返った!
map_0042#3	ニャスパーを連れていきますか?
map_0042#4	ニャスパーを入れる空きがなかった。
map_0042#5	ニャスパー: ……
map_0042#6	ショック状態になってしまったようで、反応しない。
map_0042#7	チラーミィ: チラ……
map_0042#8	チラーミィは怖がっているようだ。
map_0042#9	チラーミィがポケスナックの匂いに気づいた! チラーミィは、我に返った!
map_0042#10	チラーミィを連れていきますか?
map_0042#11	チラーミィを入れる空きがなかった。
map_0042#12	チラーミィ: ……
map_0042#13	ウリムー: ウリ……
map_0042#14	ウリムーは丸くなっている。
map_0042#15	ウリムーがポケスナックの匂いに気づいた! 意識を取り戻した!
map_0042#16	ウリムーを連れていきますか?
map_0042#17	ウリムーを入れる空きがなかった。
map_0042#18	ウリムー: ……
map_0042#19	反応したくなさそうだ……
map_0042#20	ココドラ: ロンロン……
map_0042#21	ココドラは、おとなしく床を見つめている。
map_0042#22	ココドラがポケスナックの匂いに気づいた! 目を輝かせて見上げた!
map_0042#23	ココドラを連れていきますか?
map_0042#24	ココドラを入れる空きがなかった。
map_0042#25	ココドラ: ……
map_0042#26	また地面に目を落として、反応しないようだ。
map_0042#27	よお、知らない人。ネットのああいう診断クイズ知ってる?
map_0042#28	「あなたの本当の魂の色は?」とか「ゴーロックカルテットの誰があなたと付き合ってくれる?」みたいなやつ。
map_0042#29	それで、古いサイトで「あなたはどのポケモンタイプ?」ってやつを見つけたんだ。
map_0042#30	どうやら、あらゆるタイプと組み合わせがあり得るらしい。
map_0042#31	自分でもうやってみたんだけど、他の人も本当にそんなに色んな答えが出るのか知りたくてさ。
map_0042#32	ちなみにアタシは、ノーマル・ひこうタイプだったよ。
map_0042#33	やってみる?
map_0042#34	先に言っとくけど、36問くらいあるんだ。作った人、どこで終わればいいか分かってないみたいで。
map_0042#35	それでも、クイズやってみる?
map_0042#36	あのクイズ、もう一回やってみる?
map_0042#37	あの「あなたはどのポケモンタイプ?」クイズ、やってみる?
map_0042#38	やった! それじゃ、始めよう。
map_0042#39	まずは簡単なところから。
map_0042#40	好きな色は?\ch[62,-1, 赤, 黄色!, 緑, 青, オレンジ, 紫, ピンク, 白, 黒]
map_0042#41	どんな天気が一番好き? \ch[62,-1, 晴れて快晴!, 雨は落ち着く, 砂嵐とか最高そう, 雪はきれい!, のんびりした曇り空, 風が強い日が好き, 虹。至る所に虹。, 特に好きな天気はない, あられってめっちゃクール!]
map_0042#42	あなたにとっての「成功」とは?\ch[62,-1, たくさんの素敵な友達!, 安定して発展するキャリア, たくさんのお金, 本当の愛を見つけること, 成功とは、追い求めるのをやめた時に訪れるもの, 有名になること!, 悟りと知識の獲得, 名声、評判、尊敬されること, 幸せでさえあれば何でもいい]
map_0042#43	一番怖いものは?\ch[62,-1, 怖いものなんて何もない, 拒絶されること, 虫は気持ち悪い!, とても珍しい、特定のあるもの……, 大切な人を失うこと, 取り残されること, ずっと変わらないままでいること, 自分自身, 教えるわけないでしょ!]
map_0042#44	自分に一番当てはまるのは?\ch[62,-1, 友達はいるけど、それでも孤独, いつも逃げ出そうとしている, いつも周りに誤解される, みんなを遠ざけてしまう, 結局、たくさんのことを後悔する, 何をやってもうまくいかない, ほとんどの人に無視される, 周りが自分のレベルに追いついてくるべき, すべてが無意味]
map_0042#45	恋愛についてどう思う?\ch[62,-1, いつも誰かと付き合っていたい, どうでもいい, 大切にされたら嬉しいけど……, ただの気晴らしになりすぎることが多い, 一人のほうがうまくいく, 人生を豊かにしてくれる!, 思い出させてくれてありがとう:c, 自分を受け入れることのほうが大事, 誰かの面倒を見るのが好き]
map_0042#46	理想のパートナー像は?\ch[62,-1, 安定していて冷静な人, 救いようのないロマンチストってかわいい, 恋愛なんて資本主義が作った幻想, ワルい感じのタイプが好き!, 理性的で支えてくれる人, 自分の声を見つける手助けができる相手, 正直でストレートな人, 大きな夢を追いかける人, 自分についてこられる人]
map_0042#47	理想の友達像は?\ch[62,-1, 絶対に離れられない仲, 必要な時にいてくれればいい, よく話すけどベタベタしない, 好きな時に一緒にいられる, にぎやかで楽しい、トラブルも多そう!, 何もかも知ってる一人か二人だけでいい, いろんな人を知ってるのが好き, 理想を言えば?友達なんて要らない, いつもお互いを支え合える]
map_0042#48	それは、実際の友達と比べてどう?\ch[62,- 1, たいてい混沌としすぎてる……, 意見が合わないことが多い, 今の友達で満足してる, どれだけ恋しく思ってるか、みんな知らない, たいてい無視される, 「本当の友達」に嫌われてる, 友達が大好きで、養子にしたいくらい!, ……本当の友達って何?, たいてい自分がみんなをまとめてる……]
map_0042#49	しまった! キュウコンの呪いで、あなたはポケモンに変えられてしまった!
map_0042#50	家を追い出され、野生で生きることを余儀なくされている。
map_0042#51	ポケモンとして、どうやって時間を過ごす?\ch[62,-1, とにかく食料と寝床を探す, 探検したい!, 友達を探しに行こうかな?, バトルの腕試しをする時間だ……, とりあえず寝る, ポケモンたちの世界を研究する時間!, あのキュウコンを狩りに行くぞ……, それでも何とかパソコンを使う方法を見つける, 遊び方は今や色々あるものね!]
map_0042#52	その場所で、他のポケモンを見かけた!
map_0042#53	どう反応する?\ch[62,-1, 無視する, 立ち去る。面倒に巻き込まれたくない, 逃げる!, 遠くから見ているだけ, 見てるけど、内心では近づいてきてほしい……, 様子を見に行く, すぐに自己紹介する!, 自己紹介はいいから――遊ぼう!, それは、相手が何をしているか次第]
map_0042#54	突然、野生のポケモン同士がケンカを始めた!
map_0042#55	ポケモンの視点からバトルを見るのは初めてだ!
map_0042#56	どうする?\ch[62,-1, 興奮する! 乱闘だ!, 近寄らない、ちょっと怖い, ポケモンバトルの倫理について考える……, 平和的に解決しようとする, 見物して、負けたほうに同情する, どっちでもいい, 楽しそう! すぐに参加する!, 自分の腕を試す機会を待つ, 技を観察して上達に活かす]
map_0042#57	ポケモンの片方が倒れると、人間がやって来てそのポケモンを連れていった。
map_0042#58	激しいバトルの後、別の人間が現れて、勝ったほうのポケモンをすぐに捕まえた。
map_0042#59	ポケモンとして、トレーナーについてどう思う? \ch[62,-1, 何でも言うことを聞かなきゃいけないなんて怖い, 一緒にいてくれるっていいかも!, ポケモン捕獲は倫理的にどうかと思う……, ちゃんとしたトレーナーを見つければいいだけ, ちょっとトレーナー探してくるわ, すごくなるのにトレーナーなんて要らない, 人間だった頃と同じ, ポケモンを捕まえたこと自体を後悔してる, 一生の相棒に出会いたい!]
map_0042#60	同じ種族のポケモンに出会った。正直、ちょっとかわいい!
map_0042#61	どうする?\ch[62,-1, ちゃんと自己紹介する, 自己紹介はなし、ただ遊ぶだけ!, 元は人間だったから距離を置く……, ポケモンとしての暮らしについて話せるかも?, お土産に食べ物を持っていく!, 無視する……, 話すきっかけにいたずらをする~, 「かわいい」なんて浅い判断。関係ない, 邪魔したくない]
map_0042#62	あーあ! 突然野生のデルビルが現れて、あのかわいいポケモンをいじめ始めた!
map_0042#63	どうする?\ch[62,-1, 戦略的撤退!, 割って入って守る!, 辛抱強く好機を待つ……, 挑発してあっちを引き離す!, 味方のふりをして、そこで攻撃!, 正々堂々と勝負を挑む, まずポケモンを助けると申し出る, 自分には関係ない, ちょっと待って! 話し合いで解決できないの?]
map_0042#64	朗報! デルビルはあのポケモンから手を引いた……
map_0042#65	……でも、今度はあなたが狙われている!
map_0042#66	作戦は?!\ch[62,-1, 相手の気を引いて、逃がしてあげる!, もういい! あっちのポケモンのところに戻る!, かかってこい, 自分が犠牲になる……, あっちと協力する!, デルビルを威嚇してやめさせる, 落ち着かせて争いを解決する, 決まってるだろ――逃げる!, 人間の知識で騙す!]
map_0042#67	どうにかこうにか、デルビルはいなくなった。
map_0042#68	でも、攻撃を受けた直後、野生のトレーナーが現れた!
map_0042#69	あなたが弱っているのを見て、すぐに捕まえた!
map_0042#70	捕まったことについてどう思う?\ch[62,-1, 最悪だ, 新しい友達!!!, いい人だといいけど, 野生が恋しくなりそう……, さっさとこのバカなモンスターボールから出して, 一緒にいるのも悪くないかも, 強くなるチャンスだ!, さっさと逃げる, 損得はまだ分からない]
map_0042#71	あなたの新しいトレーナー、エリオットは、あなたを強くしたいと考えている。
map_0042#72	彼は外に出て、最初に見かけたトレーナーに挑み、気づけばあなたは、いかにも強そうなゲッコウガと対峙していた!
map_0042#73	実際、レベルが20~30も上のようだ!
map_0042#74	どうする?\ch[62,-1, ……全力を尽くす!, 棄権していい?, やめる。バイバイ, レベルなんて関係ない! 戦うぞ!!!, この差を乗り越える術を学ばなければ, トレーナーを信じることにする, エリオットが何個キズぐすりを持ってるか聞く……, もしかして、これって特訓されてる?, エリオットはバカだ]
map_0042#75	残念ながら、というか予想通り、ゲッコウガとのバトルはうまくいかなかった。
map_0042#76	エリオットは、代わりにもっと弱いポケモンと戦って強くなるべきだと考えた。
map_0042#77	気づけば、あなたは赤ちゃんのエネコと対峙していた。
map_0042#78	タマゴから孵ったばかりのようで、勝負にすらならなそうだ。
map_0042#79	エリオットは、全力で戦えと命じた。
map_0042#80	どうする?\ch[62,-1, ノックアウトする。弱いのが悪い, 攻撃を拒否する!, できるだけ優しく攻撃する, ノックアウトして罪悪感に苦しむ, エネコと仲良くなって遊ぶことにする, バカなことをしたエリオットを攻撃する, 代わりにエネコに死んだふりを教える, 攻撃するふりをして、わざと外す, 言われた通りにする]
map_0042#81	エリオットはようやくあなたの実力を把握し、もっと見合った相手と戦わせるようになった。
map_0042#82	ペルシアンとの白熱したバトルで、あなたは強烈な一撃を決め、相手をあと少しでノックアウトするところまで追い詰めた。
map_0042#83	しかし突然、ペルシアンの「きりさく」が急所に当たり、確実だったはずの勝利を奪われてしまった!
map_0042#84	負けた後、どう感じる?\ch[62,-1, 自分に腹が立つ。自分が許してしまった, ペルシアンにムカつく, 無関心。よくあることだ, 最初は落ち込むけど、すぐ立ち直る, 次に会うペルシアンに思い知らせてやる, 次はもっとうまくやるしかない, エリオットがそれを考慮しておくべきだった, 急所に備えておくべきだった, アイスクリームが食べたい気分!]
map_0042#85	エリオットは、あなたを強くするために教えたい、真新しいわざマシンを手に入れた!
map_0042#86	それは「だいばくはつ」のわざマシンだ。
map_0042#87	それについてどう思う?\ch[62,-1, トレーナーが一番分かってる, 冗談だよね?, このわざマシン、倫理審査は通ってるの?, 強力な技はいいけど……, 明らかにエリオットは気にしてない, エリオットは鉛より鈍感だ, その技を覚えるのは拒否する!!!, 誰かに助けてもらいたい……, ドカーーーン!!!!!]
map_0042#88	エリオットは、低レベルのゴチムを捕まえたばかりだ!
map_0042#89	何度かバトルで試してみるが、あまりうまくいかない。
map_0042#90	実際、一発か二発当てる前にノックアウトされてしまう。
map_0042#91	珍しい休憩時間に、ゴチムは自分が何か間違っているのか尋ねてきた。
map_0042#92	ゴチムに何と言う?\ch[62,-1, 進化すればいいだけ, エリオットがただのバカなだけ, 今のままで完璧だよ!, 感情を強さに変えなさい, 一緒に鍛えられるかも!, もっと頑張る必要がある, 文句を言うのはやめるべき, みんなどこかから始まるものだ, なるようになるさ]
map_0042#93	エリートトレーナーのブライアンが現れ、エリオットにダブルバトルを挑んできた!
map_0042#94	エリオットにとっても、あなたにとっても初めてのダブルバトルだ。
map_0042#95	エリオットは開幕、あなたとゴチムを一緒に繰り出した!
map_0042#96	ゴチムが一発の攻撃にも耐えられないことを、あなたは知っている。
map_0042#97	どうする?\ch[62,-1, 背負って運ぶ, 前向きな姿勢を保つ, 自分の危険を顧みずゴチムを守る!, 言われた通りにする, とにかく先に敵をノックアウトする――当然だろ, なるようになる, 戦いを止める, どう活かすのが一番いいか分析する, さっきの「だいばくはつ」のわざマシンはどこ?]
map_0042#98	幸い、エリオットはゴチムがピンチだと気づき、交代させた。
map_0042#99	代わりに、彼の最初のポケモンである、高レベルのレントラーを繰り出した!
map_0042#100	レントラーがあなたより格上なのは明らかだ。
map_0042#101	どうやって面目を保つ?\ch[62,-1, 誇りを持って敗北を受け入れる, 自分自身への試練だと捉える, 楽な勝ちをそのまま受け入れる, 面目? これはエリオットのせいだ, 先に敵をとことん叩きのめす, ゴチムのための犠牲だと考える, 笑って済ませる!, 力より戦略に集中する, 学びの機会だ]
map_0042#102	戦いは激しさを増していく!
map_0042#103	あなたとレントラーは、ブライアンのヒトデマンとエアームドと対峙する!
map_0042#104	エリオットは、両方がでんきタイプの技に弱いことに気づき、レントラーに「ほうでん」で両方まとめて攻撃するよう命じた!
map_0042#105	レントラーはあなたをちらりと見るが、そのまま攻撃をため始めた。エリオットは、あなたも攻撃を受けることなど考えてもいないのだ!
map_0042#106	どう感じる?\ch[62,-1, お願い、わたしのことも考えて!!!, やるべきことをやって, 後でレントラーに仕返しする, トレーナーってバカだなと思う, 自分なんてどうでもいい存在なんだと気づく, 衝撃に備える!, 攻撃は受けるけど、レントラーに貸し一つ, レントラーにもエリオットにも腹が立つ, 逃げる。逃げたい気分だ]
map_0042#107	ヒトデマン、エアームド、そしてあなた自身も、なんとか「ほうでん」を耐えきった。
map_0042#108	二匹ともレントラーを攻撃し、今や4匹全員がかなり弱っている!
map_0042#109	エリオットは、「ほうでん」がうまくいったと思い、あなたに場にいる全員に当たる技を使うよう命じた。エアームド、ヒトデマン、レントラーを一気にノックアウトすることになる!
map_0042#110	それでも仕留める?\ch[62,-1, 勝ちは勝ちだ, 言われたらやる, 相棒を倒したりしない!, 攻撃はするけど、気は進まない, レントラーだって勝利に貢献したことになる, まずレントラーに心から謝る, レントラーがどうなろうと自分には関係ない, 決まりだ。「ほうでん」の仕返しだ, 敵だけに当たる技を探せないの?]
map_0042#111	レントラー、ヒトデマン、エアームドは全員ノックアウトされ、エリオットが勝利した!
map_0042#112	しかし今、エリオットは大切なレントラーを傷つけたことで、あなたに腹を立てている!
map_0042#113	それが原因で、あなたを逃がすことまで口にし始めている!
map_0042#114	どう反応する?\ch[62,-1, それって不公平じゃない!?, 本当にそう望むなら……, 本当にごめんなさい! もっと頑張るから!, あんたが命令したんじゃないか, ムカつく。もう逃がせばいいでしょ!, どうせ自分がいないほうがマシなんでしょ, 別れるのが一番なのかもしれない, とにかくレントラーをポケモンセンターに連れて行って……, 頼むから――出して]
