map_0770#204	頼むから、この世で少しでも神聖と呼べるものにかけて、
map_0770#205	橋でも架けて、さっさと乗り越えなさいよ。
map_0770#206	フロリニア: 感情の切除を「かんしゃく」とみなすのは、本質的に矛盾している。
map_0770#207	ティタニア: その決断に至った経緯を知っている者には、矛盾しないけどね。
map_0770#208	あたしが誰と話してるか忘れたのかもしれないけど、ちゃんとわかってるわ。
map_0770#209	フロリニア: 言及された出来事は、確実に忘れられてはいない。
map_0770#210	ティタニア: 顔に出てるわよ。
map_0770#211	それがまさに、あたしの言いたいことよ。
map_0770#213	あたしがなんであんなことしたか、わかってるでしょ?
map_0770#214	フロリニア: 述べられた理由は、当該対象が議論における感情的内容の圧力に耐えられなかった、というものだった。
map_0770#215	それゆえ、この話者が該当する社会的場面から感情的に離脱するよう、積極的に提案された。
map_0770#216	その目標は達成された。
map_0770#217	ティタニア: あたしが言ったのは状況から離れろってことで、感情全部を捨てろってことじゃない。
map_0770#218	そりゃ、あんたが心を閉ざしてた間、油圧プレスよりキツいプレッシャーをあたしにかけてたわよ。
map_0770#219	でも、あんたがどれだけアマリアと時間を過ごしてたか知ってたし、
map_0770#220	あんたを引きずり込んでたのが、あの子の底なしに沈んでいく気分だってことも明らかだった。
map_0770#221	他人の不幸をいつまでも自分のせいにはできない、
map_0770#222	なのに、あんたは本気でそうしようとしてた。
map_0770#223	フロリニア: その情報は既知だ。
map_0770#224	ティタニア: いいわ。それで、それからどうなった?
map_0770#225	フロリニア: わたしの感情的な葛藤の大部分を負わせる打ち明け話を繰り返した結果、あなたは限界を超え、わたしに当たった。
map_0770#226	ティタニア: 違う。
map_0770#227	限界を超えて当たっただけじゃない。
map_0770#228	あれは仕組んだことよ。
map_0770#229	フロリニア: つまり、以前の感情の爆発は計算された策略だったと主張するのか?
map_0770#230	ティタニア: そうよ。
map_0770#231	あんたが向き合おうとしなかった問題を、あたしが解決したかった。
map_0770#232	エイミーの感情面のケアを一手に背負ってなければ、あんたはもっと楽になれてたはずよ。
map_0770#233	それと、これも考えてみなさいよ、偉大なる計算機さん:
map_0770#234	もしあたしがあんたに当たった目的が、自分の感情の重荷を軽くすることだったなら、見事に失敗してたはずよ。
map_0770#235	あんたがエイミーから距離を置けば、あの子が頼れるのはあたしだけになる。
map_0770#236	あたしにとっては、状況は変わらないか、むしろ悪化するだけ。
map_0770#237	あの子を助けられなくても、せめてあんただけは、そこから連れ出せる。
map_0770#238	だからあんたに、うざいって、エイミーもあたしもあんたに疲れたって言ったのよ。
map_0770#239	でも、やったことはもう取り消せない。
map_0770#240	取り消せるのは、たった一つだけ――
map_0770#241	あんたのその忌々しい振る舞いよ。
map_0770#242	この試合が終わるまでは待ってあげる。でも、それが最後よ。
map_0770#243	今のうちにページ番号でも覚えときなさい、
map_0770#244	あたしはこの章を閉じるんだから。
map_0770#245	フロリニア: ……
map_0770#246	ティタニア: 過去はこうやって終わらせるものよ。
map_0770#247	最後の一手を出しなさい。もう見当違いの情けはかけない。
map_0770#248	T3RR4: さあああ、第3ラウンドはぁ、\tts[テラ: さあ、第3ラウンドは、]
map_0770#249	また誰だっけ?
map_0770#250	T3RR4: 燃え盛る拳、チャイルドアビューズ、\tts[テラ: 燃え盛る拳、チャイルドアビューズ、]
map_0770#251	対峙するはァ……\tts[対峙するのは……]
map_0770#252	セーブスカム・マギー!!!\tts[セーブスカム・マギー!!!]
map_0770#253	フロリニア: この話者は、来たる試練を必要とする状況を嘆いている。
map_0770#254	とはいえ、それらは運用対象群によって必要と判断された。
map_0770#255	よって、開始する。
map_0770#256	T3RR4: あああああもう神様ぁ、やめてぇぇぇ\tts[テラ: ああもう神様、やめて]
map_0770#257	あたし、一日中ここでこの大会を盛り上げようとしてたのに
map_0770#258	そしたらあんたたちときたら、ただこう出てきて
map_0770#259	こ ん に ち は 。
map_0770#260	わ た し は プ ロ グ ラ ム で す\nマ イ ク ロ ソ フ ト サ ム の 声 で
map_0770#261	わ た し に は 個 性 が な く\n話 す こ と も 何 も あ り ま せ ん 。
map_0770#262	あの3行だけでもう14回寝落ちしたわ。\tts[あの3行だけで14回も寝落ちした。]
map_0770#263	ガアアアアアアッ!
map_0770#264	はい、新プランね、みんな。
map_0770#265	フィールド前のトークは中止。
map_0770#266	あんたはもうマジのロボットだから、グリッチフィールドね。\tts[あなたはロボットだから、グリッチフィールドにするわ。]
map_0770#267	T3RR4: よし、じゃあやっちゃって。\tts[テラ: よし、じゃあ始めて。]
map_0770#268	でも退屈なのは無しよ。
map_0770#269	見てるからね。\tts[見てるからね。]
map_0770#270	フロリニア: ……了解した。
